,how,many,yards,did,jordan,norwood,return,a,punt,to,set,the,super,bowl,record,?
norwood,0.07598644495010376,0.16396178305149078,0.30871152877807617,0.15406884253025055,0.16233260929584503,1.0000001192092896,0.12263331562280655,0.262413889169693,0.17939233779907227,0.2127610594034195,0.16778314113616943,0.25596970319747925,0.1358911246061325,0.2051444947719574,0.27712103724479675,0.14529889822006226
had,0.2549138069152832,0.40130746364593506,0.19894513487815857,0.540525496006012,0.19441306591033936,0.19007550179958344,0.21808868646621704,0.34897568821907043,0.20004698634147644,0.37984350323677063,0.2224624902009964,0.3875846862792969,0.17216899991035461,0.1661457121372223,0.24777771532535553,0.20728366076946259
not,0.4869767427444458,0.4369727373123169,0.12538307905197144,0.6481515765190125,0.13728055357933044,0.14240926504135132,0.27627745270729065,0.3791346549987793,0.1974593997001648,0.5149973034858704,0.2197837382555008,0.4310511648654938,0.19960549473762512,0.14984336495399475,0.19449226558208466,0.41942933201789856
done,0.37416744232177734,0.3115405738353729,0.1626153439283371,0.36313408613204956,0.17638413608074188,0.12554439902305603,0.1584111750125885,0.2800007462501526,0.17813871800899506,0.2647212743759155,0.18097567558288574,0.26575928926467896,0.13435636460781097,0.1860780566930771,0.14840736985206604,0.36153489351272583
so,0.6081400513648987,0.4506167769432068,0.19534160196781158,0.43696269392967224,0.15747080743312836,0.1670914590358734,0.2651296854019165,0.41474464535713196,0.20952782034873962,0.5091881155967712,0.2838889956474304,0.4296516180038452,0.19844962656497955,0.17663580179214478,0.21867991983890533,0.43163934350013733
",",0.22659391164779663,0.40610817074775696,0.16944201290607452,0.3015086054801941,0.2637307345867157,0.3352358639240265,0.20895273983478546,0.427140474319458,0.21826523542404175,0.44245919585227966,0.24912182986736298,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.28093910217285156,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.34479495882987976,0.28171905875205994,0.26026973128318787,0.20753136277198792,0.3739250600337982,0.1890208125114441,0.48971283435821533,0.27649927139282227,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.23470573127269745,0.20544172823429108
with,0.3525622487068176,0.35744401812553406,0.14512313902378082,0.25472134351730347,0.2052663415670395,0.20837567746639252,0.16163842380046844,0.3783375024795532,0.14722439646720886,0.4239959120750427,0.19515010714530945,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.19528687000274658,0.2433311939239502
no,0.2603875398635864,0.27654168009757996,0.1316005140542984,0.23735837638378143,0.08299296349287033,0.17815689742565155,0.20230437815189362,0.26280897855758667,0.1764412373304367,0.30015695095062256,0.21502012014389038,0.3461136817932129,0.11807585507631302,0.09828036278486252,0.17664575576782227,0.32165053486824036
resistance,0.20992939174175262,0.24189721047878265,0.18713460862636566,0.1441807746887207,0.18468552827835083,0.07271966338157654,0.19011294841766357,0.272881418466568,0.14900155365467072,0.2280048280954361,0.15854430198669434,0.2521642744541168,0.09223327040672302,0.0976431742310524,0.09365423023700714,0.026361597701907158
around,0.3297552764415741,0.4112928509712219,0.1652480959892273,0.1658935695886612,0.12777920067310333,0.17830373346805573,0.1970341056585312,0.3187784254550934,0.20008906722068787,0.3591267168521881,0.19716724753379822,0.40085816383361816,0.1288387030363083,0.13265609741210938,0.24400977790355682,0.14729668200016022
him,0.3545486629009247,0.30194568634033203,0.15914510190486908,0.4290095865726471,0.22935134172439575,0.13651670515537262,0.3169489800930023,0.32137390971183777,0.1972837746143341,0.4702378511428833,0.15863385796546936,0.39213326573371887,0.16607952117919922,0.1690473109483719,0.18872973322868347,0.23943768441677094
",",0.22659391164779663,0.40610817074775696,0.16944201290607452,0.3015086054801941,0.2637307345867157,0.3352358639240265,0.20895273983478546,0.427140474319458,0.21826523542404175,0.44245919585227966,0.24912182986736298,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.28093910217285156,0.31091248989105225
he,0.2594625651836395,0.3483840227127075,0.16253827512264252,0.3292143940925598,0.17771384119987488,0.2447582632303238,0.22716954350471497,0.4393508732318878,0.16630996763706207,0.385390967130661,0.15966562926769257,0.4571082592010498,0.18361671268939972,0.1560072898864746,0.2278594821691513,0.2089974731206894
took,0.1585291624069214,0.21439076960086823,0.1374455988407135,0.42470768094062805,0.13726241886615753,0.14701306819915771,0.16032174229621887,0.18697012960910797,0.11331605166196823,0.24576251208782196,0.153982013463974,0.31657639145851135,0.111402727663517,0.11772479861974716,0.22202880680561066,0.14109265804290771
off,0.22701384127140045,0.20289015769958496,0.24181586503982544,0.17696987092494965,0.15325306355953217,0.17667917907238007,0.1906723529100418,0.2788178026676178,0.1840975135564804,0.3533020317554474,0.19737151265144348,0.2773582935333252,0.22008182108402252,0.16011512279510498,0.21648676693439484,0.12937544286251068
for,0.3308170735836029,0.40972793102264404,0.21746347844600677,0.318512886762619,0.1851562261581421,0.1709475815296173,0.23464316129684448,0.44038116931915283,0.18573349714279175,0.4451248347759247,0.30194196105003357,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.24185582995414734,0.264628142118454
a,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.2552328109741211,0.15182308852672577,0.262413889169693,0.20093116164207458,1.0,0.202503502368927,0.45503583550453186,0.2540091574192047,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.2588478624820709,0.23916715383529663
super,0.11920704692602158,0.17302978038787842,0.22780416905879974,0.16038043797016144,0.11786182224750519,0.1358911246061325,0.10588037222623825,0.26005712151527405,0.14259372651576996,0.17783479392528534,0.1139470711350441,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.2505435347557068,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.2993983328342438,0.18569406867027283,0.10131856799125671,0.2051444947719574,0.14629174768924713,0.19533146917819977,0.25543251633644104,0.16993016004562378,0.16605548560619354,0.21576224267482758,0.4848237931728363,1.0,0.24389338493347168,0.21118052303791046
record,0.1698412001132965,0.17106595635414124,0.358747661113739,0.20556741952896118,0.2206687480211258,0.27712103724479675,0.16174988448619843,0.2588478624820709,0.3076033294200897,0.22007153928279877,0.22965846955776215,0.23569516837596893,0.2505435347557068,0.24389338493347168,1.0,0.14407116174697876
61-yard,0.24053031206130981,0.1913326382637024,0.5426129698753357,0.17426568269729614,0.17789191007614136,0.3065635561943054,0.26837098598480225,0.2804825007915497,0.3427294194698334,0.2197265923023224,0.2403670996427536,0.29581695795059204,0.1761414110660553,0.1888059824705124,0.21910224854946136,0.1297386735677719
return,0.16757382452487946,0.11205824464559555,0.23656457662582397,0.21141748130321503,0.14726150035858154,0.12263331562280655,0.9999998807907104,0.20093116164207458,0.35027334094047546,0.3110596537590027,0.30786412954330444,0.2543797492980957,0.10588037222623825,0.14629174768924713,0.16174988448619843,0.14655634760856628
before,0.33293965458869934,0.2728588581085205,0.22493626177310944,0.33642593026161194,0.16035209596157074,0.1360994577407837,0.22257539629936218,0.3583870828151703,0.18687458336353302,0.4190867841243744,0.21582984924316406,0.45900648832321167,0.16279493272304535,0.19842083752155304,0.2440635710954666,0.2507109045982361
mario,0.0804121345281601,0.16843262314796448,0.2012059986591339,0.14830544590950012,0.06442362070083618,0.12457316368818283,0.13106730580329895,0.1983540952205658,0.11473079025745392,0.2000456303358078,0.12292511016130447,0.16163596510887146,0.5220395922660828,0.1737632006406784,0.18555848300457,0.12122189253568649
addison,0.14808160066604614,0.16790986061096191,0.16373953223228455,0.11031687259674072,0.22052431106567383,0.3625166416168213,0.09360869973897934,0.20852044224739075,0.08619752526283264,0.23092909157276154,0.15999861061573029,0.2753133177757263,0.07097955793142319,0.11819806694984436,0.12081332504749298,0.06632491946220398
dragged,0.1996232122182846,0.20411387085914612,0.30287042260169983,0.2554897367954254,0.16972379386425018,0.23195119202136993,0.16643960773944855,0.21370753645896912,0.2694714069366455,0.26787152886390686,0.17491964995861053,0.2619442641735077,0.15553417801856995,0.16569024324417114,0.17468972504138947,0.18126168847084045
him,0.3545486629009247,0.30194568634033203,0.15914510190486908,0.4290095865726471,0.22935134172439575,0.13651670515537262,0.3169489800930023,0.32137390971183777,0.1972837746143341,0.4702378511428833,0.15863385796546936,0.39213326573371887,0.16607952117919922,0.1690473109483719,0.18872973322868347,0.23943768441677094
