,who,do,priesthood,representatives,defer,to,",",at,times,?
even,0.33644744753837585,0.4404686391353607,0.29881295561790466,0.17648838460445404,0.3453131318092346,0.46467068791389465,0.34610581398010254,0.24857373535633087,0.31662893295288086,0.30082517862319946
priesthood,0.318356454372406,0.22636382281780243,1.0,0.25682058930397034,0.20088809728622437,0.2506139576435089,0.19918666779994965,0.14999797940254211,0.19946014881134033,0.17457331717014313
representatives,0.19269686937332153,0.18403325974941254,0.25682058930397034,1.0,0.21739958226680756,0.24800893664360046,0.27393093705177307,0.20522627234458923,0.15456612408161163,0.14079871773719788
are,0.27294138073921204,0.41111594438552856,0.19552043080329895,0.19635742902755737,0.32611966133117676,0.3504326641559601,0.4062570035457611,0.2074895054101944,0.16137352585792542,0.24591213464736938
expected,0.3214108645915985,0.27311718463897705,0.19217845797538757,0.2357732504606247,0.21550272405147552,0.42255479097366333,0.23470614850521088,0.3187614381313324,0.21829064190387726,0.19474582374095917
to,0.42656609416007996,0.38876664638519287,0.2506139576435089,0.24800893664360046,0.37382417917251587,1.0,0.44245919585227966,0.36524343490600586,0.32875269651412964,0.29463258385658264
defer,0.2444869875907898,0.3921157717704773,0.20088809728622437,0.21739958226680756,1.0000001192092896,0.37382417917251587,0.2988898456096649,0.17596125602722168,0.17836380004882812,0.4248010814189911
to,0.42656609416007996,0.38876664638519287,0.2506139576435089,0.24800893664360046,0.37382417917251587,1.0,0.44245919585227966,0.36524343490600586,0.32875269651412964,0.29463258385658264
the,0.3733934462070465,0.30239659547805786,0.2826952636241913,0.2691882848739624,0.2402702420949936,0.535392165184021,0.4933079481124878,0.457212895154953,0.29093852639198303,0.22068053483963013
father,0.4164644777774811,0.15137189626693726,0.2983762323856354,0.20169974863529205,0.12857337296009064,0.2544635832309723,0.30597206950187683,0.20455175638198853,0.1417299062013626,0.14826634526252747
of,0.2827862501144409,0.26150479912757874,0.2815867066383362,0.3133973777294159,0.2083897590637207,0.41548454761505127,0.4946078956127167,0.42558613419532776,0.24352745711803436,0.1826142966747284
the,0.3733934462070465,0.30239659547805786,0.2826952636241913,0.2691882848739624,0.2402702420949936,0.535392165184021,0.4933079481124878,0.457212895154953,0.29093852639198303,0.22068053483963013
house,0.2619773745536804,0.10625137388706207,0.1735687404870987,0.6016852259635925,0.09647168964147568,0.23688754439353943,0.28236111998558044,0.23401996493339539,0.11382903903722763,0.13736455142498016
when,0.48282691836357117,0.28572237491607666,0.22015932202339172,0.17181353271007538,0.2426152378320694,0.5423505902290344,0.36674630641937256,0.38876327872276306,0.3857055902481079,0.22841128706932068
in,0.2792111933231354,0.23402775824069977,0.19343532621860504,0.2394939363002777,0.18413732945919037,0.45010748505592346,0.5201468467712402,0.4374977946281433,0.2427823841571808,0.20430970191955566
his,0.44966956973075867,0.15088757872581482,0.2844046354293823,0.16606107354164124,0.1821390837430954,0.3715193271636963,0.3378419280052185,0.27659502625465393,0.24570761620998383,0.18075084686279297
home,0.2542758285999298,0.1344684660434723,0.09725840389728546,0.21559441089630127,0.1143154576420784,0.31056779623031616,0.2790627181529999,0.260183721780777,0.1783236563205719,0.0757145956158638
.,0.3541337847709656,0.3613996207714081,0.18470539152622223,0.253695547580719,0.24485832452774048,0.4645031690597534,0.6812511086463928,0.4549728035926819,0.2891986668109894,0.4130953550338745
