,what,is,the,afc,short,for,?
the,0.42745697498321533,0.5823672413825989,1.0,0.25863510370254517,0.29603123664855957,0.4739971458911896,0.22068053483963013
american,0.1909721940755844,0.1853146106004715,0.24562937021255493,0.18992678821086884,0.10873585939407349,0.2306184321641922,0.18877598643302917
football,0.21136903762817383,0.21727435290813446,0.18794101476669312,0.5084695816040039,0.13356812298297882,0.23134100437164307,0.14957410097122192
conference,0.15329721570014954,0.13909097015857697,0.25393402576446533,0.3807511031627655,0.07424065470695496,0.21981438994407654,0.11172781884670258
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.27387434244155884,0.21569035947322845,0.3357032239437103,0.40561532974243164
afc,0.1550256609916687,0.16175919771194458,0.25863510370254517,1.0,0.100798599421978,0.23089082539081573,0.2026895433664322
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.25836482644081116,0.20856474339962006,0.3639558255672455,0.42300865054130554
champion,0.11434172838926315,0.1624361276626587,0.23575055599212646,0.40495696663856506,0.14424178004264832,0.19510509073734283,0.14080514013767242
denver,0.1275133192539215,0.14918014407157898,0.2052404284477234,0.27175816893577576,0.1981489658355713,0.22017966210842133,0.1520889848470688
broncos,0.1787765771150589,0.1288805603981018,0.25985947251319885,0.4436691403388977,0.22216494381427765,0.2739109396934509,0.18377114832401276
defeated,0.13652801513671875,0.11997199058532715,0.2833898365497589,0.241952583193779,0.08015760034322739,0.15790952742099762,0.1413237303495407
the,0.42745697498321533,0.5823672413825989,1.0,0.25863510370254517,0.29603123664855957,0.4739971458911896,0.22068053483963013
national,0.16882304847240448,0.23413582146167755,0.32739606499671936,0.20656158030033112,0.1341821253299713,0.36267757415771484,0.15643028914928436
football,0.21136903762817383,0.21727435290813446,0.18794101476669312,0.5084695816040039,0.13356812298297882,0.23134100437164307,0.14957410097122192
conference,0.15329721570014954,0.13909097015857697,0.25393402576446533,0.3807511031627655,0.07424065470695496,0.21981438994407654,0.11172781884670258
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.27387434244155884,0.21569035947322845,0.3357032239437103,0.40561532974243164
nfc,0.19796092808246613,0.1644553244113922,0.2545439600944519,0.6895114183425903,0.1811537742614746,0.3079942464828491,0.15073348581790924
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.25836482644081116,0.20856474339962006,0.3639558255672455,0.42300865054130554
champion,0.11434172838926315,0.1624361276626587,0.23575055599212646,0.40495696663856506,0.14424178004264832,0.19510509073734283,0.14080514013767242
carolina,0.1956660896539688,0.13908782601356506,0.24749229848384857,0.21097522974014282,0.10802547633647919,0.17749637365341187,0.11847445368766785
panthers,0.17002959549427032,0.17272613942623138,0.2602776288986206,0.33692118525505066,0.2301217019557953,0.25358447432518005,0.16608978807926178
24–10,0.05741516873240471,0.05017944797873497,0.1489364504814148,0.12495440989732742,-0.04184193164110184,0.09523067623376846,0.06738992035388947
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.18302594125270844,0.25023147463798523,0.4451248347759247,0.29463258385658264
earn,0.16168662905693054,0.1424780637025833,0.21796688437461853,0.19533829391002655,0.18502509593963623,0.29041293263435364,0.20429526269435883
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.13482747972011566,0.2095121294260025,0.3406745493412018,0.1898253709077835
third,0.2033906877040863,0.31551501154899597,0.4229298532009125,0.20008410513401031,0.21484722197055817,0.2187870591878891,0.15394791960716248
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.37206512689590454,0.11980751156806946,0.22938419878482819,0.166326642036438
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.41199249029159546,0.11744637787342072,0.24430087208747864,0.21118052303791046
title,0.205022931098938,0.17983698844909668,0.27465343475341797,0.2193080484867096,0.09164957702159882,0.2096623331308365,0.34551161527633667
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.28921979665756226,0.2740369439125061,0.4726039469242096,0.4130953550338745
