,what,year,did,tesla,avade,the,draft,?
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.17097744345664978,0.28311479091644287,0.6662389636039734,0.19735127687454224,0.20430970191955566
1874,0.12031052261590958,0.2095310240983963,0.1448199450969696,0.18908177316188812,0.19836845993995667,0.2737782895565033,0.24405089020729065,0.15952123701572418
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20599327981472015,0.3308505713939667,0.4933079481124878,0.2209516018629074,0.31091248989105225
tesla,0.23221199214458466,0.1455472707748413,0.09757418930530548,0.9999999403953552,0.14209187030792236,0.1324402391910553,0.1519121676683426,0.10250775516033173
evaded,0.2622359097003937,0.2510506808757782,0.2994097173213959,0.11831095069646835,0.40357136726379395,0.28425565361976624,0.2279844880104065,0.29822131991386414
being,0.3760843276977539,0.2561481297016144,0.27905046939849854,0.13586261868476868,0.22645556926727295,0.419739305973053,0.21356116235256195,0.26743772625923157
drafted,0.20864348113536835,0.250828355550766,0.27433860301971436,0.10320170223712921,0.2060110718011856,0.21025162935256958,0.801272451877594,0.14424492418766022
into,0.2180619090795517,0.08657927066087723,0.14888085424900055,0.13143925368785858,0.2075410932302475,0.39493247866630554,0.17775486409664154,0.15662476420402527
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.1324402391910553,0.3295123279094696,1.0,0.2136591076850891,0.22068053483963013
austro-hungarian,0.11798475682735443,0.19964905083179474,0.18044304847717285,0.30650296807289124,0.22596530616283417,0.1989392340183258,0.1063215360045433,0.16446684300899506
army,0.1698741316795349,0.19735397398471832,0.21148359775543213,0.12703821063041687,0.3093354403972626,0.31011611223220825,0.15657581388950348,0.180583193898201
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.17097744345664978,0.28311479091644287,0.6662389636039734,0.19735127687454224,0.20430970191955566
smiljan,0.20417870581150055,0.19025710225105286,0.17979542911052704,0.3143247961997986,0.23399728536605835,0.22545762360095978,0.2501029670238495,0.2793274521827698
by,0.2455483376979828,0.28805047273635864,0.18574509024620056,0.16513796150684357,0.23602840304374695,0.4408751428127289,0.23971819877624512,0.17966607213020325
running,0.2357972115278244,0.10273336619138718,0.23744943737983704,0.13063423335552216,0.2380797564983368,0.28883472084999084,0.14055472612380981,0.15679655969142914
away,0.2797873020172119,0.17987099289894104,0.2167721837759018,0.09422557801008224,0.233128622174263,0.29030847549438477,0.049854714423418045,0.15156377851963043
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.17548894882202148,0.3623015284538269,0.535392165184021,0.20236501097679138,0.29463258385658264
tomingaj,0.21871042251586914,0.16542217135429382,0.17888304591178894,0.2568499743938446,0.2932193875312805,0.2797015905380249,0.09143203496932983,0.21797217428684235
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20599327981472015,0.3308505713939667,0.4933079481124878,0.2209516018629074,0.31091248989105225
near,0.19414293766021729,0.17220816016197205,0.08748484402894974,0.08963809162378311,0.24004974961280823,0.2879819869995117,0.07970917969942093,0.10734958201646805
gračac,0.16016273200511932,0.23343117535114288,0.1253034919500351,0.24164746701717377,0.24731439352035522,0.26196956634521484,0.20424029231071472,0.16939541697502136
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.17949827015399933,0.3256150186061859,0.5934505462646484,0.22211715579032898,0.4130953550338745
