,how,much,did,enrollment,increase,?
as,0.33782753348350525,0.36514025926589966,0.3596470057964325,0.26236143708229065,0.24019303917884827,0.27043893933296204
a,0.29312583804130554,0.2958075702190399,0.2552328109741211,0.22788605093955994,0.24428929388523102,0.23916715383529663
result,0.23323923349380493,0.21987712383270264,0.2026577889919281,0.149056538939476,0.322893887758255,0.17218433320522308
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.2662583291530609,0.20005576312541962,0.31091248989105225
primary,0.15994705259799957,0.17569012939929962,0.16609589755535126,0.3002568185329437,0.18024639785289764,0.16286636888980865
school,0.11585085093975067,0.13289304077625275,0.19696208834648132,0.5377652049064636,0.1313745379447937,0.15091250836849213
enrolment,0.19024480879306793,0.19200323522090912,0.16993774473667145,0.8884214162826538,0.30006876587867737,0.15512607991695404
increased,0.2297995388507843,0.38681474328041077,0.20765343308448792,0.31281208992004395,0.8384779691696167,0.09587585180997849
by,0.34370526671409607,0.24959969520568848,0.18574509024620056,0.1494707316160202,0.20121172070503235,0.17966607213020325
about,0.44264400005340576,0.42681634426116943,0.28723078966140747,0.2848370373249054,0.2309124618768692,0.302409827709198
70,-0.08739583194255829,-0.1489764153957367,-0.12820127606391907,-0.09158927947282791,-0.13652613759040833,-0.18177002668380737
%,0.1237400695681572,0.26866111159324646,0.1450016051530838,0.33106979727745056,0.3205886483192444,0.21441808342933655
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.25121399760246277,0.24619564414024353,0.4130953550338745
