,what,is,the,name,of,the,tv,scrambling,system,bskyb,uses,?
bskyb,0.17457032203674316,0.20114660263061523,0.20915858447551727,0.2800062596797943,0.16413870453834534,0.20915858447551727,0.2306850254535675,0.12429860234260559,0.216777965426445,1.0000001192092896,0.18913695216178894,0.2979319989681244
utilises,0.17953266203403473,0.2070600986480713,0.24611273407936096,0.10262629389762878,0.2486579269170761,0.24611273407936096,0.14477412402629852,0.19418096542358398,0.2657780349254608,0.2275363802909851,0.40874937176704407,0.1549450159072876
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.20034731924533844,0.2673972249031067,0.3233085572719574,0.20915858447551727,0.2830192744731903,0.22068053483963013
videoguard,0.24629995226860046,0.2002292424440384,0.3440686762332916,0.19257642328739166,0.26720303297042847,0.3440686762332916,0.41101035475730896,0.27706971764564514,0.19778133928775787,0.30390793085098267,0.20143038034439087,0.2620079815387726
pay-tv,0.2296590358018875,0.19609713554382324,0.20465052127838135,0.10654544085264206,0.18726712465286255,0.20465052127838135,0.42137524485588074,0.2963199019432068,0.17389658093452454,0.23201119899749756,0.07508119940757751,0.2297043353319168
scrambling,0.35461339354515076,0.2208462655544281,0.2673972249031067,0.09516691416501999,0.23232445120811462,0.2673972249031067,0.2137838751077652,1.0,0.25255388021469116,0.12429860234260559,0.19118204712867737,0.2794993221759796
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.13043081760406494,0.25597915053367615,0.3233085572719574,0.09629245847463608,0.25255388021469116,1.0000001192092896,0.216777965426445,0.296671062707901,0.15556083619594574
owned,0.12432919442653656,0.20921923220157623,0.1999378502368927,0.22201769053936005,0.17190153896808624,0.1999378502368927,0.18107019364833832,0.1890116035938263,0.1654224991798401,0.17149600386619568,0.15951406955718994,0.1288648396730423
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.11470241099596024,0.16439637541770935,0.23017624020576477,0.1526695340871811,0.19318048655986786,0.17966607213020325
nds,0.17080676555633545,0.21467262506484985,0.19653935730457306,0.16054503619670868,0.1860286444425583,0.19653935730457306,0.22917261719703674,0.2225213646888733,0.2757045328617096,0.29789847135543823,0.3698228597640991,0.2983955442905426
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2778550088405609,0.32237863540649414,0.18439900875091553,0.2852807641029358,0.28387847542762756,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2169625610113144,0.25550520420074463,0.2589043080806732,0.21951700747013092,0.35566505789756775,0.23916715383529663
cisco,0.11634176969528198,0.09555492550134659,0.16028843820095062,0.10779831558465958,0.11817360669374466,0.16028843820095062,0.14706939458847046,0.17245744168758392,0.21976619958877563,0.23363402485847473,0.136873260140419,0.09596282988786697
systems,0.1871482878923416,0.23126937448978424,0.28089964389801025,0.09450767934322357,0.277031809091568,0.28089964389801025,0.13459643721580505,0.23248828947544098,0.7890681028366089,0.22908510267734528,0.38528361916542053,0.1575973927974701
company,0.2333769053220749,0.18005689978599548,0.26591673493385315,0.21465471386909485,0.20467796921730042,0.26591673493385315,0.23478539288043976,0.19755542278289795,0.18630766868591309,0.18916723132133484,0.23653946816921234,0.12195809185504913
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.27196308970451355,0.3005927503108978,0.2277725487947464,0.2844841778278351,0.30030930042266846,0.4130953550338745
