,when,did,violence,start,in,war,?
the,0.5091903209686279,0.34736719727516174,0.25465771555900574,0.3656389117240906,0.6662389636039734,0.366199791431427,0.22068053483963013
dispute,0.28036239743232727,0.24726319313049316,0.32190191745758057,0.18435421586036682,0.2249964326620102,0.2645995318889618,0.24252742528915405
erupted,0.22295570373535156,0.1616848111152649,0.21194586157798767,0.17421820759773254,0.2798374593257904,0.2734339237213135,0.11324462294578552
into,0.389646977186203,0.14888085424900055,0.11925799399614334,0.239932119846344,0.38021373748779297,0.1791244000196457,0.15662476420402527
violence,0.2319701910018921,0.22152221202850342,1.0000001192092896,0.18253357708454132,0.2653872072696686,0.3286502957344055,0.20634515583515167
in,0.4431333839893341,0.2593238651752472,0.2653872072696686,0.29979339241981506,1.0,0.29904094338417053,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.25465771555900574,0.3656389117240906,0.6662389636039734,0.366199791431427,0.22068053483963013
battle,0.15145152807235718,0.12105695903301239,0.19750410318374634,0.18192633986473083,0.24353940784931183,0.5131220817565918,0.1680624783039093
of,0.3757161796092987,0.2513895630836487,0.21331627666950226,0.23166994750499725,0.5696388483047485,0.31680163741111755,0.1826142966747284
jumonville,0.22794754803180695,0.24225324392318726,0.21428953111171722,0.15031485259532928,0.3054760992527008,0.27015456557273865,0.15539926290512085
glen,0.10240188241004944,0.014075412414968014,0.13747525215148926,0.15223956108093262,0.20285046100616455,0.08070908486843109,0.08093680441379547
in,0.4431333839893341,0.2593238651752472,0.2653872072696686,0.29979339241981506,1.0,0.29904094338417053,0.20430970191955566
may,0.3167054355144501,0.3038632869720459,0.1984415054321289,0.18636314570903778,0.3424151837825775,0.19194969534873962,0.2768254578113556
1754,0.028150534257292747,0.09984685480594635,0.15046367049217224,0.1021631509065628,0.12745094299316406,0.11760100722312927,0.1399500072002411
",",0.36674630641937256,0.3015086054801941,0.2299048751592636,0.2934366464614868,0.5201468467712402,0.2671184241771698,0.31091248989105225
during,0.46721696853637695,0.30679523944854736,0.260149210691452,0.3716736435890198,0.4627237319946289,0.4802435040473938,0.1325719803571701
which,0.572554349899292,0.2750149369239807,0.23130570352077484,0.2669599950313568,0.4840516746044159,0.2244700789451599,0.25814583897590637
virginia,0.14300817251205444,0.1734718233346939,0.10320950299501419,0.18683011829853058,0.2449580281972885,0.22388659417629242,0.18036006391048431
militiamen,0.18795442581176758,0.245477557182312,0.3082612454891205,0.13377487659454346,0.20704105496406555,0.37987712025642395,0.1892186403274536
under,0.3172987401485443,0.20815621316432953,0.12078864127397537,0.14813260734081268,0.2535393238067627,0.16941870748996735,0.18233340978622437
the,0.5091903209686279,0.34736719727516174,0.25465771555900574,0.3656389117240906,0.6662389636039734,0.366199791431427,0.22068053483963013
command,0.23274312913417816,0.18186943233013153,0.11344829201698303,0.1677718162536621,0.18293465673923492,0.3250749707221985,0.13402260839939117
of,0.3757161796092987,0.2513895630836487,0.21331627666950226,0.23166994750499725,0.5696388483047485,0.31680163741111755,0.1826142966747284
22-year-old,0.26339051127433777,0.27207955718040466,0.16905438899993896,0.36720582842826843,0.291829913854599,0.35147809982299805,0.4094349443912506
george,0.174343079328537,0.238631471991539,0.15656985342502594,0.12581844627857208,0.18167929351329803,0.24409236013889313,0.1479024887084961
washington,0.17040149867534637,0.19649098813533783,0.20044127106666565,0.15010890364646912,0.24838601052761078,0.2315937727689743,0.157786026597023
ambushed,0.25282034277915955,0.22161787748336792,0.2878921329975128,0.15250280499458313,0.19759155809879303,0.22781763970851898,0.11944780498743057
a,0.44397395849227905,0.2552328109741211,0.2158076912164688,0.29672953486442566,0.539380669593811,0.2368277609348297,0.23916715383529663
french,0.18820616602897644,0.1584041714668274,0.2342223972082138,0.15454748272895813,0.22093388438224792,0.2536753714084625,0.1386883556842804
patrol,0.23295670747756958,0.14792251586914062,0.14288145303726196,0.2558038830757141,0.12431490421295166,0.16646002233028412,0.15909674763679504
.,0.475719153881073,0.35288307070732117,0.22271575033664703,0.3501981496810913,0.5591574311256409,0.3000848889350891,0.4130953550338745
