,what,channels,were,removed,from,the,network,in,march,of,2007,?
the,0.42745697498321533,0.27277594804763794,0.3906462490558624,0.33493471145629883,0.40150508284568787,1.0,0.27187061309814453,0.6662389636039734,0.2680487632751465,0.733189046382904,-0.23657195270061493,0.22068053483963013
failure,0.19130942225456238,0.09389953315258026,0.14740639925003052,0.14923220872879028,0.2552087903022766,0.24083465337753296,0.13011793792247772,0.2055809497833252,0.2862546145915985,0.21345095336437225,-0.03705822676420212,0.12142058461904526
to,0.455847829580307,0.21767447888851166,0.31913647055625916,0.31205955147743225,0.4069952368736267,0.535392165184021,0.25940340757369995,0.45010748505592346,0.2274535447359085,0.41548454761505127,-0.1738293468952179,0.29463258385658264
renew,0.2585080564022064,0.16876573860645294,0.12928056716918945,0.24126705527305603,0.25622931122779846,0.2726650834083557,0.2056686282157898,0.19923003017902374,0.17325223982334137,0.1983691304922104,-0.2402266263961792,0.21736618876457214
the,0.42745697498321533,0.27277594804763794,0.3906462490558624,0.33493471145629883,0.40150508284568787,1.0,0.27187061309814453,0.6662389636039734,0.2680487632751465,0.733189046382904,-0.23657195270061493,0.22068053483963013
existing,0.31325602531433105,0.29606539011001587,0.27735456824302673,0.3563889265060425,0.19702616333961487,0.36013904213905334,0.279498428106308,0.2761130928993225,0.19872604310512543,0.30417704582214355,-0.14150066673755646,0.31003472208976746
carriage,0.11489621549844742,0.11204196512699127,0.23199063539505005,0.16505645215511322,0.10910842567682266,0.2583298683166504,0.17498604953289032,0.17569588124752045,0.17234066128730774,0.20538465678691864,-0.11835668981075287,0.08573433756828308
agreements,0.25903576612472534,0.23530606925487518,0.2576241195201874,0.16588149964809418,0.20222847163677216,0.2562585771083832,0.23007619380950928,0.21974602341651917,0.2031431794166565,0.23625777661800385,-0.24260687828063965,0.14476320147514343
negotiated,0.10894132405519485,0.11366332322359085,0.22172515094280243,0.18132086098194122,0.15403197705745697,0.2594250440597534,0.1696268618106842,0.2906990051269531,0.2585616111755371,0.24929822981357574,-0.2943486273288727,0.09223373234272003
with,0.2464839518070221,0.1873491257429123,0.3179011940956116,0.24393028020858765,0.26272761821746826,0.4223487675189972,0.2153671681880951,0.4080928862094879,0.1895335465669632,0.41827285289764404,-0.10512185841798782,0.2433311939239502
