,los,angeles,is,in,the,lower,part,of,what,?
though,0.1311735212802887,0.15890242159366608,0.3265945613384247,0.3193182945251465,0.38776206970214844,0.20536105334758759,0.2677866816520691,0.37307101488113403,0.4089210331439972,0.3188856542110443
there,0.18061605095863342,0.15765273571014404,0.3904260993003845,0.5361666083335876,0.47025805711746216,0.24815864861011505,0.32553666830062866,0.44397735595703125,0.35085538029670715,0.29405656456947327
is,0.17008589208126068,0.1558004766702652,1.0,0.5394441485404968,0.5823672413825989,0.20806168019771576,0.4582172930240631,0.4854315221309662,0.28837618231773376,0.22961433231830597
no,0.11729206144809723,0.11156487464904785,0.19581134617328644,0.24372287094593048,0.3461136817932129,0.17294588685035706,0.10804712027311325,0.24809792637825012,0.339326947927475,0.32165053486824036
official,0.1355084627866745,0.13631533086299896,0.21236078441143036,0.25180214643478394,0.3133983910083771,0.07540763169527054,0.1932961791753769,0.2864961326122284,0.18967986106872559,0.18097688257694244
definition,0.11161080747842789,0.10440211743116379,0.29006320238113403,0.20306213200092316,0.23176956176757812,0.12869952619075775,0.2687399089336395,0.24912455677986145,0.330344021320343,0.2796523869037628
for,0.1715608686208725,0.19129201769828796,0.43268078565597534,0.4322226941585541,0.4739971458911896,0.15945355594158173,0.250704288482666,0.4185989499092102,0.3017193675041199,0.264628142118454
the,0.2502395510673523,0.24588194489479065,0.5823672413825989,0.6662389636039734,1.0,0.3463275134563446,0.527681291103363,0.733189046382904,0.42745697498321533,0.22068053483963013
northern,0.1291068196296692,0.10798018425703049,0.25616052746772766,0.3545122444629669,0.3422943353652954,0.20945680141448975,0.3608819246292114,0.32586339116096497,0.19332477450370789,0.13149388134479523
boundary,0.1553335189819336,0.17355339229106903,0.23768730461597443,0.28667783737182617,0.3356972932815552,0.3203684091567993,0.34835657477378845,0.27984359860420227,0.26910632848739624,0.0720028504729271
of,0.17343297600746155,0.16643567383289337,0.4854315221309662,0.5696388483047485,0.733189046382904,0.31757521629333496,0.452393114566803,1.0,0.33290785551071167,0.1826142966747284
southern,0.18350043892860413,0.19405479729175568,0.2419366091489792,0.3190481662750244,0.3282862603664398,0.20213471353054047,0.37757623195648193,0.31933003664016724,0.18679563701152802,0.11225555837154388
california,0.641045331954956,0.6717669367790222,0.20727038383483887,0.2772824168205261,0.2750805914402008,0.12154536694288254,0.14441202580928802,0.24929828941822052,0.1811584085226059,0.1409905105829239
",",0.242568701505661,0.23721925914287567,0.4691906273365021,0.5201468467712402,0.4933079481124878,0.236776202917099,0.3376222252845764,0.4946078956127167,0.3087472915649414,0.31091248989105225
such,0.1427723914384842,0.150259867310524,0.23545363545417786,0.2704046070575714,0.3575236201286316,0.17980381846427917,0.21469153463840485,0.3209529519081116,0.23989605903625488,0.17851735651493073
a,0.19324564933776855,0.183808833360672,0.658733606338501,0.539380669593811,0.5829201340675354,0.2221667766571045,0.3994528353214264,0.5052502155303955,0.3320399522781372,0.23916715383529663
division,0.11661922186613083,0.12008081376552582,0.20176531374454498,0.2658538520336151,0.26203617453575134,0.12774263322353363,0.2805361747741699,0.23579144477844238,0.19144181907176971,0.08900629729032516
has,0.14173460006713867,0.14982153475284576,0.5668748617172241,0.4173259735107422,0.4177538752555847,0.18122337758541107,0.33699411153793335,0.3909035325050354,0.20338068902492523,0.15994466841220856
existed,0.1162954792380333,0.11782408505678177,0.2330806404352188,0.2661771774291992,0.32677435874938965,0.22799637913703918,0.3159244954586029,0.2990404963493347,0.27969107031822205,0.17013543844223022
from,0.22446542978286743,0.21691568195819855,0.27355384826660156,0.4274188280105591,0.40150508284568787,0.2286408692598343,0.31841611862182617,0.4249346852302551,0.2737620174884796,0.19969791173934937
the,0.2502395510673523,0.24588194489479065,0.5823672413825989,0.6662389636039734,1.0,0.3463275134563446,0.527681291103363,0.733189046382904,0.42745697498321533,0.22068053483963013
time,0.19307759404182434,0.21522696316242218,0.25187405943870544,0.3431483507156372,0.43061500787734985,0.13625381886959076,0.2560320794582367,0.35127586126327515,0.36319252848625183,0.27391523122787476
when,0.17545688152313232,0.18918488919734955,0.3471449911594391,0.4431333839893341,0.5091903209686279,0.19194231927394867,0.35435768961906433,0.3757161796092987,0.4700249433517456,0.22841128706932068
mexico,0.32730111479759216,0.2677386999130249,0.1764019876718521,0.28360357880592346,0.2460518777370453,0.15170976519584656,0.16338440775871277,0.23668396472930908,0.1820366233587265,0.14739345014095306
ruled,0.15158171951770782,0.1443367600440979,0.1662365049123764,0.20897114276885986,0.2668108344078064,0.19920915365219116,0.26989179849624634,0.29798635840415955,0.23168525099754333,0.19970785081386566
california,0.641045331954956,0.6717669367790222,0.20727038383483887,0.2772824168205261,0.2750805914402008,0.12154536694288254,0.14441202580928802,0.24929828941822052,0.1811584085226059,0.1409905105829239
