,who,was,frédéric,chopin,?
one,0.40083858370780945,0.3752199709415436,0.1672438532114029,0.2097557783126831,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.17480333149433136,0.19214171171188354,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.14572463929653168,0.1946633756160736,0.22068053483963013
most,0.35393568873405457,0.29933857917785645,0.1279357522726059,0.18847544491291046,0.2107497900724411
famous,0.31358224153518677,0.31606587767601013,0.22177284955978394,0.28774508833885193,0.10379006713628769
people,0.3933800458908081,0.2518421411514282,0.09724468737840652,0.19767363369464874,0.23739641904830933
born,0.3351559042930603,0.388632208108902,0.25639966130256653,0.1282324343919754,0.19166848063468933
in,0.2792111933231354,0.45514053106307983,0.21526996791362762,0.2448127418756485,0.20430970191955566
warsaw,0.16496863961219788,0.2614976763725281,0.30819228291511536,0.4150010049343109,0.09769917279481888
was,0.3318818509578705,1.0000001192092896,0.22744689881801605,0.172151580452919,0.18412111699581146
maria,0.20343798398971558,0.2511068880558014,0.28515705466270447,0.273398756980896,0.16458186507225037
skłodowska-curie,0.24025875329971313,0.35623714327812195,0.5263436436653137,0.3916049599647522,0.23305024206638336
",",0.3365725874900818,0.45456063747406006,0.29547688364982605,0.270935595035553,0.31091248989105225
who,0.9999998807907104,0.3318818509578705,0.23292677104473114,0.1792505830526352,0.26220351457595825
achieved,0.17179545760154724,0.28734347224235535,0.1122589260339737,0.1399255394935608,0.17008265852928162
international,0.14208874106407166,0.22185437381267548,0.2572515308856964,0.2806100845336914,0.15335838496685028
recognition,0.2689022123813629,0.23298479616641998,0.14858175814151764,0.2167079597711563,0.20074869692325592
for,0.37110671401023865,0.3863949179649353,0.18878678977489471,0.18986503779888153,0.264628142118454
her,0.3824957311153412,0.34084662795066833,0.22752349078655243,0.2704494893550873,0.20310723781585693
research,0.17335498332977295,0.21417704224586487,0.2029035985469818,0.13613155484199524,0.13481977581977844
on,0.2340552806854248,0.3909217119216919,0.14473335444927216,0.2067723274230957,0.2714994251728058
radioactivity,0.17840851843357086,0.21809430420398712,0.27486297488212585,0.1698378324508667,0.1957060694694519
and,0.41279885172843933,0.3740963041782379,0.23336327075958252,0.22506579756736755,0.20544172823429108
was,0.3318818509578705,1.0000001192092896,0.22744689881801605,0.172151580452919,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,0.14572463929653168,0.1946633756160736,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.18945451080799103,0.168694406747818,0.18701928853988647
female,0.3403880000114441,0.17758683860301971,0.11094359308481216,0.08727903664112091,0.17839525640010834
recipient,0.2305098921060562,0.188251331448555,0.2662862241268158,0.1742239147424698,0.11042160540819168
of,0.2827862501144409,0.4069072902202606,0.17480333149433136,0.19214171171188354,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.14572463929653168,0.1946633756160736,0.22068053483963013
nobel,0.23225803673267365,0.2319665551185608,0.34799233078956604,0.20583190023899078,0.15008176863193512
prize,0.20312342047691345,0.2402031123638153,0.3312501609325409,0.24973252415657043,0.14158497750759125
.,0.3541337847709656,0.40146201848983765,0.235000878572464,0.22268888354301453,0.4130953550338745
,who,was,frédéric,chopin,?
famous,0.31358224153518677,0.31606587767601013,0.22177284955978394,0.28774508833885193,0.10379006713628769
musicians,0.2502578794956207,0.1851368546485901,0.2652650773525238,0.3137359023094177,0.13493949174880981
include,0.15078489482402802,0.10680413991212845,0.18653737008571625,0.20631247758865356,0.14925788342952728
władysław,0.22450223565101624,0.20911955833435059,0.32896119356155396,0.4037289619445801,0.17345622181892395
szpilman,0.2862420976161957,0.2680714726448059,0.3991505801677704,0.40987303853034973,0.2162920981645584
and,0.41279885172843933,0.3740963041782379,0.23336327075958252,0.22506579756736755,0.20544172823429108
frédéric,0.23292677104473114,0.22744689881801605,1.0000001192092896,0.5756849050521851,0.17540207505226135
chopin,0.1792505830526352,0.172151580452919,0.5756849050521851,1.0000001192092896,0.14239183068275452
.,0.3541337847709656,0.40146201848983765,0.235000878572464,0.22268888354301453,0.4130953550338745
