,what,year,did,consolidation,cause,jacksonville,to,become,part,of,duval,county,?
it,0.45803478360176086,0.2363913208246231,0.2993364930152893,0.24245816469192505,0.26461511850357056,0.17523133754730225,0.513711154460907,0.2850925028324127,0.4648587107658386,0.38761502504348755,0.23348508775234222,0.21266573667526245,0.25732165575027466
is,0.28837618231773376,0.2402215600013733,0.19247472286224365,0.21168272197246552,0.218277707695961,0.1726600080728531,0.42745086550712585,0.2983444035053253,0.4582172930240631,0.4854315221309662,0.20691458880901337,0.19461438059806824,0.22961433231830597
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.3002266585826874,0.2551237642765045,0.2176690250635147,0.535392165184021,0.31731709837913513,0.527681291103363,0.733189046382904,0.22207818925380707,0.21715226769447327,0.22068053483963013
county,0.16114220023155212,0.1856244057416916,0.16634419560432434,0.2521575093269348,0.10231395810842514,0.38414254784584045,0.15845301747322083,0.08610360324382782,0.25918450951576233,0.2393190860748291,0.33030465245246887,1.0,0.07680056244134903
seat,0.1103479340672493,0.15423378348350525,0.1550004780292511,0.21922360360622406,0.12715566158294678,0.2861567437648773,0.14240662753582,0.10968869924545288,0.2639167904853821,0.2283020317554474,0.2641061246395111,0.6016365885734558,0.06630133837461472
of,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.3290441930294037,0.25979894399642944,0.23084138333797455,0.41548454761505127,0.31678006052970886,0.452393114566803,1.0,0.2108549326658249,0.2393190860748291,0.1826142966747284
duval,0.23046141862869263,0.10146713256835938,0.15190522372722626,0.16990000009536743,0.14347705245018005,0.3456578254699707,0.279281347990036,0.16697290539741516,0.10222723335027695,0.2108549326658249,0.9999998807907104,0.33030465245246887,0.2110878825187683
county,0.16114220023155212,0.1856244057416916,0.16634419560432434,0.2521575093269348,0.10231395810842514,0.38414254784584045,0.15845301747322083,0.08610360324382782,0.25918450951576233,0.2393190860748291,0.33030465245246887,1.0,0.07680056244134903
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.23713846504688263,0.2546827793121338,0.2837527096271515,0.44245919585227966,0.29676204919815063,0.3376222252845764,0.4946078956127167,0.29493817687034607,0.26861095428466797,0.31091248989105225
with,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.21942877769470215,0.2820144593715668,0.2283513844013214,0.4239959120750427,0.2542296051979065,0.294111043214798,0.41827285289764404,0.21085688471794128,0.1566741019487381,0.2433311939239502
which,0.5261979103088379,0.242343008518219,0.2750149369239807,0.3162149488925934,0.35877716541290283,0.18266190588474274,0.5345056653022766,0.31449273228645325,0.4460882246494293,0.5011631846427917,0.15607863664627075,0.1709478199481964,0.25814583897590637
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.3002266585826874,0.2551237642765045,0.2176690250635147,0.535392165184021,0.31731709837913513,0.527681291103363,0.733189046382904,0.22207818925380707,0.21715226769447327,0.22068053483963013
city,0.17493832111358643,0.24964560568332672,0.12266099452972412,0.23907002806663513,0.09850287437438965,0.3285287022590637,0.20300441980361938,0.16324041783809662,0.3513805866241455,0.32503411173820496,0.2433394193649292,0.47365978360176086,0.13423943519592285
government,0.28074538707733154,0.181336909532547,0.2792121469974518,0.4286927282810211,0.13627474009990692,0.1274321973323822,0.28343796730041504,0.16129286587238312,0.20592926442623138,0.3475167155265808,0.291032075881958,0.3048882782459259,0.18851417303085327
consolidated,0.15863418579101562,0.2016027569770813,0.20596979558467865,0.8376317024230957,0.17685484886169434,0.215550035238266,0.26858964562416077,0.288327693939209,0.24443888664245605,0.3171479105949402,0.1864970326423645,0.31690648198127747,0.16821198165416718
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.2733294367790222,0.24822883307933807,0.22147351503372192,0.45010748505592346,0.23238378763198853,0.4499994218349457,0.5696388483047485,0.23694109916687012,0.31363439559936523,0.20430970191955566
1968,-0.07854823768138885,-0.06641988456249237,-0.016806963831186295,-0.00207343022339046,0.05783911049365997,-0.009058226831257343,0.06488213688135147,-0.013716248795390129,0.05356481671333313,0.09872698038816452,0.000785744225140661,0.02440795488655567,-0.08543776720762253
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.2829543948173523,0.267557293176651,0.2843366861343384,0.4645031690597534,0.32859939336776733,0.32817673683166504,0.5352458953857422,0.28589797019958496,0.25379708409309387,0.4130953550338745
