,how,many,species,of,ctenophores,have,not,been,fully,described,or,named,?
only,0.36590442061424255,0.4670507609844208,0.281429260969162,0.49632513523101807,0.2918035686016083,0.5199421048164368,0.5868885517120361,0.41269755363464355,0.37334394454956055,0.22390316426753998,0.42634648084640503,0.2616419792175293,0.2767370045185089
100–150,0.13918544352054596,0.19991986453533173,0.31483781337738037,0.0681757777929306,0.4078977704048157,0.25619927048683167,0.2534603476524353,0.13715791702270508,0.14976590871810913,0.17961619794368744,0.2758185863494873,-0.003204967360943556,0.2090054750442505
species,0.20142129063606262,0.25436872243881226,0.9999999403953552,0.23307405412197113,0.5645010471343994,0.3239450752735138,0.24377579987049103,0.2805362343788147,0.14211376011371613,0.28715652227401733,0.2828963100910187,0.13429924845695496,0.1957087516784668
have,0.4370637536048889,0.5841760635375977,0.3239450752735138,0.3802283704280853,0.3612369894981384,0.9999999403953552,0.5619372129440308,0.6493861675262451,0.3776229918003082,0.2610739469528198,0.46389055252075195,0.18059904873371124,0.32991164922714233
been,0.26456597447395325,0.4963826537132263,0.2805362343788147,0.31685134768486023,0.18695539236068726,0.6493861675262451,0.39571741223335266,0.9999998807907104,0.3103877007961273,0.3098832666873932,0.32461076974868774,0.20494630932807922,0.24354910850524902
validated,0.23275138437747955,0.1716168075799942,0.17950831353664398,0.2722916305065155,0.24169790744781494,0.3434910178184509,0.3456183671951294,0.3129066526889801,0.30454495549201965,0.2298513948917389,0.2990758717060089,0.09250815212726593,0.27729353308677673
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.19362998008728027,0.3541618287563324,0.3769696354866028,0.34873589873313904,0.2252698540687561,0.25326472520828247,0.3769497275352478,0.2530003488063812,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.20973104238510132,0.4711785912513733,0.39099299907684326,0.3424558639526367,0.23881065845489502,0.2681671977043152,0.4713204801082611,0.23097854852676392,0.20544172823429108
possibly,0.2647186815738678,0.26231956481933594,0.3155671954154968,0.35685303807258606,0.23820102214813232,0.3902921676635742,0.39378318190574646,0.3901509940624237,0.26663944125175476,0.32373058795928955,0.42580652236938477,0.1636538803577423,0.3334614038467407
another,0.34821072220802307,0.33634573221206665,0.1917874813079834,0.38147079944610596,0.22712910175323486,0.3633967638015747,0.3786204159259796,0.3350543975830078,0.24629071354866028,0.22384949028491974,0.4401204288005829,0.305269330739975,0.295511931180954
25,0.07429084926843643,0.11531345546245575,-0.027306007221341133,0.13541533052921295,0.04204178601503372,0.13984240591526031,0.14137670397758484,0.13842393457889557,0.10744926333427429,0.007759172469377518,0.14982478320598602,0.10016561299562454,0.09614268690347672
have,0.4370637536048889,0.5841760635375977,0.3239450752735138,0.3802283704280853,0.3612369894981384,0.9999999403953552,0.5619372129440308,0.6493861675262451,0.3776229918003082,0.2610739469528198,0.46389055252075195,0.18059904873371124,0.32991164922714233
not,0.4869767427444458,0.4369727373123169,0.24377579987049103,0.3307090103626251,0.3236076831817627,0.5619372129440308,0.9999999403953552,0.39571741223335266,0.41931772232055664,0.26403623819351196,0.5119067430496216,0.17369797825813293,0.41942933201789856
been,0.26456597447395325,0.4963826537132263,0.2805362343788147,0.31685134768486023,0.18695539236068726,0.6493861675262451,0.39571741223335266,0.9999998807907104,0.3103877007961273,0.3098832666873932,0.32461076974868774,0.20494630932807922,0.24354910850524902
fully,0.31435075402259827,0.25093981623649597,0.14211376011371613,0.1846403181552887,0.21772180497646332,0.3776229918003082,0.41931772232055664,0.3103877007961273,0.9999998807907104,0.17204847931861877,0.23597170412540436,0.06424753367900848,0.2089291661977768
described,0.2526073157787323,0.2943393588066101,0.28715652227401733,0.297532320022583,0.33291077613830566,0.2610739469528198,0.26403623819351196,0.3098832666873932,0.17204847931861877,0.9999999403953552,0.25404343008995056,0.33087319135665894,0.1374269425868988
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.20973104238510132,0.4711785912513733,0.39099299907684326,0.3424558639526367,0.23881065845489502,0.2681671977043152,0.4713204801082611,0.23097854852676392,0.20544172823429108
named,0.155859112739563,0.2136070877313614,0.13429924845695496,0.2820465862751007,0.11152638494968414,0.18059904873371124,0.17369797825813293,0.20494630932807922,0.06424753367900848,0.33087319135665894,0.12075362354516983,1.0,0.1297498345375061
.,0.3287222981452942,0.3974229395389557,0.25772613286972046,0.5352458953857422,0.22269779443740845,0.41614407300949097,0.4824007451534271,0.33645182847976685,0.2809041440486908,0.21733810007572174,0.36683785915374756,0.24760639667510986,0.4130953550338745
