,what,sort,of,waves,did,he,claim,to,observe,?
he,0.3114890456199646,0.14920461177825928,0.38706058263778687,0.16956393420696259,0.3292143940925598,1.0000001192092896,0.2535962760448456,0.385390967130661,0.15051044523715973,0.2089974731206894
stated,0.3668954074382782,0.279920369386673,0.22148488461971283,0.1676379293203354,0.3936442732810974,0.20432022213935852,0.4243263304233551,0.3195562958717346,0.24720722436904907,0.24280361831188202
that,0.6297725439071655,0.3928408622741699,0.41498205065727234,0.286673367023468,0.47518548369407654,0.36068853735923767,0.39801377058029175,0.5436353087425232,0.33934372663497925,0.32716336846351624
he,0.3114890456199646,0.14920461177825928,0.38706058263778687,0.16956393420696259,0.3292143940925598,1.0000001192092896,0.2535962760448456,0.385390967130661,0.15051044523715973,0.2089974731206894
observed,0.26469987630844116,0.20988164842128754,0.24605341255664825,0.32245782017707825,0.24909503757953644,0.1366744488477707,0.15539246797561646,0.1710500717163086,0.8260174989700317,0.12128034234046936
stationary,0.21953286230564117,0.19627662003040314,0.25504085421562195,0.3737774193286896,0.08252427726984024,0.17821145057678223,0.18082910776138306,0.27527758479118347,0.26182428002357483,0.12602825462818146
waves,0.2342342883348465,0.1794891357421875,0.22565768659114838,0.9999999403953552,0.21477559208869934,0.16956393420696259,0.17353470623493195,0.2522522211074829,0.3142419159412384,0.1603909134864807
during,0.24137552082538605,0.12840665876865387,0.3869180977344513,0.18593987822532654,0.30679523944854736,0.3751114010810852,0.13740764558315277,0.2828781306743622,0.24925918877124786,0.1325719803571701
this,0.5489566326141357,0.3699115216732025,0.45148900151252747,0.22519643604755402,0.3609912693500519,0.3176022469997406,0.30759197473526,0.5759071707725525,0.30226993560791016,0.3155723512172699
time,0.36319252848625183,0.29172658920288086,0.35127586126327515,0.23770834505558014,0.3567926585674286,0.37626320123672485,0.23527570068836212,0.3679993152618408,0.3059888482093811,0.27391523122787476
.,0.3567904531955719,0.24213188886642456,0.5352458953857422,0.26078489422798157,0.35288307070732117,0.38061028718948364,0.24773532152175903,0.4645031690597534,0.2231345772743225,0.4130953550338745
