,if,parliament,agrees,in,a,vote,to,the,general,principle,of,a,bill,",",what,does,it,then,proceed,to,?
if,1.0,0.1661069244146347,0.33746713399887085,0.2589588761329651,0.41272827982902527,0.3017832338809967,0.4559597074985504,0.33724796772003174,0.18856973946094513,0.19978657364845276,0.2557544410228729,0.41272827982902527,0.20148983597755432,0.257730096578598,0.5277165174484253,0.4740144908428192,0.35967332124710083,0.5936081409454346,0.36531931161880493,0.4559597074985504,0.4441644251346588
the,0.33724796772003174,0.26521381735801697,0.2549007534980774,0.6662389636039734,0.5829201340675354,0.22779929637908936,0.535392165184021,1.0,0.28634732961654663,0.24017377197742462,0.733189046382904,0.5829201340675354,0.24155211448669434,0.4933079481124878,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.4297412931919098,0.2329144924879074,0.535392165184021,0.22068053483963013
whole,0.3727339208126068,0.16805045306682587,0.2219124138355255,0.30267009139060974,0.4061710238456726,0.2244948297739029,0.3655387759208679,0.4517841339111328,0.14293557405471802,0.2328856885433197,0.4001069962978363,0.4061710238456726,0.0735677108168602,0.25234273076057434,0.38441845774650574,0.3298923075199127,0.3728134036064148,0.36012002825737,0.21659092605113983,0.3655387759208679,0.21052291989326477
parliament,0.1661069244146347,1.0,0.21904678642749786,0.2323146015405655,0.22951169312000275,0.4532986879348755,0.20290622115135193,0.26521381735801697,0.24502259492874146,0.20825041830539703,0.2885259687900543,0.22951169312000275,0.2732408940792084,0.25442883372306824,0.21650300920009613,0.22050349414348602,0.22944188117980957,0.16255012154579163,0.15879608690738678,0.20290622115135193,0.1586504578590393
agrees,0.33746713399887085,0.21904678642749786,1.0,0.11485614627599716,0.23349922895431519,0.2451631724834442,0.322160929441452,0.2549007534980774,0.1311357021331787,0.29170897603034973,0.22634591162204742,0.23349922895431519,0.205447256565094,0.23621070384979248,0.3902876377105713,0.49916931986808777,0.2350233644247055,0.2689834237098694,0.27618399262428284,0.322160929441452,0.23129244148731232
in,0.2589588761329651,0.2323146015405655,0.11485614627599716,1.0,0.539380669593811,0.21458156406879425,0.45010748505592346,0.6662389636039734,0.259066641330719,0.16382117569446564,0.5696388483047485,0.539380669593811,0.1447519063949585,0.5201468467712402,0.30808621644973755,0.214483380317688,0.5130809545516968,0.36253848671913147,0.09970160573720932,0.45010748505592346,0.20430970191955566
a,0.41272827982902527,0.22951169312000275,0.23349922895431519,0.539380669593811,1.0,0.21813347935676575,0.45503583550453186,0.5829201340675354,0.2157215178012848,0.1871873140335083,0.5052502155303955,1.0,0.24716360867023468,0.427140474319458,0.3320399522781372,0.38201746344566345,0.5452592968940735,0.3970017731189728,0.19753649830818176,0.45503583550453186,0.23916715383529663
vote,0.3017832338809967,0.4532986879348755,0.2451631724834442,0.21458156406879425,0.21813347935676575,1.0,0.2892617881298065,0.22779929637908936,0.19901829957962036,0.23373520374298096,0.19845709204673767,0.21813347935676575,0.2394048422574997,0.27201512455940247,0.30723845958709717,0.17017656564712524,0.2709835171699524,0.16433848440647125,0.22856517136096954,0.2892617881298065,0.2888886630535126
to,0.4559597074985504,0.20290622115135193,0.322160929441452,0.45010748505592346,0.45503583550453186,0.2892617881298065,1.0,0.535392165184021,0.24755197763442993,0.22799374163150787,0.41548454761505127,0.45503583550453186,0.17981381714344025,0.44245919585227966,0.455847829580307,0.4391997456550598,0.513711154460907,0.5203860402107239,0.36850863695144653,1.0,0.29463258385658264
the,0.33724796772003174,0.26521381735801697,0.2549007534980774,0.6662389636039734,0.5829201340675354,0.22779929637908936,0.535392165184021,1.0,0.28634732961654663,0.24017377197742462,0.733189046382904,0.5829201340675354,0.24155211448669434,0.4933079481124878,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.4297412931919098,0.2329144924879074,0.535392165184021,0.22068053483963013
general,0.18856973946094513,0.24502259492874146,0.1311357021331787,0.259066641330719,0.2157215178012848,0.19901829957962036,0.24755197763442993,0.28634732961654663,1.0000001192092896,0.2211521416902542,0.28352999687194824,0.2157215178012848,0.12092206627130508,0.3022127151489258,0.24928055703639984,0.15178900957107544,0.21158641576766968,0.2071060836315155,0.14751771092414856,0.24755197763442993,0.1972234547138214
principles,0.1176878809928894,0.20932923257350922,0.2721286118030548,0.16260969638824463,0.12539856135845184,0.1872551590204239,0.22974111139774323,0.21452596783638,0.2270563840866089,0.8624683022499084,0.25854504108428955,0.12539856135845184,0.17956309020519257,0.23890022933483124,0.3122304081916809,0.2238970249891281,0.2013385146856308,0.10841214656829834,0.27203476428985596,0.22974111139774323,0.19203636050224304
of,0.2557544410228729,0.2885259687900543,0.22634591162204742,0.5696388483047485,0.5052502155303955,0.19845709204673767,0.41548454761505127,0.733189046382904,0.28352999687194824,0.2430231273174286,1.0,0.5052502155303955,0.17127205431461334,0.4946078956127167,0.33290785551071167,0.3119818866252899,0.38761502504348755,0.2937326431274414,0.1699274331331253,0.41548454761505127,0.1826142966747284
the,0.33724796772003174,0.26521381735801697,0.2549007534980774,0.6662389636039734,0.5829201340675354,0.22779929637908936,0.535392165184021,1.0,0.28634732961654663,0.24017377197742462,0.733189046382904,0.5829201340675354,0.24155211448669434,0.4933079481124878,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.4297412931919098,0.2329144924879074,0.535392165184021,0.22068053483963013
bill,0.20148983597755432,0.2732408940792084,0.205447256565094,0.1447519063949585,0.24716360867023468,0.2394048422574997,0.17981381714344025,0.24155211448669434,0.12092206627130508,0.16820918023586273,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.2472437173128128,0.16425743699073792,0.17194031178951263,0.164714053273201,0.18147318065166473,0.21455810964107513,0.17981381714344025,0.12855131924152374
",",0.257730096578598,0.25442883372306824,0.23621070384979248,0.5201468467712402,0.427140474319458,0.27201512455940247,0.44245919585227966,0.4933079481124878,0.3022127151489258,0.22548964619636536,0.4946078956127167,0.427140474319458,0.2472437173128128,1.0000001192092896,0.3087472915649414,0.28617382049560547,0.48329564929008484,0.36768391728401184,0.2232578843832016,0.44245919585227966,0.31091248989105225
it,0.35967332124710083,0.22944188117980957,0.2350233644247055,0.5130809545516968,0.5452592968940735,0.2709835171699524,0.513711154460907,0.6251175999641418,0.21158641576766968,0.2633585035800934,0.38761502504348755,0.5452592968940735,0.164714053273201,0.48329564929008484,0.45803478360176086,0.34188351035118103,0.9999999403953552,0.39228495955467224,0.21744170784950256,0.513711154460907,0.25732165575027466
then,0.5936081409454346,0.16255012154579163,0.2689834237098694,0.36253848671913147,0.3970017731189728,0.16433848440647125,0.5203860402107239,0.4297412931919098,0.2071060836315155,0.13977225124835968,0.2937326431274414,0.3970017731189728,0.18147318065166473,0.36768391728401184,0.4072686731815338,0.2951544523239136,0.39228495955467224,1.0000001192092896,0.3494130074977875,0.5203860402107239,0.2884598970413208
proceeds,0.27558258175849915,0.12794403731822968,0.29643842577934265,0.11013050377368927,0.20331603288650513,0.1194894090294838,0.3372165262699127,0.24717707931995392,0.145646870136261,0.30014023184776306,0.22128021717071533,0.20331603288650513,0.22784192860126495,0.23155201971530914,0.24921929836273193,0.301797479391098,0.19955888390541077,0.30268585681915283,0.8429589867591858,0.3372165262699127,0.1611890345811844
to,0.4559597074985504,0.20290622115135193,0.322160929441452,0.45010748505592346,0.45503583550453186,0.2892617881298065,1.0,0.535392165184021,0.24755197763442993,0.22799374163150787,0.41548454761505127,0.45503583550453186,0.17981381714344025,0.44245919585227966,0.455847829580307,0.4391997456550598,0.513711154460907,0.5203860402107239,0.36850863695144653,1.0,0.29463258385658264
stage,0.1587570160627365,0.22801706194877625,0.09156852960586548,0.2011467069387436,0.2036506086587906,0.1152254045009613,0.1484832912683487,0.22652170062065125,0.07193143665790558,0.0867428183555603,0.1389172226190567,0.2036506086587906,0.24478907883167267,0.2630990147590637,0.15168409049510956,0.15696872770786285,0.17540708184242249,0.172125905752182,0.2054865062236786,0.1484832912683487,0.14916576445102692
2,-0.05319981276988983,0.06827516108751297,0.0031948587857186794,0.01447046548128128,-0.05323360115289688,0.04991928115487099,-0.0836251974105835,-0.019434669986367226,0.02716173231601715,0.044179707765579224,-0.013777675107121468,-0.05323360115289688,0.04328739270567894,-0.08638399094343185,-0.049862053245306015,-0.06106966361403465,-0.0016379877924919128,-0.02751336805522442,-0.023015424609184265,-0.0836251974105835,0.001977203879505396
.,0.421799898147583,0.23747818171977997,0.21650876104831696,0.5591574311256409,0.50484299659729,0.27672019600868225,0.4645031690597534,0.5934505462646484,0.2929490804672241,0.1894911378622055,0.5352458953857422,0.50484299659729,0.2289014607667923,0.6812511086463928,0.3567904531955719,0.3022993505001068,0.5593622326850891,0.4572431147098541,0.21746818721294403,0.4645031690597534,0.4130953550338745
