,how,many,days,did,the,warsaw,uprising,last,?
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.34736719727516174,1.0,0.23137180507183075,0.2853594124317169,0.3698786795139313,0.22068053483963013
armed,0.16149981319904327,0.19583041965961456,0.16267769038677216,0.1205168217420578,0.2418309897184372,0.16781258583068848,0.3761339783668518,0.1391097754240036,0.18816959857940674
struggle,0.2164759635925293,0.22231966257095337,0.20806697010993958,0.21746955811977386,0.22927843034267426,0.20853474736213684,0.36227571964263916,0.2900508940219879,0.1330908089876175
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.3015086054801941,0.4933079481124878,0.25300899147987366,0.2470635622739792,0.29026782512664795,0.31091248989105225
planned,0.16940928995609283,0.182924285531044,0.25031185150146484,0.3708326518535614,0.3010992109775543,0.24078567326068878,0.2873692810535431,0.18500067293643951,0.16188396513462067
to,0.44169697165489197,0.40243685245513916,0.2942236363887787,0.4452643394470215,0.535392165184021,0.1953994333744049,0.21161708235740662,0.30156898498535156,0.29463258385658264
last,0.24577783048152924,0.21182136237621307,0.3330630362033844,0.30895525217056274,0.3698786795139313,0.12620431184768677,0.18175268173217773,1.0,0.22371746599674225
48,0.042629729956388474,0.10806410759687424,0.02859233133494854,0.012393311597406864,0.0778689980506897,-0.018776196986436844,-0.031704120337963104,0.0034877555444836617,-0.07097072154283524
hours,0.20131175220012665,0.18217699229717255,0.5647975206375122,0.24668937921524048,0.18919475376605988,0.06670819222927094,0.1013021171092987,0.3166568875312805,0.21755769848823547
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.3015086054801941,0.4933079481124878,0.25300899147987366,0.2470635622739792,0.29026782512664795,0.31091248989105225
was,0.16678167879581451,0.260356068611145,0.2985812723636627,0.41399896144866943,0.48711544275283813,0.2614976763725281,0.29597118496894836,0.32424551248550415,0.18412111699581146
partially,0.19192731380462646,0.2414855808019638,0.13377051055431366,0.1673588752746582,0.27405473589897156,0.1265968382358551,0.13915495574474335,0.18059878051280975,0.10232327878475189
successful,0.17852677404880524,0.28810474276542664,0.17625866830348969,0.32393038272857666,0.31354787945747375,0.11444313079118729,0.21385419368743896,0.25392982363700867,0.1132197454571724
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.3015086054801941,0.4933079481124878,0.25300899147987366,0.2470635622739792,0.29026782512664795,0.31091248989105225
however,0.45072782039642334,0.5381983518600464,0.30435627698898315,0.5603718757629395,0.49814513325691223,0.15847697854042053,0.211668461561203,0.343666136264801,0.2152075469493866
it,0.36714982986450195,0.39615920186042786,0.2969350814819336,0.2993364930152893,0.6251175999641418,0.1582006961107254,0.2307915836572647,0.23236626386642456,0.25732165575027466
went,0.18771818280220032,0.24444319307804108,0.18847836554050446,0.4810470640659332,0.3345835506916046,0.1387462466955185,0.16956862807273865,0.23464341461658478,0.12109432369470596
on,0.32655060291290283,0.32520127296447754,0.3459240794181824,0.2670976221561432,0.5107308030128479,0.19170401990413666,0.17202121019363403,0.2517152428627014,0.2714994251728058
for,0.3308170735836029,0.40972793102264404,0.2734130620956421,0.318512886762619,0.4739971458911896,0.1427849680185318,0.1721724420785904,0.3043119013309479,0.264628142118454
63,0.26945456862449646,0.3069200813770294,0.021249234676361084,0.15168669819831848,0.03326703980565071,-0.1242760717868805,-0.06912091374397278,-0.04384622722864151,0.15054982900619507
days,0.23509229719638824,0.19773665070533752,0.9999998807907104,0.2182302623987198,0.2574930489063263,0.17732223868370056,0.26301953196525574,0.3330630362033844,0.2198754847049713
.,0.3287222981452942,0.3974229395389557,0.2610209584236145,0.35288307070732117,0.5934505462646484,0.26825499534606934,0.17839539051055908,0.3548945486545563,0.4130953550338745
