,after,ww-ii,where,did,russia,apply,its,old,tsarist,regimes,?
after,1.0,0.23408086597919464,0.31753596663475037,0.30330467224121094,0.18595358729362488,0.15598946809768677,0.29879069328308105,0.2722609341144562,0.32395052909851074,0.22641783952713013,0.16608688235282898
world,0.2694576382637024,0.30977413058280945,0.29259413480758667,0.1944720596075058,0.3189295828342438,0.13704217970371246,0.23953673243522644,0.21079564094543457,0.19365224242210388,0.2000100463628769,0.17579582333564758
war,0.3393358886241913,0.3844837546348572,0.2167234867811203,0.27422013878822327,0.23956188559532166,0.08610700070858002,0.23775866627693176,0.19275924563407898,0.34027349948883057,0.3395806849002838,0.15510529279708862
ii,0.20194965600967407,0.42536428570747375,0.16962364315986633,0.17836059629917145,0.2072693556547165,0.07246091216802597,0.22269928455352783,0.14676323533058167,0.2795770764350891,0.2034963071346283,0.11928234249353409
",",0.38860568404197693,0.26810863614082336,0.3149496018886566,0.3015086054801941,0.2660351097583771,0.2953256368637085,0.33157986402511597,0.26524028182029724,0.31213176250457764,0.23677553236484528,0.31091248989105225
the,0.4565047025680542,0.21944445371627808,0.5003893971443176,0.34736719727516174,0.2746676802635193,0.23137710988521576,0.559237003326416,0.31849798560142517,0.2664501667022705,0.26122304797172546,0.22068053483963013
soviet,0.21747809648513794,0.20155279338359833,0.08966035395860672,0.20321983098983765,0.5611785054206848,0.14269600808620453,0.2310093343257904,0.11320889741182327,0.4480831027030945,0.3126225471496582,0.08693568408489227
union,0.18530848622322083,0.18237081170082092,0.14066480100154877,0.185054212808609,0.3352377414703369,0.1331356018781662,0.22658714652061462,0.11028840392827988,0.3077257573604584,0.25130313634872437,0.07797172665596008
installed,0.1641712337732315,0.1762896627187729,0.22541701793670654,0.19468750059604645,0.06711535155773163,0.21902145445346832,0.17037679255008698,0.17238886654376984,0.1244523748755455,0.18024197220802307,0.2174687534570694
socialist,0.20176421105861664,0.22394993901252747,0.09696556627750397,0.18192549049854279,0.3139227032661438,0.1308181881904602,0.23570486903190613,0.14610548317432404,0.4407535493373871,0.3705953061580658,0.13656741380691528
regimes,0.22641783952713013,0.20594510436058044,0.1901792734861374,0.1965882033109665,0.21417173743247986,0.23414874076843262,0.24123311042785645,0.1322692334651947,0.33551114797592163,1.0,0.1432064026594162
