,what,is,one,of,the,largest,city,center,shopping,complexes,in,the,uk,?
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.3757036626338959,0.35769423842430115,0.29064592719078064,0.2492470145225525,0.2574344575405121,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3001094460487366,0.36650770902633667,0.3757036626338959,0.9999999403953552,0.3647192716598511,0.2320937216281891,0.2583876848220825,0.2404261976480484,0.3017216920852661,0.3757036626338959,0.21688705682754517,0.12401245534420013
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.36650770902633667,0.32503411173820496,0.24526838958263397,0.22668150067329407,0.25659966468811035,0.5696388483047485,0.733189046382904,0.21513383090496063,0.1826142966747284
these,0.4164220690727234,0.2498808652162552,0.41197383403778076,0.42684608697891235,0.49086877703666687,0.20405367016792297,0.14587189257144928,0.11932842433452606,0.18656273186206818,0.3661830425262451,0.3791837692260742,0.49086877703666687,0.12635862827301025,0.2571668326854706
is,0.28837618231773376,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.3413417339324951,0.3186660706996918,0.24782158434391022,0.2358693778514862,0.25629928708076477,0.5394441485404968,0.5823672413825989,0.17650434374809265,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.3757036626338959,0.35769423842430115,0.29064592719078064,0.2492470145225525,0.2574344575405121,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
eldon,0.17536026239395142,0.18042348325252533,0.1632820963859558,0.1765909343957901,0.21200692653656006,0.14663881063461304,0.26356983184814453,0.18502695858478546,0.1775975227355957,0.14130201935768127,0.29987475275993347,0.21200692653656006,0.26168200373649597,0.18489088118076324
square,0.12660330533981323,0.2405121773481369,0.2554338574409485,0.2585134208202362,0.2809545397758484,0.29800933599472046,0.3497491180896759,0.21701675653457642,0.3402014374732971,0.2778289020061493,0.2193731665611267,0.2809545397758484,0.16040122509002686,0.1201515942811966
shopping,0.128513902425766,0.2358693778514862,0.23904137313365936,0.22668150067329407,0.2492470145225525,0.2583876848220825,0.3393941819667816,0.31257864832878113,1.0,0.3766006827354431,0.25587013363838196,0.2492470145225525,0.19569431245326996,0.1303974688053131
centre,0.12324132025241852,0.29804176092147827,0.17725543677806854,0.2769378423690796,0.32783594727516174,0.3420230448246002,0.3318089246749878,0.5607178807258606,0.39968249201774597,0.29268908500671387,0.2765078544616699,0.32783594727516174,0.23889344930648804,0.019365152344107628
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.26626327633857727,0.35839709639549255,0.1905742734670639,0.22641058266162872,0.23871298134326935,0.5201468467712402,0.4933079481124878,0.2632971405982971,0.31091248989105225
one,0.376489520072937,0.4544198513031006,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.3001094460487366,0.26093539595603943,0.1608579307794571,0.23904137313365936,0.23504149913787842,0.4129433035850525,0.5514441132545471,0.23009344935417175,0.2673267424106598
