,who,may,be,a,spiritual,teacher,in,the,lds,church,?
the,0.3733934462070465,0.2694292366504669,0.4248143136501312,0.5829201340675354,0.2149372547864914,0.17760860919952393,0.6662389636039734,1.0,0.21610027551651,0.23846197128295898,0.22068053483963013
role,0.2767873704433441,0.15055087208747864,0.1769188493490219,0.22880133986473083,0.16770803928375244,0.18514810502529144,0.243671715259552,0.26607486605644226,0.08253653347492218,0.12495315074920654,0.18676944077014923
of,0.2827862501144409,0.26447007060050964,0.33904364705085754,0.5052502155303955,0.3108343183994293,0.19968076050281525,0.5696388483047485,0.733189046382904,0.2256365418434143,0.3079429268836975,0.1826142966747284
``,0.02397952415049076,0.13614267110824585,0.07670000940561295,0.07272057235240936,0.04653976112604141,0.07266681641340256,0.04765888676047325,0.029072100296616554,-0.04455171898007393,0.038532305508852005,0.0685480609536171
spiritual,0.26703861355781555,0.19293951988220215,0.217450812458992,0.2160448133945465,1.0,0.36543601751327515,0.1903325319290161,0.2149372547864914,0.2216624915599823,0.3318040370941162,0.1801415979862213
teacher,0.35707929730415344,0.15417979657649994,0.1891087293624878,0.31202319264411926,0.36543601751327515,0.9999998807907104,0.22632350027561188,0.17760860919952393,0.1892998069524765,0.2423553615808487,0.1797819435596466
'',0.024401003494858742,0.020231230184435844,0.08835477381944656,0.04890415817499161,0.06836389005184174,-0.0015530947130173445,0.07432962208986282,0.041273195296525955,-0.009217419661581516,0.0220292080193758,0.018684765323996544
may,0.23082798719406128,0.9999998807907104,0.45514434576034546,0.29255667328834534,0.19293951988220215,0.15417979657649994,0.3424151837825775,0.2694292366504669,0.15501968562602997,0.18112462759017944,0.2768254578113556
be,0.3371641933917999,0.45514434576034546,1.0,0.39883795380592346,0.217450812458992,0.1891087293624878,0.3481820821762085,0.4248143136501312,0.16910868883132935,0.14655785262584686,0.3324260413646698
filled,0.20025239884853363,0.18145205080509186,0.3015251159667969,0.26714956760406494,0.11560078710317612,0.11475899815559387,0.21960462629795074,0.2674119770526886,0.1336996853351593,0.09052050858736038,0.1782117635011673
by,0.39727845788002014,0.1970296949148178,0.43158695101737976,0.32094135880470276,0.13236045837402344,0.16136689484119415,0.370934396982193,0.4408751428127289,0.12668463587760925,0.135782390832901,0.17966607213020325
many,0.4149286150932312,0.29758191108703613,0.3961109519004822,0.2872205972671509,0.23598726093769073,0.16581547260284424,0.41474202275276184,0.4335206151008606,0.24859292805194855,0.20546764135360718,0.2124512493610382
individuals,0.349673330783844,0.25262126326560974,0.4109807014465332,0.2836177945137024,0.31368276476860046,0.1136784628033638,0.22240658104419708,0.3022412955760956,0.2782200574874878,0.16704195737838745,0.20243582129478455
in,0.2792111933231354,0.3424151837825775,0.3481820821762085,0.539380669593811,0.1903325319290161,0.22632350027561188,1.0,0.6662389636039734,0.1740175187587738,0.2493300437927246,0.20430970191955566
