,where,is,the,chloroplast,peripheral,reticulum,usually,found,?
it,0.36972272396087646,0.6328473687171936,0.6251175999641418,0.23054824769496918,0.20627814531326294,0.21435245871543884,0.34398654103279114,0.3907957971096039,0.25732165575027466
is,0.3586711287498474,1.0,0.5823672413825989,0.20798198878765106,0.22493493556976318,0.2396506369113922,0.4230746626853943,0.3526395261287689,0.22961433231830597
often,0.4629369378089905,0.3856629431247711,0.38004449009895325,0.26007363200187683,0.2969065308570862,0.27155569195747375,0.7742448449134827,0.23000052571296692,0.23748154938220978
found,0.2867223024368286,0.3526395261287689,0.3452354073524475,0.22485198080539703,0.11087322980165482,0.25499773025512695,0.1686372309923172,0.9999999403953552,0.16790300607681274
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.19207799434661865,0.1917923092842102,0.1814461052417755,0.28848564624786377,0.39141854643821716,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,1.0,0.21317854523658752,0.24567924439907074,0.20027446746826172,0.36782920360565186,0.3452354073524475,0.22068053483963013
chloroplasts,0.22257623076438904,0.22550933063030243,0.23062430322170258,0.9777651429176331,0.356969952583313,0.5162537693977356,0.28637638688087463,0.23219403624534607,0.13049766421318054
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2069506198167801,0.2493284046649933,0.2014906257390976,0.33931583166122437,0.2982911467552185,0.1826142966747284
c4,-0.020556364208459854,-0.01748819462954998,0.007679959759116173,-0.10036639869213104,-0.03899826854467392,-0.1877594143152237,0.037030015140771866,-0.02548191323876381,-0.1533951610326767
plants,0.24032823741436005,0.2423158437013626,0.29499560594558716,0.5447878837585449,0.22913858294487,0.36683228611946106,0.3043793737888336,0.2663109004497528,0.1473488062620163
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.20078974962234497,0.20488156378269196,0.18222381174564362,0.21946179866790771,0.27385151386260986,0.31091248989105225
though,0.34659990668296814,0.3265945613384247,0.38776206970214844,0.25277602672576904,0.21093964576721191,0.18871749937534332,0.3570004403591156,0.3201669454574585,0.3188856542110443
it,0.36972272396087646,0.6328473687171936,0.6251175999641418,0.23054824769496918,0.20627814531326294,0.21435245871543884,0.34398654103279114,0.3907957971096039,0.25732165575027466
has,0.32190436124801636,0.5668748617172241,0.4177538752555847,0.1652500033378601,0.17834538221359253,0.15090970695018768,0.3205535113811493,0.21070325374603271,0.15994466841220856
also,0.5413004159927368,0.5012649297714233,0.6021018624305725,0.27024057507514954,0.252578467130661,0.2181239128112793,0.46235284209251404,0.30864807963371277,0.21848613023757935
been,0.24669882655143738,0.39566612243652344,0.3563927710056305,0.2330954372882843,0.14943912625312805,0.1717098504304886,0.31339728832244873,0.3022008240222931,0.24354910850524902
found,0.2867223024368286,0.3526395261287689,0.3452354073524475,0.22485198080539703,0.11087322980165482,0.25499773025512695,0.1686372309923172,0.9999999403953552,0.16790300607681274
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.19207799434661865,0.1917923092842102,0.1814461052417755,0.28848564624786377,0.39141854643821716,0.20430970191955566
some,0.39480453729629517,0.3038453459739685,0.4566698372364044,0.2777946889400482,0.2647128403186798,0.2645753026008606,0.5402855277061462,0.3385355472564697,0.2562315762042999
c3,0.09290523827075958,-0.02490866743028164,0.030126238241791725,0.015599549748003483,0.0039696055464446545,0.022452350705862045,-0.0667261928319931,0.06773576885461807,-0.06926749646663666
angiosperms,0.20018750429153442,0.19479237496852875,0.26605916023254395,0.5200194716453552,0.3327772319316864,0.4705674648284912,0.34124407172203064,0.20657356083393097,0.20291751623153687
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.20078974962234497,0.20488156378269196,0.18222381174564362,0.21946179866790771,0.27385151386260986,0.31091248989105225
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.19758054614067078,0.23786334693431854,0.16602884232997894,0.3817319869995117,0.27978911995887756,0.20544172823429108
even,0.35960274934768677,0.28202980756759644,0.37996912002563477,0.20482070744037628,0.18019011616706848,0.19225017726421356,0.44377684593200684,0.27348941564559937,0.30082517862319946
some,0.39480453729629517,0.3038453459739685,0.4566698372364044,0.2777946889400482,0.2647128403186798,0.2645753026008606,0.5402855277061462,0.3385355472564697,0.2562315762042999
gymnosperms,0.22570164501667023,0.19783489406108856,0.24416925013065338,0.5373620986938477,0.3063467741012573,0.49217885732650757,0.3311023414134979,0.2636813223361969,0.21663521230220795
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2371024191379547,0.1677653044462204,0.17076565325260162,0.28580138087272644,0.3618174195289612,0.4130953550338745
