,how,many,people,died,of,plague,in,paris,in,1466,?
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.25881269574165344,0.5696388483047485,0.2488756626844406,1.0,0.29171380400657654,1.0,0.0905563235282898,0.20430970191955566
1466,0.10832413285970688,0.19652722775936127,0.12836457788944244,0.021309617906808853,0.0957837849855423,0.013264086097478867,0.0905563235282898,0.016074618324637413,0.0905563235282898,1.0,-0.07531455159187317
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.36026471853256226,0.4946078956127167,0.2630122900009155,0.5201468467712402,0.25794950127601624,0.5201468467712402,0.06865975260734558,0.31091248989105225
perhaps,0.39279240369796753,0.3372552990913391,0.2298058718442917,0.12431143969297409,0.3375486433506012,0.24428167939186096,0.2746174931526184,0.17938978970050812,0.2746174931526184,0.16221895813941956,0.4211712181568146
"40,000",0.08398868143558502,0.0646485835313797,0.012726645916700363,0.31973859667778015,0.20713761448860168,0.05278956890106201,0.24079853296279907,0.2053539901971817,0.24079853296279907,-0.00012294632324483246,0.262452632188797
people,0.2932034730911255,0.4171447455883026,1.0000001192092896,0.271404504776001,0.3251037895679474,0.26268962025642395,0.39605680108070374,0.19259309768676758,0.39605680108070374,0.12836457788944244,0.23739641904830933
died,0.07147754728794098,0.16722610592842102,0.271404504776001,0.9999998807907104,0.25637882947921753,0.3328428268432617,0.25881269574165344,0.24394193291664124,0.25881269574165344,0.021309617906808853,0.15254227817058563
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,0.19470684230327606,0.5696388483047485,0.0957837849855423,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.18710990250110626,0.733189046382904,0.2537761330604553,0.6662389636039734,0.24946041405200958,0.6662389636039734,0.17118963599205017,0.22068053483963013
plague,0.16610242426395416,0.2661729156970978,0.26268962025642395,0.3328428268432617,0.27455615997314453,0.9999999403953552,0.2488756626844406,0.2765978276729584,0.2488756626844406,0.013264086097478867,0.11872942000627518
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.25881269574165344,0.5696388483047485,0.2488756626844406,1.0,0.29171380400657654,1.0,0.0905563235282898,0.20430970191955566
paris,0.15204280614852905,0.20441709458827972,0.19259309768676758,0.24394193291664124,0.19470684230327606,0.2765978276729584,0.29171380400657654,1.0,0.29171380400657654,0.016074618324637413,0.1491217315196991
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.24093139171600342,0.5352458953857422,0.2547653317451477,0.5591574311256409,0.2676265835762024,0.5591574311256409,0.04490048438310623,0.4130953550338745
