,what,lionsgate,trailer,was,shown,during,the,super,bowl,?
fox,0.16651637852191925,0.4177420139312744,0.15135587751865387,0.18574436008930206,0.2285570353269577,0.1817074865102768,0.24760441482067108,0.17024748027324677,0.17459118366241455,0.1670110523700714
paid,0.254770964384079,0.24763692915439606,0.17094449698925018,0.29885348677635193,0.19923388957977295,0.26965436339378357,0.22871042788028717,0.06850399821996689,0.16991259157657623,0.20964482426643372
for,0.3017193675041199,0.2642984986305237,0.1980103701353073,0.3863949179649353,0.28684258460998535,0.3448435664176941,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
deadpool,0.277893990278244,0.49080124497413635,0.37386804819107056,0.2820911705493927,0.2904406487941742,0.20141379535198212,0.3412702977657318,0.3097268044948578,0.2170099914073944,0.24113722145557404
",",0.3087472915649414,0.30752867460250854,0.20151035487651825,0.45456063747406006,0.25911012291908264,0.3225448727607727,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
x-men,0.1464698761701584,0.1776968389749527,0.20309090614318848,0.2133687287569046,0.14294230937957764,0.3245892822742462,0.27345529198646545,0.1687907576560974,0.17898325622081757,0.14535854756832123
:,-0.12022944539785385,-0.14374591410160065,-0.10141312330961227,0.002802103292196989,-0.09815337508916855,0.03165488690137863,-0.03403344005346298,0.14034654200077057,0.14579139649868011,-0.07156077772378922
apocalypse,0.19671958684921265,0.3291131258010864,0.2384660392999649,0.20574891567230225,0.20236273109912872,0.14079779386520386,0.3059094250202179,0.14775389432907104,0.1736818552017212,0.21990230679512024
",",0.3087472915649414,0.30752867460250854,0.20151035487651825,0.45456063747406006,0.25911012291908264,0.3225448727607727,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
independence,0.24622133374214172,0.16176080703735352,0.09794473648071289,0.24797119200229645,0.1377897560596466,0.26111742854118347,0.2836182415485382,0.1479015052318573,0.15814414620399475,0.12301119416952133
day,0.2990210950374603,0.15255025029182434,0.2224484086036682,0.24314451217651367,0.20424701273441315,0.3424895405769348,0.3062323033809662,0.12438684701919556,0.17859336733818054,0.2141837179660797
