,who,specifically,does,ht,target,to,change,the,opinion,of,?
ht,0.05712490156292915,0.1713261902332306,0.17249701917171478,1.0,0.2317993938922882,0.1455899029970169,0.1595131903886795,0.17889079451560974,0.08591710031032562,0.13599449396133423,0.28602924942970276
does,0.25013914704322815,0.24997541308403015,1.0,0.17249701917171478,0.20005382597446442,0.4391997456550598,0.3352322578430176,0.35928019881248474,0.2539577782154083,0.3119818866252899,0.338003009557724
not,0.369414746761322,0.35163092613220215,0.6355478763580322,0.17373675107955933,0.27354881167411804,0.5149973034858704,0.44423985481262207,0.4310511648654938,0.344075471162796,0.3307090103626251,0.41942933201789856
engage,0.24786707758903503,0.258736789226532,0.23212680220603943,0.044067274779081345,0.19160990417003632,0.2313132882118225,0.2942618429660797,0.2234465479850769,0.2563837766647339,0.16617678105831146,0.1593245565891266
in,0.2792111933231354,0.2524903118610382,0.214483380317688,0.11868356168270111,0.1404450386762619,0.45010748505592346,0.2510564923286438,0.6662389636039734,0.21849191188812256,0.5696388483047485,0.20430970191955566
armed,0.2866552174091339,0.16805627942085266,0.10074612498283386,0.16515161097049713,0.29038992524147034,0.2092485874891281,0.14068496227264404,0.2418309897184372,0.17375950515270233,0.24764959514141083,0.18816959857940674
jihad,0.2689245939254761,0.21586714684963226,0.16942839324474335,0.16715680062770844,0.23367564380168915,0.17378291487693787,0.17164573073387146,0.22348956763744354,0.2402784377336502,0.193709596991539,0.21031080186367035
or,0.31144875288009644,0.4308348000049591,0.4248845875263214,0.23737215995788574,0.28024110198020935,0.38921234011650085,0.3169957101345062,0.4174870550632477,0.23707254230976105,0.3792596757411957,0.32389625906944275
work,0.3146236836910248,0.29166996479034424,0.2975199520587921,0.10437973588705063,0.15693284571170807,0.3482864499092102,0.32871606945991516,0.2704800069332123,0.3075876832008362,0.23473061621189117,0.2621155381202698
for,0.37110671401023865,0.3680536448955536,0.35159170627593994,0.16985204815864563,0.21645283699035645,0.4451248347759247,0.28146812319755554,0.4739971458911896,0.24901410937309265,0.4185989499092102,0.264628142118454
a,0.36608949303627014,0.30994293093681335,0.38201746344566345,0.16875308752059937,0.1994335651397705,0.45503583550453186,0.3047741651535034,0.5829201340675354,0.270957887172699,0.5052502155303955,0.23916715383529663
democratic,0.1775825470685959,0.13501757383346558,0.1422075480222702,0.17458109557628632,0.16300898790359497,0.20661352574825287,0.22552607953548431,0.21570740640163422,0.27193915843963623,0.2273487150669098,0.1668088138103485
system,0.1550477296113968,0.2812975347042084,0.2021704614162445,0.17576271295547485,0.1285725086927414,0.26662686467170715,0.21607841551303864,0.3233085572719574,0.2100251317024231,0.25597915053367615,0.15556083619594574
",",0.3365725874900818,0.23526887595653534,0.28617382049560547,0.17012560367584229,0.19288919866085052,0.44245919585227966,0.2752361297607422,0.4933079481124878,0.30441099405288696,0.4946078956127167,0.31091248989105225
but,0.4487357437610626,0.3196537494659424,0.4353378415107727,0.09189574420452118,0.19236354529857635,0.5542377829551697,0.3924606144428253,0.4859698414802551,0.3740657866001129,0.39942997694015503,0.27921953797340393
works,0.2919859290122986,0.23116448521614075,0.3256840407848358,0.07164978981018066,0.11358281224966049,0.22564561665058136,0.1901509016752243,0.26337864995002747,0.25823795795440674,0.1964656114578247,0.19597402215003967
to,0.42656609416007996,0.4197046458721161,0.4391997456550598,0.1455899029970169,0.275001585483551,1.0,0.3581787943840027,0.535392165184021,0.3052038252353668,0.41548454761505127,0.29463258385658264
