,what,city,did,tesla,move,to,in,1880,?
in,0.30808621644973755,0.3911624252796173,0.2593238651752472,0.17097744345664978,0.23030683398246765,0.45010748505592346,1.0,0.04348104074597359,0.20430970191955566
january,0.19257698953151703,0.22583067417144775,0.23508968949317932,0.13615937530994415,0.15973882377147675,0.20270398259162903,0.28467586636543274,0.0582595095038414,0.28608936071395874
1880,0.08119592815637589,0.05068318173289299,0.04650172218680382,-0.14001339673995972,0.20208945870399475,0.14115941524505615,0.04348104074597359,1.0,0.07120001316070557
",",0.3087472915649414,0.35839709639549255,0.3015086054801941,0.20599327981472015,0.25767531991004944,0.44245919585227966,0.5201468467712402,0.028594277799129486,0.31091248989105225
two,0.23363454639911652,0.17386646568775177,0.2755576968193054,0.18793831765651703,0.25823381543159485,0.3343428373336792,0.36463531851768494,0.03005111962556839,0.19645625352859497
of,0.33290785551071167,0.32503411173820496,0.2513895630836487,0.18837453424930573,0.19058799743652344,0.41548454761505127,0.5696388483047485,0.02491694688796997,0.1826142966747284
tesla,0.23221199214458466,0.13220614194869995,0.09757418930530548,0.9999999403953552,0.14545100927352905,0.17548894882202148,0.17097744345664978,-0.14001339673995972,0.10250775516033173
's,0.02692362666130066,0.004406440537422895,0.05069678649306297,0.06449045985937119,0.03534839302301407,0.03782717138528824,-0.037580832839012146,-0.0004370248643681407,-0.023395681753754616
uncles,0.23783205449581146,0.1442878097295761,0.29665905237197876,0.13091199100017548,0.1365845948457718,0.2656448781490326,0.194574773311615,0.1364002674818039,0.18293200433254242
put,0.3330543637275696,0.15429334342479706,0.32128840684890747,0.1382041871547699,0.395041286945343,0.36244112253189087,0.26728662848472595,0.16010065376758575,0.2993032932281494
together,0.22179445624351501,0.16101635992527008,0.16267985105514526,0.2026316523551941,0.20129235088825226,0.33225905895233154,0.3252169191837311,0.0491790734231472,0.1690303236246109
enough,0.3944990336894989,0.15436311066150665,0.3866412043571472,0.16320869326591492,0.26997706294059753,0.43150144815444946,0.24705477058887482,0.17030403017997742,0.3526461720466614
money,0.2704482674598694,0.20936250686645508,0.3498571217060089,0.1636640876531601,0.18925604224205017,0.3124290704727173,0.2393328845500946,0.0254826582968235,0.2069680541753769
to,0.455847829580307,0.20300441980361938,0.4452643394470215,0.17548894882202148,0.37858664989471436,1.0,0.45010748505592346,0.14115941524505615,0.29463258385658264
help,0.3728281855583191,0.0759192556142807,0.35430794954299927,0.11845614016056061,0.31569239497184753,0.46191298961639404,0.21321536600589752,0.15626852214336395,0.28403452038764954
him,0.34912991523742676,0.15622061491012573,0.4290095865726471,0.14682093262672424,0.23807695508003235,0.4702378511428833,0.2284061461687088,0.05936188995838165,0.23943768441677094
leave,0.3595171868801117,0.20400792360305786,0.3432042896747589,-0.009146789088845253,0.4472132921218872,0.408642441034317,0.24126532673835754,0.25838229060173035,0.23890845477581024
gospić,0.25793588161468506,0.25608253479003906,0.174786776304245,0.28443384170532227,0.10780812799930573,0.2624954581260681,0.2824176847934723,0.012366140261292458,0.15864557027816772
for,0.3017193675041199,0.18687109649181366,0.318512886762619,0.13983871042728424,0.21230614185333252,0.4451248347759247,0.4322226941585541,0.08849990367889404,0.264628142118454
prague,0.1098240539431572,0.29056546092033386,0.17591868340969086,0.3433745205402374,0.08067534118890762,0.18364588916301727,0.2534162700176239,0.013113459572196007,0.13819217681884766
where,0.4457937180995941,0.2686662971973419,0.24159270524978638,0.12761090695858002,0.3954756259918213,0.47735077142715454,0.5344807505607605,0.15604427456855774,0.24793872237205505
he,0.3114890456199646,0.2717975378036499,0.3292143940925598,0.12373391538858414,0.19217868149280548,0.385390967130661,0.41690486669540405,0.005447762552648783,0.2089974731206894
was,0.22111038863658905,0.3188765048980713,0.41399896144866943,0.16455206274986267,0.1574081927537918,0.3636345863342285,0.45514053106307983,-0.05979476869106293,0.18412111699581146
to,0.455847829580307,0.20300441980361938,0.4452643394470215,0.17548894882202148,0.37858664989471436,1.0,0.45010748505592346,0.14115941524505615,0.29463258385658264
study,0.3123835027217865,0.17168112099170685,0.21215762197971344,0.1303233504295349,0.18992584943771362,0.3326032757759094,0.2875489294528961,0.06667225062847137,0.15902167558670044
.,0.3567904531955719,0.29856356978416443,0.35288307070732117,0.17949827015399933,0.31650546193122864,0.4645031690597534,0.5591574311256409,0.06927823275327682,0.4130953550338745
