,supplies,from,jacksonville,were,in,support,of,which,faction,in,the,civil,war,?
during,0.2637180685997009,0.3186885714530945,0.2325054407119751,0.4064035415649414,0.4627237319946289,0.19474700093269348,0.3869180977344513,0.3590145409107208,0.31141841411590576,0.4627237319946289,0.4838213622570038,0.2953299880027771,0.4802435040473938,0.1325719803571701
the,0.31027752161026,0.40150508284568787,0.2176690250635147,0.3906462490558624,0.6662389636039734,0.22984638810157776,0.733189046382904,0.6521818041801453,0.3095810115337372,0.6662389636039734,1.0,0.2477465271949768,0.366199791431427,0.22068053483963013
american,0.19391706585884094,0.20110583305358887,0.38284847140312195,0.18710100650787354,0.22871561348438263,0.13792374730110168,0.22180068492889404,0.16603466868400574,0.17381684482097626,0.22871561348438263,0.24562937021255493,0.2562917470932007,0.2592540383338928,0.18877598643302917
civil,0.22410282492637634,0.11420916765928268,0.22457663714885712,0.2641898989677429,0.26466667652130127,0.19972728192806244,0.24698495864868164,0.13459211587905884,0.26323139667510986,0.26466667652130127,0.2477465271949768,1.0,0.5418448448181152,0.1494513899087906
war,0.3315029740333557,0.1811102032661438,0.18616357445716858,0.3151806890964508,0.29904094338417053,0.23062802851200104,0.31680163741111755,0.2244700789451599,0.38973185420036316,0.29904094338417053,0.366199791431427,0.5418448448181152,1.0000001192092896,0.15510529279708862
",",0.25665605068206787,0.39760664105415344,0.2837527096271515,0.36755475401878357,0.5201468467712402,0.2733234167098999,0.4946078956127167,0.3658004403114319,0.1817258894443512,0.5201468467712402,0.4933079481124878,0.24795588850975037,0.2671184241771698,0.31091248989105225
jacksonville,0.1508266031742096,0.20407649874687195,1.0000001192092896,0.20713816583156586,0.22147351503372192,0.1909630298614502,0.23084138333797455,0.18266190588474274,0.15274998545646667,0.22147351503372192,0.2176690250635147,0.22457663714885712,0.18616357445716858,0.1359667330980301
was,0.2477492392063141,0.31171464920043945,0.2742757201194763,0.590133786201477,0.45514053106307983,0.2208256870508194,0.4069072902202606,0.2830964922904968,0.2640288770198822,0.45514053106307983,0.48711544275283813,0.24303317070007324,0.3560331463813782,0.18412111699581146
a,0.2058967798948288,0.322764128446579,0.28008249402046204,0.17203083634376526,0.539380669593811,0.2484646886587143,0.5052502155303955,0.56894451379776,0.27524635195732117,0.539380669593811,0.5829201340675354,0.21693918108940125,0.2368277609348297,0.23916715383529663
key,0.1734974980354309,0.14647065103054047,0.18947917222976685,0.10824445635080338,0.21450091898441315,0.1630028486251831,0.24036972224712372,0.28182828426361084,0.18450665473937988,0.21450091898441315,0.2260027974843979,0.1405189037322998,0.13761569559574127,0.18782930076122284
supply,0.7326512336730957,0.21366941928863525,0.09123504161834717,0.20809896290302277,0.21402505040168762,0.31855830550193787,0.23476092517375946,0.33623191714286804,0.2706121504306793,0.21402505040168762,0.31942567229270935,0.18764737248420715,0.27858367562294006,0.14298182725906372
point,0.17141161859035492,0.2273016721010208,0.18991303443908691,0.14709797501564026,0.24451331794261932,0.21028271317481995,0.269877165555954,0.28051429986953735,0.09825816005468369,0.24451331794261932,0.3084787130355835,0.11416765302419662,0.1489233374595642,0.19189560413360596
for,0.28379538655281067,0.314039945602417,0.28549739718437195,0.33592689037323,0.4322226941585541,0.3156939148902893,0.4185989499092102,0.44095608592033386,0.18011611700057983,0.4322226941585541,0.4739971458911896,0.1685788929462433,0.22632956504821777,0.264628142118454
hogs,0.27339136600494385,0.19351857900619507,0.2768702507019043,0.2843126952648163,0.16007697582244873,0.06162486597895622,0.1518540233373642,0.23764336109161377,0.10453276336193085,0.16007697582244873,0.18713954091072083,0.052471861243247986,0.0661119669675827,0.17460526525974274
and,0.3587413430213928,0.3601827025413513,0.2603762745857239,0.42175528407096863,0.4954058527946472,0.25609129667282104,0.5116966962814331,0.506277859210968,0.20411327481269836,0.4954058527946472,0.5171257257461548,0.25259146094322205,0.29695844650268555,0.20544172823429108
cattle,0.3183659017086029,0.20743928849697113,0.1809164136648178,0.2433171272277832,0.24646858870983124,0.08291658014059067,0.2318044900894165,0.24935682117938995,0.16198472678661346,0.24646858870983124,0.2538938522338867,0.1649588793516159,0.1890922635793686,0.17239461839199066
being,0.26287513971328735,0.32622846961021423,0.21006876230239868,0.4775565266609192,0.33162933588027954,0.18548275530338287,0.34885138273239136,0.4268448054790497,0.273960143327713,0.33162933588027954,0.419739305973053,0.18085385859012604,0.26798877120018005,0.26743772625923157
shipped,0.38484176993370056,0.24632708728313446,0.15973494946956635,0.35189104080200195,0.2365943193435669,0.22720418870449066,0.27060553431510925,0.23273511230945587,0.11599447578191757,0.2365943193435669,0.26462239027023315,0.15115579962730408,0.28964757919311523,0.2201380878686905
from,0.21651031076908112,1.0,0.20407649874687195,0.29991888999938965,0.4274188280105591,0.17207206785678864,0.4249346852302551,0.38755592703819275,0.16378526389598846,0.4274188280105591,0.40150508284568787,0.11420916765928268,0.1811102032661438,0.19969791173934937
