,who,sets,the,legislative,agenda,in,victoria,?
the,0.3733934462070465,0.2320500761270523,1.0,0.27501925826072693,0.24096648395061493,0.6662389636039734,0.2204313427209854,0.22068053483963013
premier,0.23959188163280487,0.13358637690544128,0.22658593952655792,0.2963140904903412,0.22439533472061157,0.1662118285894394,0.243954598903656,0.1292608082294464
is,0.24293622374534607,0.13592837750911713,0.5823672413825989,0.19055356085300446,0.19825543463230133,0.5394441485404968,0.1633591204881668,0.22961433231830597
the,0.3733934462070465,0.2320500761270523,1.0,0.27501925826072693,0.24096648395061493,0.6662389636039734,0.2204313427209854,0.22068053483963013
public,0.18950407207012177,0.11552713811397552,0.22857438027858734,0.27894261479377747,0.2822304964065552,0.29074716567993164,0.19629675149917603,0.19872993230819702
face,0.24695198237895966,0.183679461479187,0.2601291239261627,0.07417520135641098,0.12652777135372162,0.17266811430454254,0.17367997765541077,0.12476722151041031
of,0.2827862501144409,0.14160113036632538,0.733189046382904,0.34083476662635803,0.21928389370441437,0.5696388483047485,0.2505437433719635,0.1826142966747284
government,0.27194860577583313,0.13161349296569824,0.31798112392425537,0.5228409767150879,0.3798384368419647,0.3066793978214264,0.25075703859329224,0.18851417303085327
and,0.41279885172843933,0.23491808772087097,0.5171257257461548,0.2681875228881836,0.2819797396659851,0.4954058527946472,0.24507255852222443,0.20544172823429108
",",0.3365725874900818,0.19630418717861176,0.4933079481124878,0.24434074759483337,0.29892265796661377,0.5201468467712402,0.2279360294342041,0.31091248989105225
with,0.3282766342163086,0.19561094045639038,0.4223487675189972,0.15561223030090332,0.19115616381168365,0.4080928862094879,0.1835653930902481,0.2433311939239502
cabinet,0.22148902714252472,0.13529431819915771,0.24264733493328094,0.47039198875427246,0.3095269203186035,0.2274124175310135,0.24903243780136108,0.16409438848495483
",",0.3365725874900818,0.19630418717861176,0.4933079481124878,0.24434074759483337,0.29892265796661377,0.5201468467712402,0.2279360294342041,0.31091248989105225
sets,0.17237307131290436,1.0000001192092896,0.2320500761270523,0.08619934320449829,0.12426713109016418,0.16155706346035004,0.10150467604398727,0.07869148254394531
the,0.3733934462070465,0.2320500761270523,1.0,0.27501925826072693,0.24096648395061493,0.6662389636039734,0.2204313427209854,0.22068053483963013
legislative,0.17747299373149872,0.08619934320449829,0.27501925826072693,1.0,0.3469920754432678,0.24765221774578094,0.2750515341758728,0.1654243916273117
and,0.41279885172843933,0.23491808772087097,0.5171257257461548,0.2681875228881836,0.2819797396659851,0.4954058527946472,0.24507255852222443,0.20544172823429108
