,what,did,n't,newton,'s,mechanics,affext,?
newton,0.20841743052005768,0.23863376677036285,-0.00792822428047657,1.0000001192092896,0.027833467349410057,0.4149976372718811,0.15991590917110443,0.09645649790763855
's,0.02692362666130066,0.05069678649306297,-0.06347019225358963,0.027833467349410057,0.9999999403953552,0.014140010811388493,-0.0427667535841465,-0.023395681753754616
laws,0.29636016488075256,0.2617504894733429,-0.08433521538972855,0.360447496175766,-0.02741883508861065,0.2988786995410919,0.233451709151268,0.17911791801452637
and,0.31309178471565247,0.34479495882987976,-0.0602874718606472,0.22255054116249084,0.06895173341035843,0.1544848382472992,0.3000381290912628,0.20544172823429108
newtonian,0.2607386112213135,0.20067918300628662,0.0704183354973793,0.6113767027854919,0.06577253341674805,0.45457255840301514,0.22846950590610504,0.16408871114253998
mechanics,0.3135516941547394,0.2107713520526886,-0.026274308562278748,0.4149976372718811,0.014140010811388493,1.0,0.17200665175914764,0.15634238719940186
in,0.30808621644973755,0.2593238651752472,-0.0012929976219311357,0.23639483749866486,-0.037580832839012146,0.19751228392124176,0.19841979444026947,0.20430970191955566
general,0.24928055703639984,0.19499315321445465,0.056287799030542374,0.11467793583869934,-0.0757286474108696,0.22750139236450195,0.2750130891799927,0.1972234547138214
were,0.22298263013362885,0.4162326455116272,-0.12209131568670273,0.20039378106594086,0.007088581565767527,0.2020016759634018,0.15224923193454742,0.17890112102031708
first,0.28086137771606445,0.33691170811653137,0.017286142334342003,0.2017267495393753,-0.014458609744906425,0.1517213135957718,0.20622844994068146,0.18701928853988647
developed,0.15555569529533386,0.24445466697216034,-0.006984884850680828,0.11544127762317657,0.04590931162238121,0.198933944106102,0.1291205883026123,0.10763012617826462
to,0.455847829580307,0.4452643394470215,-0.14541994035243988,0.2176830768585205,0.03782717138528824,0.18427595496177673,0.2572403848171234,0.29463258385658264
describe,0.3217031955718994,0.204898864030838,0.03659995272755623,0.195321723818779,0.06470830738544464,0.28428736329078674,0.2970801293849945,0.15151022374629974
how,0.6468034982681274,0.375736802816391,-0.09568241238594055,0.2514588236808777,-0.026164190843701363,0.32135602831840515,0.2960629165172577,0.4024120569229126
forces,0.2112482488155365,0.13164828717708588,-0.009401331655681133,0.14706134796142578,0.011176351457834244,0.22473439574241638,0.257744699716568,0.16984491050243378
affect,0.34042587876319885,0.21110296249389648,-0.044015418738126755,0.15895281732082367,-0.006103307940065861,0.23472413420677185,0.6346225142478943,0.26275068521499634
idealized,0.2812896966934204,0.2818669080734253,0.07312241196632385,0.1569405198097229,-0.08095254749059677,0.287257581949234,0.18792639672756195,0.0859936773777008
point,0.3286605179309845,0.18732239305973053,-0.0520339161157608,0.15910938382148743,0.0017411779845133424,0.21856537461280823,0.08293378353118896,0.19189560413360596
particles,0.26094838976860046,0.16904394328594208,-0.05199897289276123,0.2808619737625122,-0.017887849360704422,0.4046347737312317,0.2531781494617462,0.22255320847034454
rather,0.3923804461956024,0.3137456178665161,-0.09454016387462616,0.1088256984949112,0.08959644287824631,0.21399344503879547,0.28828462958335876,0.3053998053073883
than,0.29388150572776794,0.24820660054683685,-0.058843038976192474,0.11650118976831436,0.0585811510682106,0.16033108532428741,0.31597447395324707,0.24917294085025787
three-dimensional,0.27966979146003723,0.16639065742492676,0.010602425783872604,0.2879047095775604,-0.0023429179564118385,0.4142129719257355,0.27707305550575256,0.21693578362464905
objects,0.24020016193389893,0.16254889965057373,-0.08066901564598083,0.20895755290985107,0.013840041123330593,0.3245227038860321,0.2378467619419098,0.15479016304016113
.,0.3567904531955719,0.35288307070732117,0.01884327083826065,0.20699870586395264,-0.003708066651597619,0.18329747021198273,0.2988204061985016,0.4130953550338745
