,why,do,some,tribes,use,remote,sensing,technology,?
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.26830655336380005,0.34342584013938904,0.2411084920167923,0.2812829315662384,0.21669498085975647,0.22068053483963013
use,0.3804195523262024,0.4545445144176483,0.4820891320705414,0.09454270452260971,1.0,0.2831389605998993,0.3146388828754425,0.29364532232284546,0.32795652747154236
of,0.28464117646217346,0.26150479912757874,0.4300730526447296,0.21502000093460083,0.2750902473926544,0.1915879100561142,0.2063247114419937,0.25238582491874695,0.1826142966747284
remote,0.13150784373283386,0.206806018948555,0.26034754514694214,0.2234305739402771,0.2831389605998993,1.0,0.34253227710723877,0.22750265896320343,0.10927822440862656
sensing,0.27039724588394165,0.20461297035217285,0.2924765944480896,0.06524904072284698,0.3146388828754425,0.34253227710723877,0.9999998807907104,0.3112224042415619,0.17403143644332886
for,0.3869043290615082,0.29510271549224854,0.4257155656814575,0.08061277121305466,0.47655582427978516,0.21633777022361755,0.31999915838241577,0.24007871747016907,0.264628142118454
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.26830655336380005,0.34342584013938904,0.2411084920167923,0.2812829315662384,0.21669498085975647,0.22068053483963013
conservation,0.18151073157787323,0.16019149124622345,0.2347743809223175,0.19931334257125854,0.22695985436439514,0.21319276094436646,0.20977970957756042,0.2876845598220825,0.1391831338405609
of,0.28464117646217346,0.26150479912757874,0.4300730526447296,0.21502000093460083,0.2750902473926544,0.1915879100561142,0.2063247114419937,0.25238582491874695,0.1826142966747284
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.26830655336380005,0.34342584013938904,0.2411084920167923,0.2812829315662384,0.21669498085975647,0.22068053483963013
amazon,0.10092926770448685,0.24053946137428284,0.19491901993751526,0.19405002892017365,0.14814427495002747,0.31079429388046265,0.1546504944562912,0.11827666312456131,0.18144656717777252
is,0.26410171389579773,0.30895981192588806,0.3038453459739685,0.16481351852416992,0.3357410430908203,0.19444316625595093,0.22082684934139252,0.20767556130886078,0.22961433231830597
also,0.4456408619880676,0.36242780089378357,0.6210381388664246,0.20175498723983765,0.3900981843471527,0.2610456645488739,0.28640079498291016,0.26604264974594116,0.21848613023757935
being,0.3835456669330597,0.2324799746274948,0.39474767446517944,0.12946100533008575,0.307609498500824,0.20678888261318207,0.3122458755970001,0.15024113655090332,0.26743772625923157
used,0.29222622513771057,0.3054939806461334,0.43712347745895386,0.126210555434227,0.7127541303634644,0.27299052476882935,0.275741845369339,0.22553960978984833,0.22430120408535004
by,0.19170543551445007,0.1481526494026184,0.306446373462677,0.18261399865150452,0.21048003435134888,0.18247553706169128,0.23880544304847717,0.15235473215579987,0.17966607213020325
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.26830655336380005,0.34342584013938904,0.2411084920167923,0.2812829315662384,0.21669498085975647,0.22068053483963013
indigenous,0.14236269891262054,0.19246870279312134,0.2590833306312561,0.3866148889064789,0.18541745841503143,0.31875383853912354,0.23992261290550232,0.12776102125644684,0.14450161159038544
tribes,0.14958937466144562,0.1313548982143402,0.19706349074840546,0.9999999403953552,0.09454270452260971,0.2234305739402771,0.06524904072284698,0.1382330060005188,0.08824794739484787
of,0.28464117646217346,0.26150479912757874,0.4300730526447296,0.21502000093460083,0.2750902473926544,0.1915879100561142,0.2063247114419937,0.25238582491874695,0.1826142966747284
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.26830655336380005,0.34342584013938904,0.2411084920167923,0.2812829315662384,0.21669498085975647,0.22068053483963013
basin,0.1231134831905365,0.12417567521333694,0.13783130049705505,0.2071460485458374,0.08671320229768753,0.23961058259010315,0.11251463741064072,0.148898184299469,0.14685653150081635
to,0.4100138247013092,0.38876664638519287,0.4636894166469574,0.23350952565670013,0.47261837124824524,0.2702028155326843,0.2729046642780304,0.25372135639190674,0.29463258385658264
protect,0.27875426411628723,0.29360759258270264,0.27958574891090393,0.15858730673789978,0.32802918553352356,0.23569081723690033,0.23095890879631042,0.1652584969997406,0.20180222392082214
their,0.2619993984699249,0.35424983501434326,0.5109887719154358,0.26845473051071167,0.3415622115135193,0.16658534109592438,0.29364997148513794,0.1366575062274933,0.1898253709077835
tribal,0.13958927989006042,0.13311301171779633,0.17931415140628815,0.6543537974357605,0.12667721509933472,0.2603340148925781,0.19474126398563385,0.08168482780456543,0.0904514268040657
lands,0.11135505884885788,0.08750343322753906,0.225165456533432,0.3522934913635254,0.170279860496521,0.30383574962615967,0.16901202499866486,0.1351347714662552,0.10082722455263138
from,0.2592364251613617,0.20424067974090576,0.35210713744163513,0.12463679164648056,0.28012022376060486,0.15909232199192047,0.18627706170082092,0.21710312366485596,0.19969791173934937
commercial,0.19121167063713074,0.14764542877674103,0.222078338265419,0.11917368322610855,0.2743256092071533,0.17681920528411865,0.1795624941587448,0.30582329630851746,0.04216946288943291
interests,0.2807598412036896,0.29450857639312744,0.32123807072639465,0.2499486207962036,0.26369181275367737,0.20882320404052734,0.33375295996665955,0.30250877141952515,0.21539683640003204
.,0.32909876108169556,0.3613996207714081,0.40663889050483704,0.10744687169790268,0.3711656630039215,0.2054690569639206,0.22196149826049805,0.21310871839523315,0.4130953550338745
