,who,forced,four,fumbles,for,the,broncos,in,the,2015,season,?
pro,0.23716162145137787,0.23435278236865997,0.11101430654525757,0.22162920236587524,0.2676255404949188,0.2149612456560135,0.2605035901069641,0.152218297123909,0.2149612456560135,0.052606672048568726,0.13625283539295197,0.17645101249217987
bowl,0.09189514070749283,0.1976994276046753,0.18062108755111694,0.38857853412628174,0.24430087208747864,0.21576224267482758,0.4351775348186493,0.17236235737800598,0.21576224267482758,0.0710686594247818,0.3117852509021759,0.21118052303791046
linebacker,0.18917565047740936,0.16717620193958282,0.13203486800193787,0.4557225704193115,0.27424296736717224,0.19719967246055603,0.5541716814041138,0.22480759024620056,0.19719967246055603,-0.05198060721158981,0.30305373668670654,0.15540370345115662
von,0.1834137886762619,0.12442227452993393,0.11231598258018494,0.13662727177143097,0.10186543315649033,0.21817399561405182,0.13884557783603668,0.20116294920444489,0.21817399561405182,0.1698034405708313,0.12440825998783112,0.13907472789287567
miller,0.2093905359506607,0.16247615218162537,0.15742219984531403,0.28203272819519043,0.21116214990615845,0.21601076424121857,0.2454533576965332,0.19489489495754242,0.21601076424121857,-0.049004700034856796,0.2473871409893036,0.1295081228017807
led,0.2450801581144333,0.39619919657707214,0.15778031945228577,0.2139880210161209,0.2628403306007385,0.3267505168914795,0.26527854800224304,0.2990247309207916,0.3267505168914795,0.1679353564977646,0.16559264063835144,0.09273858368396759
the,0.3733934462070465,0.2571122944355011,0.40344667434692383,0.21007823944091797,0.4739971458911896,1.0,0.25985947251319885,0.6662389636039734,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
team,0.22248858213424683,0.16960181295871735,0.2001880258321762,0.29259487986564636,0.25615394115448,0.22564226388931274,0.32797038555145264,0.18841172754764557,0.22564226388931274,-0.009967954829335213,0.3451383709907532,0.11243411153554916
with,0.3282766342163086,0.20199844241142273,0.32876577973365784,0.21032394468784332,0.39140474796295166,0.4223487675189972,0.2245701551437378,0.4080928862094879,0.4223487675189972,-0.05818283185362816,0.26700887084007263,0.2433311939239502
11,0.11859084665775299,0.0012847998877987266,-0.031159915030002594,0.03363531082868576,-0.05063733458518982,-0.0219515822827816,-0.0632704421877861,0.03469983860850334,-0.0219515822827816,-0.14060333371162415,0.003848182037472725,-0.04295448586344719
sacks,0.16894300282001495,0.2543655037879944,0.1399923712015152,0.4642697870731354,0.2247573584318161,0.23296904563903809,0.3775857388973236,0.2059689611196518,0.23296904563903809,0.14142829179763794,0.23347769677639008,0.0761517658829689
",",0.3365725874900818,0.2527396082878113,0.31238991022109985,0.3138982951641083,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
forced,0.35712045431137085,1.0,0.13886989653110504,0.3908575773239136,0.19555193185806274,0.2571122944355011,0.2065102458000183,0.2043643444776535,0.2571122944355011,0.13416123390197754,0.11630629003047943,0.17547516524791718
four,0.1980169266462326,0.13886989653110504,1.0,0.1544954925775528,0.27783235907554626,0.40344667434692383,0.2302631437778473,0.3085027039051056,0.40344667434692383,0.04878242686390877,0.22295859456062317,0.14532537758350372
fumbles,0.2144661247730255,0.3908575773239136,0.1544954925775528,1.0,0.2659422755241394,0.21007823944091797,0.48720020055770874,0.1527000367641449,0.21007823944091797,0.05402925983071327,0.30877572298049927,0.1826416552066803
",",0.3365725874900818,0.2527396082878113,0.31238991022109985,0.3138982951641083,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
and,0.41279885172843933,0.28385210037231445,0.34700489044189453,0.27952373027801514,0.5064792633056641,0.5171257257461548,0.20959050953388214,0.4954058527946472,0.5171257257461548,0.015077123418450356,0.2369309365749359,0.20544172823429108
recovered,0.19365158677101135,0.36487001180648804,0.2245876044034958,0.37436139583587646,0.18925832211971283,0.2614712417125702,0.21365763247013092,0.2665027976036072,0.2614712417125702,0.10540380328893661,0.15626202523708344,0.08912046253681183
three,0.2491552233695984,0.1846218854188919,0.8295955061912537,0.1844222992658615,0.3032672107219696,0.43452659249305725,0.23654358088970184,0.34828072786331177,0.43452659249305725,0.05434681847691536,0.23377679288387299,0.20928427577018738
.,0.3541337847709656,0.23676170408725739,0.3278861939907074,0.26300492882728577,0.4726039469242096,0.5934505462646484,0.2612393796443939,0.5591574311256409,0.5934505462646484,0.06607602536678314,0.24674734473228455,0.4130953550338745
