,which,musical,group,did,the,v,&,a,present,in,july,1973,as,part,of,its,youth,outreach,programme,?
the,0.6521818041801453,0.2295164167881012,0.30795547366142273,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2829846143722534,0.6662389636039734,0.2371699959039688,-0.22297891974449158,0.48381632566452026,0.527681291103363,0.733189046382904,0.559237003326416,0.26209625601768494,0.2691081166267395,0.23601844906806946,0.22068053483963013
v,0.1653934270143509,0.0724087655544281,0.05695332586765289,0.17618848383426666,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.15913373231887817,0.15216681361198425,0.15998363494873047,-0.052981603890657425,0.10349564254283905,0.18010514974594116,0.1655031144618988,0.1524200141429901,0.15390706062316895,0.13868780434131622,0.12702685594558716,0.28677162528038025
&,0.16294614970684052,0.15061990916728973,0.1484392285346985,0.160298690199852,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.0991305410861969,0.1358654648065567,0.13264240324497223,-0.04281218722462654,0.22134603559970856,0.1702250838279724,0.19900451600551605,0.11429427564144135,0.13694456219673157,0.2048075795173645,0.14956890046596527,0.12596383690834045
a,0.56894451379776,0.21863259375095367,0.2594761848449707,0.2552328109741211,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.14277903735637665,0.539380669593811,0.23807190358638763,-0.13350971043109894,0.39550232887268066,0.3994528353214264,0.5052502155303955,0.4424409866333008,0.20697152614593506,0.18928001821041107,0.22703689336776733,0.23916715383529663
presented,0.2723793089389801,0.24483202397823334,0.0948861613869667,0.24108581244945526,0.3251480758190155,0.14966119825839996,0.1409831941127777,0.24034897983074188,0.43257102370262146,0.3047972023487091,0.21016690135002136,-0.13632453978061676,0.27148348093032837,0.17678417265415192,0.30231305956840515,0.1710420399904251,0.22317706048488617,0.26981619000434875,0.36364150047302246,0.17025142908096313
a,0.56894451379776,0.21863259375095367,0.2594761848449707,0.2552328109741211,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.14277903735637665,0.539380669593811,0.23807190358638763,-0.13350971043109894,0.39550232887268066,0.3994528353214264,0.5052502155303955,0.4424409866333008,0.20697152614593506,0.18928001821041107,0.22703689336776733,0.23916715383529663
combined,0.3865475058555603,0.1551833301782608,0.2082984745502472,0.17568819224834442,0.3713363707065582,0.11656475067138672,0.0703204795718193,0.2649520933628082,0.189962700009346,0.3370276689529419,0.11850524693727493,-0.10294417291879654,0.20089338719844818,0.33098748326301575,0.399336040019989,0.22235684096813202,0.17203578352928162,0.1432369500398636,0.11803354322910309,0.17985320091247559
concert/lecture,0.37522730231285095,0.4011751115322113,0.26083841919898987,0.2704305052757263,0.3413928151130676,0.18609847128391266,0.15689989924430847,0.3301374316215515,0.21825703978538513,0.37678262591362,0.24133338034152985,-0.03445792198181152,0.29899322986602783,0.30907365679740906,0.331722617149353,0.2465144246816635,0.3095886707305908,0.3359231650829315,0.39877671003341675,0.28518080711364746
by,0.40543368458747864,0.2919989824295044,0.2915726900100708,0.18574509024620056,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.15190309286117554,0.370934396982193,0.16927224397659302,-0.14901426434516907,0.3815547823905945,0.28271573781967163,0.3646814823150635,0.24398943781852722,0.16631314158439636,0.1839696168899536,0.20501865446567535,0.17966607213020325
british,0.2002234309911728,0.17302915453910828,0.2279059737920761,0.2039594054222107,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.14835424721240997,0.23084034025669098,0.20103572309017181,-0.21770663559436798,0.23103800415992737,0.19204387068748474,0.23701532185077667,0.17957141995429993,0.11896879971027374,0.2413531392812729,0.2723426818847656,0.09711728990077972
