,what,type,of,opportunities,would,be,expected,from,these,counties,?
many,0.36131182312965393,0.19664129614830017,0.37253960967063904,0.3881963789463043,0.33440667390823364,0.3961109519004822,0.29809391498565674,0.33099696040153503,0.7077717185020447,0.17799876630306244,0.2124512493610382
counties,0.18263769149780273,0.04876338690519333,0.2559657096862793,0.22244971990585327,0.16920824348926544,0.16683633625507355,0.13499815762043,0.22222726047039032,0.26225194334983826,1.0,0.09521792083978653
offer,0.20134106278419495,0.12189275771379471,0.19393298029899597,0.41942882537841797,0.40259283781051636,0.2898631691932678,0.31168580055236816,0.16435587406158447,0.31234872341156006,0.07525444030761719,0.1774262934923172
alternative,0.1948106437921524,0.27551186084747314,0.2218208760023117,0.28056764602661133,0.2580938935279846,0.32405102252960205,0.21870157122612,0.17039541900157928,0.24502727389335632,0.16382330656051636,0.22607778012752533
licensing,0.2864918112754822,0.1332099437713623,0.1692100167274475,0.24858349561691284,0.2759203612804413,0.25517162680625916,0.1702370047569275,0.21032002568244934,0.2750825881958008,0.17522534728050232,0.23048727214336395
programs,0.23178155720233917,0.17445242404937744,0.18037469685077667,0.3788922429084778,0.2404647022485733,0.24123507738113403,0.22427648305892944,0.17786408960819244,0.3107883930206299,0.17610763013362885,0.16452431678771973
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.33219078183174133,0.5965728163719177,0.4972836375236511,0.42255479097366333,0.4069952368736267,0.46852558851242065,0.19238705933094025,0.29463258385658264
attract,0.2005894035100937,0.09319034963846207,0.22641630470752716,0.3246627748012543,0.27073225378990173,0.2725282907485962,0.26417627930641174,0.12883217632770538,0.27088463306427,0.05839218571782112,0.12982657551765442
people,0.32444337010383606,0.21299324929714203,0.3251037895679474,0.2683276832103729,0.3082716464996338,0.2593584358692169,0.18942785263061523,0.30292633175849915,0.39508289098739624,0.32486841082572937,0.23739641904830933
into,0.2180619090795517,0.14269600808620453,0.32255905866622925,0.1997118443250656,0.2832599878311157,0.3462390601634979,0.1795206069946289,0.3410196900367737,0.3533816933631897,0.20545795559883118,0.15662476420402527
teaching,0.27416905760765076,0.11639692634344101,0.2911611497402191,0.315267950296402,0.22758165001869202,0.2096574753522873,0.2009509801864624,0.20678803324699402,0.2880990207195282,0.15325412154197693,0.20424684882164001
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.22871766984462738,0.32586824893951416,0.39254459738731384,0.23470614850521088,0.39760664105415344,0.37613096833229065,0.2766191363334656,0.31091248989105225
especially,0.3590192496776581,0.2649726867675781,0.37220633029937744,0.38491788506507874,0.30507516860961914,0.36800456047058105,0.30882787704467773,0.2712631821632385,0.5294599533081055,0.08828499913215637,0.19751401245594025
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.3458058536052704,0.39877474308013916,0.3801851272583008,0.29493558406829834,0.314039945602417,0.41566818952560425,0.15031608939170837,0.264628142118454
hard-to-fill,0.3213159441947937,0.22948898375034332,0.3062823712825775,0.3004116415977478,0.31451478600502014,0.3763381540775299,0.28883635997772217,0.1888836771249771,0.34243860840797424,0.2649083435535431,0.31001055240631104
positions,0.19736577570438385,0.11403514444828033,0.27722278237342834,0.3116745054721832,0.25895804166793823,0.24917836487293243,0.269172728061676,0.2561497986316681,0.3356879651546478,0.24348467588424683,0.126787006855011
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.16994039714336395,0.35067233443260193,0.4383580684661865,0.27163344621658325,0.41536515951156616,0.3840779960155487,0.21356114745140076,0.4130953550338745
