,when,was,the,masovian,duchy,reincorporated,into,the,polish,crown,?
upon,0.2915102541446686,0.21848641335964203,0.28184252977371216,0.06852201372385025,0.1890777051448822,0.18041199445724487,0.2456423044204712,0.28184252977371216,0.0989973396062851,0.23624345660209656,0.13780277967453003
the,0.5091903209686279,0.48711544275283813,1.0,0.2597903609275818,0.2944258749485016,0.2907368540763855,0.39493247866630554,1.0,0.17708231508731842,0.2646690607070923,0.22068053483963013
extinction,0.16879434883594513,0.17516474425792694,0.26832786202430725,0.29570111632347107,0.22293907403945923,0.16023142635822296,0.10641727596521378,0.26832786202430725,0.1208396777510643,0.19881220161914825,0.17184245586395264
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2839367687702179,0.3249194324016571,0.3020741045475006,0.32255905866622925,0.733189046382904,0.16866981983184814,0.2964670956134796,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2597903609275818,0.2944258749485016,0.2907368540763855,0.39493247866630554,1.0,0.17708231508731842,0.2646690607070923,0.22068053483963013
local,0.19489261507987976,0.11715790629386902,0.2130540907382965,0.22568781673908234,0.16357581317424774,0.2047668993473053,0.1300894320011139,0.2130540907382965,0.15090030431747437,0.08698892593383789,0.15022775530815125
ducal,0.1728285700082779,0.2556438148021698,0.2975486218929291,0.36700621247291565,0.6917937397956848,0.24611803889274597,0.17306306958198547,0.2975486218929291,0.3087450861930847,0.41594696044921875,0.13362812995910645
line,0.2305605411529541,0.1765366792678833,0.29789501428604126,0.1514783650636673,0.11264898627996445,0.1607547402381897,0.17215849459171295,0.29789501428604126,0.1552668809890747,0.14266423881053925,0.16271452605724335
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2702215909957886,0.28778398036956787,0.30529385805130005,0.2826121151447296,0.4933079481124878,0.2655222415924072,0.25954461097717285,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.2597903609275818,0.2944258749485016,0.2907368540763855,0.39493247866630554,1.0,0.17708231508731842,0.2646690607070923,0.22068053483963013
duchy,0.21672841906547546,0.27581292390823364,0.2944258749485016,0.460528701543808,0.9999998807907104,0.3367467522621155,0.2288552224636078,0.2944258749485016,0.33690571784973145,0.41747525334358215,0.06671437621116638
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.18196091055870056,0.27581292390823364,0.25475502014160156,0.2322220653295517,0.48711544275283813,0.2319551259279251,0.2366449236869812,0.18412111699581146
reincorporated,0.16165116429328918,0.25475502014160156,0.2907368540763855,0.24139970541000366,0.3367467522621155,0.9999999403953552,0.3142072558403015,0.2907368540763855,0.15862643718719482,0.23485007882118225,0.1775212585926056
into,0.389646977186203,0.2322220653295517,0.39493247866630554,0.20245474576950073,0.2288552224636078,0.3142072558403015,1.0,0.39493247866630554,0.11308902502059937,0.13767538964748383,0.15662476420402527
the,0.5091903209686279,0.48711544275283813,1.0,0.2597903609275818,0.2944258749485016,0.2907368540763855,0.39493247866630554,1.0,0.17708231508731842,0.2646690607070923,0.22068053483963013
polish,0.12293745577335358,0.2319551259279251,0.17708231508731842,0.5128416419029236,0.33690571784973145,0.15862643718719482,0.11308902502059937,0.17708231508731842,1.0,0.1522674262523651,0.14012759923934937
crown,0.2492285519838333,0.2366449236869812,0.2646690607070923,0.18265597522258759,0.41747525334358215,0.23485007882118225,0.13767538964748383,0.2646690607070923,0.1522674262523651,0.9999999403953552,0.09979621320962906
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.22937358915805817,0.27166545391082764,0.3085756003856659,0.38021373748779297,0.6662389636039734,0.1896398365497589,0.2139754444360733,0.20430970191955566
1526,0.07955296337604523,0.15246285498142242,0.026939382776618004,0.11385802924633026,0.03924950584769249,0.06629172712564468,0.01975378207862377,0.026939382776618004,0.1003301814198494,0.025517089292407036,-0.08619783073663712
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.21991325914859772,0.21778234839439392,0.27246204018592834,0.26250120997428894,0.5934505462646484,0.23422029614448547,0.19776910543441772,0.4130953550338745
