,how,many,households,had,bskyb,service,in,1994,?
within,0.24755704402923584,0.2613624930381775,0.23504376411437988,0.2050173133611679,0.16651073098182678,0.21170012652873993,0.40576374530792236,-0.13543057441711426,0.1870293766260147
two,0.2499001920223236,0.5147606730461121,0.27509477734565735,0.41487234830856323,0.16228218376636505,0.18647199869155884,0.36463531851768494,-0.0688587874174118,0.19645625352859497
months,0.22324973344802856,0.2192414402961731,0.1596352905035019,0.3490941524505615,0.1933332085609436,0.15086935460567474,0.27186378836631775,0.10989461094141006,0.2804218530654907
of,0.2480744868516922,0.37253960967063904,0.2765655219554901,0.37755560874938965,0.16413870453834534,0.18425606191158295,0.5696388483047485,-0.07057395577430725,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.26440316438674927,0.3875846862792969,0.20915858447551727,0.22661015391349792,0.6662389636039734,-0.03378653898835182,0.22068053483963013
launch,0.15294672548770905,0.15432266891002655,0.12948931753635406,0.1754213273525238,0.1530798077583313,0.28502675890922546,0.19686491787433624,0.05146350339055061,0.22009649872779846
",",0.22659391164779663,0.40610817074775696,0.2694286108016968,0.35487717390060425,0.2852807641029358,0.2389259785413742,0.5201468467712402,0.14125534892082214,0.31091248989105225
bskyb,0.17300152778625488,0.17205999791622162,0.17223213613033295,0.14911578595638275,1.0000001192092896,0.1887708604335785,0.22606848180294037,-0.12065959721803665,0.2979319989681244
gained,0.08140156418085098,0.22666509449481964,0.15644724667072296,0.377902626991272,0.12646029889583588,0.12139241397380829,0.2935055196285248,0.027608849108219147,0.11261032521724701
"400,000",0.11957303434610367,0.07355973869562149,0.03995147719979286,0.018921121954917908,0.06179983913898468,0.05433539301156998,0.06148194521665573,-0.0019372048554942012,-0.040761515498161316
new,0.20832711458206177,0.2992318272590637,0.11741683632135391,0.28327175974845886,0.16534830629825592,0.21442657709121704,0.3758552670478821,0.05586514249444008,0.14782847464084625
subscribers,0.1855180263519287,0.24181422591209412,0.3032204806804657,0.20178674161434174,0.27691152691841125,0.34098511934280396,0.2126884162425995,0.07363604009151459,0.2567959725856781
",",0.22659391164779663,0.40610817074775696,0.2694286108016968,0.35487717390060425,0.2852807641029358,0.2389259785413742,0.5201468467712402,0.14125534892082214,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.26435455679893494,0.4739086329936981,0.18421940505504608,0.20442402362823486,0.4080928862094879,-0.037005599588155746,0.2433311939239502
the,0.33890387415885925,0.4335206151008606,0.26440316438674927,0.3875846862792969,0.20915858447551727,0.22661015391349792,0.6662389636039734,-0.03378653898835182,0.22068053483963013
majority,0.20073412358760834,0.3566230833530426,0.3458068370819092,0.27007147669792175,0.1775798201560974,0.1184169352054596,0.2563854157924652,-0.021494774147868156,0.220119908452034
taking,0.23024597764015198,0.24438248574733734,0.15392662584781647,0.26229357719421387,0.11304950714111328,0.11940017342567444,0.25282081961631775,0.06088867411017418,0.19960761070251465
at,0.2154216170310974,0.2716965675354004,0.22224754095077515,0.3288320302963257,0.17143747210502625,0.2093784511089325,0.4374977946281433,0.08572041988372803,0.21978627145290375
