,dutch,architect,janjaap,ruijssenaars,'s,performative,architecture,3d-printed,building,is,scheduled,to,be,built,when,?
in,0.17559829354286194,0.18696801364421844,0.26590171456336975,0.3263860046863556,-0.037580832839012146,0.3084650933742523,0.2624244689941406,0.26538094878196716,0.3256937265396118,0.5394441485404968,0.23272886872291565,0.45010748505592346,0.3481820821762085,0.25829681754112244,0.4431333839893341,0.20430970191955566
a,0.1946597695350647,0.15499725937843323,0.21473106741905212,0.24184244871139526,0.04866964742541313,0.3518446087837219,0.2194099873304367,0.20107941329479218,0.2576078176498413,0.658733606338501,0.19639261066913605,0.45503583550453186,0.39883795380592346,0.23064446449279785,0.44397395849227905,0.23916715383529663
form,0.06026637554168701,0.01603730581700802,0.19770631194114685,0.1464409977197647,0.07059726119041443,0.24089877307415009,0.1388803869485855,0.1834472417831421,0.12745290994644165,0.3218395411968231,0.1045382171869278,0.2772196829319,0.3391776382923126,0.09344307333230972,0.31953904032707214,0.1463010311126709
of,0.14408773183822632,0.13472206890583038,0.23022742569446564,0.34505361318588257,-0.03817026689648628,0.23699718713760376,0.2756515443325043,0.2504873275756836,0.26200541853904724,0.4854315221309662,0.13178972899913788,0.41548454761505127,0.33904364705085754,0.23442776501178741,0.3757161796092987,0.1826142966747284
additive,0.059230223298072815,0.1421191692352295,0.16184002161026,0.16785037517547607,-0.025367122143507004,0.34504544734954834,0.1790049821138382,0.20654819905757904,0.21369527280330658,0.3262607157230377,0.10201513022184372,0.25312766432762146,0.37963804602622986,0.14699682593345642,0.23203535377979279,0.15785454213619232
building,0.13313783705234528,0.495442271232605,0.17399902641773224,0.2597324252128601,0.004743766970932484,0.22157345712184906,0.4623510539531708,0.20239855349063873,0.9999998807907104,0.20087163150310516,0.15085940062999725,0.2658686637878418,0.21893082559108734,0.5628743767738342,0.2712017297744751,0.13549931347370148
construction,0.1617652028799057,0.38390594720840454,0.22991591691970825,0.2789500653743744,0.04049986973404884,0.2692895829677582,0.42856577038764954,0.2475654035806656,0.5609999895095825,0.2135658711194992,0.24905653297901154,0.24810278415679932,0.23028753697872162,0.5050970315933228,0.16481471061706543,0.13494056463241577
",",0.23674406111240387,0.21737651526927948,0.32936617732048035,0.32891178131103516,-0.0016132977325469255,0.3191586136817932,0.2120368629693985,0.26199936866760254,0.2374238669872284,0.4691906273365021,0.2531873285770416,0.44245919585227966,0.39254459738731384,0.22658206522464752,0.36674630641937256,0.31091248989105225
similar,0.09120006859302521,0.08788013458251953,0.12714910507202148,0.1276424378156662,0.10983143001794815,0.24378083646297455,0.18683108687400818,0.26542192697525024,0.13887856900691986,0.28929588198661804,0.150468111038208,0.2888135313987732,0.3429358899593353,0.24128824472427368,0.24360811710357666,0.23309361934661865
to,0.1383991241455078,0.16537004709243774,0.18093450367450714,0.2341807633638382,0.03782717138528824,0.3107978105545044,0.23015062510967255,0.19723960757255554,0.2658686637878418,0.42745086550712585,0.25710105895996094,1.0,0.4972836375236511,0.2183011770248413,0.5423505902290344,0.29463258385658264
the,0.1705695390701294,0.13209693133831024,0.27501460909843445,0.35186609625816345,-0.01540423184633255,0.27193698287010193,0.24488379061222076,0.28943949937820435,0.3159640431404114,0.5823672413825989,0.23960356414318085,0.535392165184021,0.4248143136501312,0.2950156033039093,0.5091903209686279,0.22068053483963013
additive,0.059230223298072815,0.1421191692352295,0.16184002161026,0.16785037517547607,-0.025367122143507004,0.34504544734954834,0.1790049821138382,0.20654819905757904,0.21369527280330658,0.3262607157230377,0.10201513022184372,0.25312766432762146,0.37963804602622986,0.14699682593345642,0.23203535377979279,0.15785454213619232
manufacturing,0.14493942260742188,0.30585721135139465,0.1995842307806015,0.24145320057868958,-0.030407974496483803,0.16752567887306213,0.3556196391582489,0.26664748787879944,0.3503689169883728,0.19076082110404968,0.17505651712417603,0.22432498633861542,0.17937369644641876,0.37411269545555115,0.20517916977405548,0.11596895009279251
techniques,0.11705699563026428,0.12623485922813416,0.22287367284297943,0.15113574266433716,0.015767108649015427,0.3500553071498871,0.27184611558914185,0.14223791658878326,0.21542558073997498,0.17422489821910858,0.19287365674972534,0.2575913667678833,0.23545865714550018,0.14138439297676086,0.21024516224861145,0.1533757448196411
for,0.1401536464691162,0.13989229500293732,0.26867812871932983,0.20692645013332367,-0.07241261005401611,0.39164331555366516,0.18863317370414734,0.21287068724632263,0.2644540071487427,0.43268078565597534,0.18816711008548737,0.4451248347759247,0.3801851272583008,0.19757427275180817,0.43402108550071716,0.264628142118454
manufactured,0.1549355834722519,0.24169497191905975,0.13880813121795654,0.19876563549041748,0.01982387900352478,0.13004904985427856,0.27229464054107666,0.3342864513397217,0.2417776733636856,0.19754764437675476,0.18683002889156342,0.20193690061569214,0.23060962557792664,0.40066421031951904,0.19696030020713806,0.12339863181114197
parts,0.10556291043758392,0.06780306249856949,0.23728954792022705,0.2842428386211395,0.060162968933582306,0.17370812594890594,0.17552655935287476,0.215200275182724,0.23013290762901306,0.330430269241333,0.1325971931219101,0.24449384212493896,0.2912704348564148,0.21291056275367737,0.3205466568470001,0.12310896813869476
",",0.23674406111240387,0.21737651526927948,0.32936617732048035,0.32891178131103516,-0.0016132977325469255,0.3191586136817932,0.2120368629693985,0.26199936866760254,0.2374238669872284,0.4691906273365021,0.2531873285770416,0.44245919585227966,0.39254459738731384,0.22658206522464752,0.36674630641937256,0.31091248989105225
building,0.13313783705234528,0.495442271232605,0.17399902641773224,0.2597324252128601,0.004743766970932484,0.22157345712184906,0.4623510539531708,0.20239855349063873,0.9999998807907104,0.20087163150310516,0.15085940062999725,0.2658686637878418,0.21893082559108734,0.5628743767738342,0.2712017297744751,0.13549931347370148
printing,0.18162164092063904,0.2083800733089447,0.20052097737789154,0.21222113072872162,0.017915518954396248,0.24414141476154327,0.296703577041626,0.5820995569229126,0.27669501304626465,0.18425920605659485,0.08214408159255981,0.1891471892595291,0.1664716899394989,0.19598056375980377,0.24923303723335266,0.17118792235851288
