,where,did,support,from,governmental,and,religious,groups,come,from,?
the,0.5003893971443176,0.34736719727516174,0.22984638810157776,0.40150508284568787,0.2788466215133667,0.5171257257461548,0.22950971126556396,0.27790749073028564,0.36020293831825256,0.40150508284568787,0.22068053483963013
taliban,0.1363796442747116,0.2352454513311386,0.27477988600730896,0.21049584448337555,0.4434986412525177,0.3037244379520416,0.34995636343955994,0.24309788644313812,0.18387356400489807,0.21049584448337555,0.13205693662166595
were,0.2363632768392563,0.4162326455116272,0.2020559310913086,0.29991888999938965,0.2334715873003006,0.42175528407096863,0.23646323382854462,0.3214126229286194,0.3222178816795349,0.29991888999938965,0.17890112102031708
spawned,0.1808212250471115,0.2858444154262543,0.15830577909946442,0.19614015519618988,0.15270379185676575,0.2828121781349182,0.1486739218235016,0.18002690374851227,0.23226384818553925,0.19614015519618988,0.18825288116931915
by,0.2641284465789795,0.18574509024620056,0.16184203326702118,0.3373257517814636,0.23668672144412994,0.4289871156215668,0.19244135916233063,0.22748439013957977,0.11457374691963196,0.3373257517814636,0.17966607213020325
the,0.5003893971443176,0.34736719727516174,0.22984638810157776,0.40150508284568787,0.2788466215133667,0.5171257257461548,0.22950971126556396,0.27790749073028564,0.36020293831825256,0.40150508284568787,0.22068053483963013
thousands,0.3188665807247162,0.17608793079853058,0.15923164784908295,0.22606687247753143,0.16501814126968384,0.2946740686893463,0.1902492791414261,0.29720717668533325,0.3051179349422455,0.22606687247753143,0.15520451962947845
of,0.38066378235816956,0.2513895630836487,0.2307697981595993,0.4249346852302551,0.35182538628578186,0.5116966962814331,0.2958606779575348,0.24723079800605774,0.3194141983985901,0.4249346852302551,0.1826142966747284
madrasahs,0.26552560925483704,0.147224560379982,0.18115200102329254,0.1991519033908844,0.31635406613349915,0.33222490549087524,0.37258708477020264,0.23782138526439667,0.1743963360786438,0.1991519033908844,0.15444369614124298
the,0.5003893971443176,0.34736719727516174,0.22984638810157776,0.40150508284568787,0.2788466215133667,0.5171257257461548,0.22950971126556396,0.27790749073028564,0.36020293831825256,0.40150508284568787,0.22068053483963013
deobandi,0.21598495543003082,0.17162972688674927,0.17768749594688416,0.18805116415023804,0.29158031940460205,0.380624383687973,0.3618927299976349,0.23114246129989624,0.1706976592540741,0.18805116415023804,0.20847071707248688
