,large,public,works,",",dams,",",bridges,",",highways,",",water/wastewater,and,utility,distribution,are,under,what,construction,sector,?
building,0.31278279423713684,0.25489920377731323,0.20896461606025696,0.2374238669872284,0.3016916811466217,0.2374238669872284,0.29110798239707947,0.2374238669872284,0.21621623635292053,0.2374238669872284,0.2854345142841339,0.2593274712562561,0.23070630431175232,0.07292751222848892,0.1904018670320511,0.18475623428821564,0.23529528081417084,0.5609999895095825,0.2816602885723114,0.13549931347370148
construction,0.29381826519966125,0.21433334052562714,0.22981765866279602,0.23704268038272858,0.3785695731639862,0.23704268038272858,0.3483174443244934,0.23704268038272858,0.2544569671154022,0.23704268038272858,0.30081459879875183,0.22762417793273926,0.2953198254108429,0.18770673871040344,0.18089833855628967,0.29522085189819336,0.20329850912094116,1.0,0.34587493538856506,0.13494056463241577
is,0.2971126437187195,0.1980048567056656,0.30236580967903137,0.4691906273365021,0.19681669771671295,0.4691906273365021,0.1555144041776657,0.4691906273365021,0.16825464367866516,0.4691906273365021,0.2929573357105255,0.3859752118587494,0.18645785748958588,0.2414398044347763,0.5330929756164551,0.21294879913330078,0.28837618231773376,0.2135658711194992,0.22561627626419067,0.22961433231830597
usually,0.4205654561519623,0.21588484942913055,0.24179737269878387,0.21946179866790771,0.2260931432247162,0.21946179866790771,0.13967092335224152,0.21946179866790771,0.1757962703704834,0.21946179866790771,0.3190402388572693,0.3817319869995117,0.2678344249725342,0.22932596504688263,0.5635237097740173,0.2024642825126648,0.32521089911460876,0.2216884046792984,0.22184330224990845,0.19435347616672516
further,0.2116565704345703,0.18309259414672852,0.06487122178077698,0.2694096863269806,0.20251549780368805,0.2694096863269806,0.10939307510852814,0.2694096863269806,0.18076524138450623,0.2694096863269806,0.2273293435573578,0.3426179587841034,0.1816161721944809,0.15368947386741638,0.2482294738292694,0.17054879665374756,0.30867868661880493,0.20999860763549805,0.20867297053337097,0.20960763096809387
divided,0.279307097196579,0.07181738317012787,0.11969434469938278,0.25847432017326355,0.17296858131885529,0.25847432017326355,0.12310940772294998,0.25847432017326355,0.14676134288311005,0.25847432017326355,0.12065053731203079,0.29203352332115173,0.1400950849056244,0.20818118751049042,0.2984093725681305,0.16523748636245728,0.2138991504907608,0.1394159495830536,0.26446977257728577,0.10190024226903915
into,0.2913742959499359,0.09941517561674118,0.16772817075252533,0.2826121151447296,0.16816146671772003,0.2826121151447296,0.13589754700660706,0.2826121151447296,0.09177345037460327,0.2826121151447296,0.25251638889312744,0.36597734689712524,0.11971401423215866,0.13115420937538147,0.2930682599544525,0.24985390901565552,0.2180619090795517,0.11891017109155655,0.17212045192718506,0.15662476420402527
residential,0.30590495467185974,0.3511156439781189,0.1550975739955902,0.21989741921424866,0.3090307116508484,0.21989741921424866,0.26833438873291016,0.21989741921424866,0.2838280200958252,0.21989741921424866,0.34732306003570557,0.3452662229537964,0.2709674835205078,0.17796935141086578,0.2325010895729065,0.10784633457660675,0.09814727306365967,0.33850225806236267,0.3432076573371887,0.08603290468454361
and,0.3404269814491272,0.3227643668651581,0.33871909976005554,0.6633074283599854,0.2865253686904907,0.6633074283599854,0.324398010969162,0.6633074283599854,0.25893059372901917,0.6633074283599854,0.3221683204174042,1.0,0.24678480625152588,0.24142658710479736,0.48576638102531433,0.3005301356315613,0.31309178471565247,0.22762417793273926,0.3108142912387848,0.20544172823429108
non-residential,0.2363884001970291,0.3589570224285126,0.17807000875473022,0.2501794695854187,0.26459941267967224,0.2501794695854187,0.21891403198242188,0.2501794695854187,0.2652849853038788,0.2501794695854187,0.3127169609069824,0.32516157627105713,0.2237556427717209,0.19115044176578522,0.22367709875106812,0.12752532958984375,0.13559283316135406,0.2885994017124176,0.2896195650100708,0.17974258959293365
(,0.1259251832962036,0.1609111875295639,0.2049802988767624,0.6363511681556702,0.11508039385080338,0.6363511681556702,0.1927613615989685,0.6363511681556702,0.20108111202716827,0.6363511681556702,0.21994860470294952,0.4862271547317505,0.20206235349178314,0.15190289914608002,0.23263892531394958,0.21003201603889465,0.2411840260028839,0.16759724915027618,0.16147281229496002,0.40561532974243164
commercial/institutional,0.23291663825511932,0.42748168110847473,0.20390541851520538,0.3495788276195526,0.3706897497177124,0.3495788276195526,0.2305099070072174,0.3495788276195526,0.26882699131965637,0.3495788276195526,0.4046429395675659,0.33203038573265076,0.3168724477291107,0.29191404581069946,0.22267770767211914,0.1483655571937561,0.2020833045244217,0.3185572922229767,0.41593608260154724,0.1874580830335617
),0.12569274008274078,0.15635275840759277,0.18797160685062408,0.63033527135849,0.12513718008995056,0.63033527135849,0.17631353437900543,0.63033527135849,0.19320394098758698,0.63033527135849,0.20905841886997223,0.4961937665939331,0.18720023334026337,0.15289439260959625,0.2373749315738678,0.2076013684272766,0.26259949803352356,0.18337155878543854,0.17329196631908417,0.42300865054130554
.,0.2304532378911972,0.21888655424118042,0.28871041536331177,0.6812511086463928,0.259218692779541,0.6812511086463928,0.25263702869415283,0.6812511086463928,0.28294000029563904,0.6812511086463928,0.32237857580184937,0.588965117931366,0.2430574595928192,0.22641029953956604,0.3452940285205841,0.2901604175567627,0.3567904531955719,0.23682771623134613,0.2173098623752594,0.4130953550338745
