,how,are,chloroplasts,similar,to,mitochondria,?
chloroplasts,0.2384049892425537,0.3103833794593811,0.9999999403953552,0.2460697889328003,0.23370109498500824,0.7002830505371094,0.13049766421318054
",",0.22659391164779663,0.4062570035457611,0.20794041454792023,0.29403579235076904,0.44245919585227966,0.22430789470672607,0.31091248989105225
like,0.4663832485675812,0.4686352014541626,0.21969065070152283,0.5880904793739319,0.35482415556907654,0.23680487275123596,0.3268813192844391
mitochondria,0.2555510103702545,0.32558342814445496,0.7002830505371094,0.26513031125068665,0.2363239973783493,1.0,0.20248937606811523
",",0.22659391164779663,0.4062570035457611,0.20794041454792023,0.29403579235076904,0.44245919585227966,0.22430789470672607,0.31091248989105225
contain,0.2636528015136719,0.5326977372169495,0.3972540497779846,0.3289177417755127,0.28093209862709045,0.36448612809181213,0.18853069841861725
their,0.3316696584224701,0.46887820959091187,0.2906811833381653,0.2997264862060547,0.44619059562683105,0.29003989696502686,0.1898253709077835
own,0.3035697042942047,0.29801490902900696,0.24355259537696838,0.2637619376182556,0.35879063606262207,0.17139294743537903,0.1937696635723114
dna,0.20989857614040375,0.20945711433887482,0.5363800525665283,0.2477554827928543,0.22861447930335999,0.6200813055038452,0.1548636108636856
",",0.22659391164779663,0.4062570035457611,0.20794041454792023,0.29403579235076904,0.44245919585227966,0.22430789470672607,0.31091248989105225
which,0.4852597713470459,0.42922598123550415,0.3874085545539856,0.4783022403717041,0.5345056653022766,0.3942565321922302,0.25814583897590637
is,0.22544461488723755,0.5330929756164551,0.22550933063030243,0.28929588198661804,0.42745086550712585,0.21569068729877472,0.22961433231830597
thought,0.3918285071849823,0.28778257966041565,0.2474929243326187,0.302033007144928,0.3858291208744049,0.23122398555278778,0.2600135803222656
to,0.44169697165489197,0.3504326641559601,0.23370109498500824,0.2888135313987732,1.0,0.2363239973783493,0.29463258385658264
be,0.4158933162689209,0.5556803941726685,0.2777445316314697,0.3429358899593353,0.4972836375236511,0.2782059907913208,0.3324260413646698
inherited,0.26786091923713684,0.1479455828666687,0.30440470576286316,0.2753690779209137,0.2240290641784668,0.3551679849624634,0.1930614858865738
from,0.22939439117908478,0.2674213647842407,0.21740731596946716,0.21663272380828857,0.4069952368736267,0.20684219896793365,0.19969791173934937
their,0.3316696584224701,0.46887820959091187,0.2906811833381653,0.2997264862060547,0.44619059562683105,0.29003989696502686,0.1898253709077835
ancestor—a,0.1801775097846985,0.18804900348186493,0.27703195810317993,0.2682253122329712,0.24698060750961304,0.3487398624420166,0.1704791933298111
photosynthetic,0.21793316304683685,0.337356835603714,0.7179837822914124,0.27591967582702637,0.2973763048648834,0.5734378695487976,0.15254013240337372
cyanobacterium,0.2369239777326584,0.2544892728328705,0.6887122988700867,0.264334112405777,0.21549971401691437,0.6221436858177185,0.20120567083358765
that,0.557814359664917,0.45265161991119385,0.3177454173564911,0.4232555329799652,0.5436353087425232,0.34753522276878357,0.32716336846351624
was,0.16678167879581451,0.3076191842556,0.1579415500164032,0.20839861035346985,0.3636345863342285,0.09197089821100235,0.18412111699581146
engulfed,0.22567139565944672,0.3144323229789734,0.5026228427886963,0.2514708340167999,0.21708372235298157,0.5228925943374634,0.1501116305589676
by,0.34370526671409607,0.37842893600463867,0.1951972097158432,0.28307145833969116,0.33534231781959534,0.15156756341457367,0.17966607213020325
an,0.2520636022090912,0.1556541919708252,0.15571507811546326,0.20771056413650513,0.3138085603713989,0.16522236168384552,0.19793890416622162
early,0.2415190190076828,0.21465954184532166,0.16960738599300385,0.28365787863731384,0.24557004868984222,0.22288624942302704,0.15272949635982513
eukaryotic,0.18727919459342957,0.3300302028656006,0.7482460141181946,0.283246248960495,0.18942469358444214,0.696763813495636,0.1899385005235672
cell,0.20469050109386444,0.19039002060890198,0.5408841967582703,0.1646520048379898,0.19730474054813385,0.5401636362075806,0.2058541625738144
.,0.3287222981452942,0.3452940285205841,0.23868323862552643,0.306670606136322,0.4645031690597534,0.2463228851556778,0.4130953550338745
