,what,is,ppp,?
new,0.2130378633737564,0.2208656519651413,0.1500503569841385,0.14782847464084625
forms,0.16334041953086853,0.35419854521751404,0.12702685594558716,0.1196754202246666
include,0.1535889357328415,0.28863582015037537,0.03376740217208862,0.14925788342952728
partnering,0.11835847795009613,0.15701737999916077,0.18704600632190704,0.12477793544530869
such,0.23989605903625488,0.23545363545417786,0.08340498059988022,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.1268085092306137,0.27043893933296204
public-private,0.2348075658082962,0.14227980375289917,0.24103501439094543,0.21846723556518555
partnering,0.11835847795009613,0.15701737999916077,0.18704600632190704,0.12477793544530869
(,0.2411840260028839,0.35393038392066956,0.20189493894577026,0.40561532974243164
ppps,0.23975342512130737,0.19972515106201172,0.6814587116241455,0.32107460498809814
),0.26259949803352356,0.37732169032096863,0.2193373143672943,0.42300865054130554
aka,0.11991072446107864,0.16644315421581268,0.18090811371803284,0.21979451179504395
private,0.16778090596199036,0.1420905888080597,0.18054179847240448,0.14389030635356903
finance,0.20704226195812225,0.1709752231836319,0.38784337043762207,0.1273542046546936
initiatives,0.20909109711647034,0.11769736558198929,0.334648072719574,0.21253491938114166
(,0.2411840260028839,0.35393038392066956,0.20189493894577026,0.40561532974243164
pfis,0.12652917206287384,0.31494539976119995,0.20661191642284393,0.16723355650901794
),0.26259949803352356,0.37732169032096863,0.2193373143672943,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.17904843389987946,0.20544172823429108
alliances,0.15345780551433563,0.14785020053386688,0.2797239422798157,0.09782075881958008
such,0.23989605903625488,0.23545363545417786,0.08340498059988022,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.1268085092306137,0.27043893933296204
``,0.008517155423760414,0.058766357600688934,0.259132444858551,0.0685480609536171
pure,0.19111844897270203,0.24182042479515076,0.11204096674919128,0.06826777756214142
'',0.08143015950918198,0.0793738141655922,-0.0472627691924572,0.018684765323996544
or,0.33867141604423523,0.41870999336242676,0.21467004716396332,0.32389625906944275
``,0.008517155423760414,0.058766357600688934,0.259132444858551,0.0685480609536171
project,0.27033838629722595,0.1924840211868286,0.17370621860027313,0.30569031834602356
'',0.08143015950918198,0.0793738141655922,-0.0472627691924572,0.018684765323996544
alliances,0.15345780551433563,0.14785020053386688,0.2797239422798157,0.09782075881958008
and,0.31309178471565247,0.3859752118587494,0.17904843389987946,0.20544172823429108
``,0.008517155423760414,0.058766357600688934,0.259132444858551,0.0685480609536171
impure,0.2120923399925232,0.3018379509449005,0.14687718451023102,0.16634872555732727
'',0.08143015950918198,0.0793738141655922,-0.0472627691924572,0.018684765323996544
or,0.33867141604423523,0.41870999336242676,0.21467004716396332,0.32389625906944275
``,0.008517155423760414,0.058766357600688934,0.259132444858551,0.0685480609536171
strategic,0.17597953975200653,0.19458222389221191,0.22279603779315948,0.13147149980068207
'',0.08143015950918198,0.0793738141655922,-0.0472627691924572,0.018684765323996544
alliances,0.15345780551433563,0.14785020053386688,0.2797239422798157,0.09782075881958008
.,0.3567904531955719,0.4569662809371948,0.25601017475128174,0.4130953550338745
