,what,does,the,film,of,oxide,on,metals,delay,?
the,0.42745697498321533,0.35928019881248474,1.0,0.2824619710445404,0.733189046382904,0.12591426074504852,0.5107308030128479,0.19963346421718597,0.2607918381690979,0.22068053483963013
surface,0.23580394685268402,0.22910720109939575,0.2555135488510132,0.10763330012559891,0.24204103648662567,0.33148038387298584,0.2674844264984131,0.3502599895000458,0.1845984160900116,0.14613434672355652
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.22166931629180908,1.0,0.15275245904922485,0.3966929316520691,0.18800947070121765,0.19660267233848572,0.1826142966747284
most,0.3219912350177765,0.30044323205947876,0.47635307908058167,0.16649074852466583,0.4178851246833801,0.15979735553264618,0.28303956985473633,0.29593518376350403,0.08903296291828156,0.2107497900724411
metals,0.2136390507221222,0.2147427350282669,0.19963346421718597,0.12378422915935516,0.18800947070121765,0.5195417404174805,0.1221981793642044,0.9999999403953552,0.053091444075107574,0.16543257236480713
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2552308440208435,0.4946078956127167,0.17490515112876892,0.49057599902153015,0.23755250871181488,0.20420506596565247,0.31091248989105225
such,0.23989605903625488,0.2787191867828369,0.3575236201286316,0.13887456059455872,0.3209529519081116,0.22930191457271576,0.3181164264678955,0.2958487868309021,0.08821335434913635,0.17851735651493073
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.21341748535633087,0.3886612355709076,0.22812576591968536,0.36047765612602234,0.24074150621891022,0.16300053894519806,0.27043893933296204
aluminium,0.16288141906261444,0.17727963626384735,0.1600397378206253,0.13890625536441803,0.19400088489055634,0.6676083207130432,0.1648617386817932,0.6391741037368774,0.05928606912493706,0.15487346053123474
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.23832054436206818,0.5116966962814331,0.18863432109355927,0.4077630043029785,0.27425065636634827,0.16731663048267365,0.20544172823429108
titanium,0.17848539352416992,0.1609077900648117,0.17627957463264465,0.19709646701812744,0.12901784479618073,0.4692908823490143,0.2112879604101181,0.5062987208366394,0.2003198117017746,0.16611658036708832
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2552308440208435,0.4946078956127167,0.17490515112876892,0.49057599902153015,0.23755250871181488,0.20420506596565247,0.31091248989105225
are,0.29724663496017456,0.3126322329044342,0.40399202704429626,0.14901332557201385,0.39081433415412903,0.2218003273010254,0.268924742937088,0.31423452496528625,0.1197696402668953,0.24591213464736938
oxidized,0.19462791085243225,0.2520342767238617,0.17055922746658325,0.11300816386938095,0.1508038341999054,0.7962885499000549,0.10244711488485336,0.5603929162025452,0.1476142853498459,0.1757199913263321
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.22183799743652344,0.5696388483047485,0.10473595559597015,0.46853652596473694,0.19834661483764648,0.17042721807956696,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,1.0,0.2824619710445404,0.733189046382904,0.12591426074504852,0.5107308030128479,0.19963346421718597,0.2607918381690979,0.22068053483963013
presence,0.24428647756576538,0.29169902205467224,0.34114351868629456,0.1934191882610321,0.2917717397212982,0.21604996919631958,0.1940135806798935,0.22557199001312256,0.22473615407943726,0.08592845499515533
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.22166931629180908,1.0,0.15275245904922485,0.3966929316520691,0.18800947070121765,0.19660267233848572,0.1826142966747284
air,0.10361403971910477,0.21604882180690765,0.2877824306488037,0.18959711492061615,0.24196814000606537,0.2597232460975647,0.20020021498203278,0.23851047456264496,0.1878950595855713,0.1491677612066269
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.23832054436206818,0.5116966962814331,0.18863432109355927,0.4077630043029785,0.27425065636634827,0.16731663048267365,0.20544172823429108
become,0.27134042978286743,0.20048442482948303,0.31731709837913513,0.13824111223220825,0.31678006052970886,0.15850503742694855,0.17756444215774536,0.0979665219783783,0.1112646758556366,0.19511328637599945
coated,0.16924166679382324,0.18788796663284302,0.22911737859249115,0.14633184671401978,0.2337506264448166,0.41682153940200806,0.20719203352928162,0.3870712220668793,0.06348680704832077,0.16377900540828705
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.10958370566368103,0.41827285289764404,0.16930709779262543,0.40749499201774597,0.18331559002399445,0.1883457452058792,0.2433311939239502
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.19172197580337524,0.5052502155303955,0.17747293412685394,0.3848365545272827,0.25427746772766113,0.2138662338256836,0.23916715383529663
thin,0.20593488216400146,0.2230970412492752,0.23491108417510986,0.22184622287750244,0.2089119255542755,0.3888886570930481,0.23720715939998627,0.3777562081813812,0.12766648828983307,0.18669506907463074
film,0.17437689006328583,0.18140408396720886,0.2824619710445404,0.9999999403953552,0.22166931629180908,0.18047107756137848,0.162833571434021,0.12378422915935516,0.15098194777965546,0.16369038820266724
