,when,did,income,inequality,begin,to,increase,in,the,us,?
[,0.07002913951873779,0.030549485236406326,0.11693841218948364,-0.010490469634532928,0.15511088073253632,0.07649242132902145,0.14175945520401,0.12324675917625427,0.07130392640829086,0.14248062670230865,0.011015460826456547
citation,0.19754578173160553,0.18243058025836945,0.20541250705718994,0.24880202114582062,0.11572013050317764,0.2558228075504303,0.14005154371261597,0.22942641377449036,0.2536581754684448,0.22374555468559265,0.3382055461406708
needed,0.3670521080493927,0.40049824118614197,0.27212953567504883,0.29800987243652344,0.2863175570964813,0.45002421736717224,0.3660203218460083,0.21117523312568665,0.3064746856689453,0.19389769434928894,0.2863257825374603
],-0.0009315960924141109,0.024806415662169456,0.03852754086256027,0.13025639951229095,0.03222254291176796,-0.04249158129096031,0.045157816261053085,-0.1088862195611,-0.04779602214694023,-0.05584776774048805,-0.0022520492784678936
however,0.5574322938919067,0.5603718757629395,0.2832024395465851,0.3292284607887268,0.3500731289386749,0.5474119186401367,0.3844475746154785,0.3982149362564087,0.49814513325691223,0.23487551510334015,0.2152075469493866
",",0.36674630641937256,0.3015086054801941,0.19703416526317596,0.21822890639305115,0.27304404973983765,0.44245919585227966,0.20005576312541962,0.5201468467712402,0.4933079481124878,0.3120202422142029,0.31091248989105225
recent,0.2353774756193161,0.28459128737449646,0.23530134558677673,0.20631040632724762,0.18052594363689423,0.31205716729164124,0.29095372557640076,0.2857761085033417,0.31046223640441895,0.18618570268154144,0.2544887959957123
data,0.1680949628353119,0.1821516454219818,0.27060842514038086,0.2319411039352417,0.09932998567819595,0.24776634573936462,0.15321560204029083,0.17588379979133606,0.20546740293502808,0.21723626554012299,0.17909851670265198
shows,0.27013710141181946,0.22659285366535187,0.17071497440338135,0.1889352798461914,0.23060083389282227,0.23382455110549927,0.23397120833396912,0.3289647698402405,0.36348509788513184,0.16207322478294373,0.2040930688381195
that,0.5860282182693481,0.47518548369407654,0.2627509534358978,0.3467824459075928,0.27644142508506775,0.5436353087425232,0.3491165041923523,0.435920387506485,0.5473989248275757,0.282404363155365,0.32716336846351624
the,0.5091903209686279,0.34736719727516174,0.23699946701526642,0.23508106172084808,0.34293439984321594,0.535392165184021,0.32049667835235596,0.6662389636039734,1.0,0.25727739930152893,0.22068053483963013
level,0.2500830292701721,0.1976850926876068,0.24777935445308685,0.24342113733291626,0.11145644634962082,0.2976585030555725,0.3183557689189911,0.279204785823822,0.31442487239837646,0.11475783586502075,0.20528386533260345
of,0.3757161796092987,0.2513895630836487,0.2581324577331543,0.27910974621772766,0.24830074608325958,0.41548454761505127,0.3156060576438904,0.5696388483047485,0.733189046382904,0.23568789660930634,0.1826142966747284
income,0.16407446563243866,0.20239697396755219,1.0,0.46967795491218567,0.10505393147468567,0.27188464999198914,0.3552919328212738,0.1795814335346222,0.23699946701526642,0.208731010556221,0.14935168623924255
inequality,0.18042483925819397,0.2228473722934723,0.46967795491218567,1.0000001192092896,0.171736478805542,0.24361056089401245,0.35598164796829224,0.19402410089969635,0.23508106172084808,0.2170293778181076,0.23619021475315094
began,0.25673019886016846,0.4415510594844818,0.14607037603855133,0.16359856724739075,0.49711355566978455,0.2731419503688812,0.20139440894126892,0.34154343605041504,0.3059147596359253,0.13182909786701202,0.1370266228914261
to,0.5423505902290344,0.4452643394470215,0.27188464999198914,0.24361056089401245,0.33302420377731323,1.0,0.3378143310546875,0.45010748505592346,0.535392165184021,0.2928973436355591,0.29463258385658264
rise,0.15769775211811066,0.16756875813007355,0.22602900862693787,0.2444111406803131,0.19840487837791443,0.23256368935108185,0.35812729597091675,0.1934409737586975,0.3404741883277893,0.15952013432979584,0.10799103230237961
after,0.5331412553787231,0.30330467224121094,0.09535764157772064,0.08424751460552216,0.4157010316848755,0.37890323996543884,0.16539084911346436,0.44050168991088867,0.4565047025680542,0.11897643655538559,0.16608688235282898
the,0.5091903209686279,0.34736719727516174,0.23699946701526642,0.23508106172084808,0.34293439984321594,0.535392165184021,0.32049667835235596,0.6662389636039734,1.0,0.25727739930152893,0.22068053483963013
1970s,0.011553144082427025,0.08396200090646744,0.043575700372457504,-0.008241991512477398,0.05438131466507912,0.06756533682346344,0.04667271673679352,0.057396724820137024,0.004102230537682772,0.0830320492386818,0.03861190751194954
.,0.475719153881073,0.35288307070732117,0.26448529958724976,0.22563500702381134,0.24827922880649567,0.4645031690597534,0.24619564414024353,0.5591574311256409,0.5934505462646484,0.3162994682788849,0.4130953550338745
