,who,registered,the,most,receptions,on,the,broncos,?
veteran,0.3301067650318146,0.18997491896152496,0.2511998414993286,0.17094454169273376,0.14420856535434723,0.23056384921073914,0.2511998414993286,0.300178200006485,0.15891358256340027
receiver,0.1811998039484024,0.12640541791915894,0.21850530803203583,0.19807840883731842,0.42157527804374695,0.21347767114639282,0.21850530803203583,0.4237789511680603,0.11587938666343689
demaryius,0.30839893221855164,0.16118527948856354,0.2600218653678894,0.15213093161582947,0.2352401614189148,0.22451265156269073,0.2600218653678894,0.32119283080101013,0.24024760723114014
thomas,0.26103657484054565,0.17490999400615692,0.23505409061908722,0.15823650360107422,0.2011502981185913,0.1902061104774475,0.23505409061908722,0.14653393626213074,0.16133050620555878
led,0.2450801581144333,0.0511053241789341,0.3267505168914795,0.2947567105293274,0.18360571563243866,0.23411796987056732,0.3267505168914795,0.26527854800224304,0.09273858368396759
the,0.3733934462070465,0.23383188247680664,1.0,0.47635307908058167,0.19359152019023895,0.5107308030128479,1.0,0.25985947251319885,0.22068053483963013
team,0.22248858213424683,0.1689811795949936,0.22564226388931274,0.12060809135437012,0.10043574869632721,0.13870710134506226,0.22564226388931274,0.32797038555145264,0.11243411153554916
with,0.3282766342163086,0.15469864010810852,0.4223487675189972,0.336320698261261,0.2013084441423416,0.40749499201774597,0.4223487675189972,0.2245701551437378,0.2433311939239502
105,0.19679556787014008,0.12712006270885468,0.1126137226819992,0.12639707326889038,0.02965521439909935,0.04390939325094223,0.1126137226819992,0.05315272882580757,0.1772395223379135
receptions,0.11577852070331573,0.13261744379997253,0.19359152019023895,0.19825085997581482,1.0,0.20795054733753204,0.19359152019023895,0.29118359088897705,0.12913717329502106
for,0.37110671401023865,0.20129996538162231,0.4739971458911896,0.3906237483024597,0.25616052746772766,0.36199691891670227,0.4739971458911896,0.2739109396934509,0.264628142118454
"1,304",0.14443686604499817,0.09702496230602264,0.17036905884742737,0.015070881694555283,0.06390853226184845,0.15522192418575287,0.17036905884742737,0.25409209728240967,-0.0522308424115181
yards,0.13584628701210022,0.12135451287031174,0.16070343554019928,0.18636830151081085,0.5398510098457336,0.15043845772743225,0.16070343554019928,0.4475782513618469,0.12453813850879669
and,0.41279885172843933,0.15022504329681396,0.5171257257461548,0.4309377074241638,0.24803747236728668,0.4077630043029785,0.5171257257461548,0.20959050953388214,0.20544172823429108
six,0.19475196301937103,0.21231959760189056,0.3614266812801361,0.28485143184661865,0.12470342963933945,0.25166386365890503,0.3614266812801361,0.22572742402553558,0.15298804640769958
touchdowns,0.18127667903900146,0.12514854967594147,0.20508192479610443,0.21576958894729614,0.5493815541267395,0.16743676364421844,0.20508192479610443,0.5303385257720947,0.1509619653224945
",",0.3365725874900818,0.22778020799160004,0.4933079481124878,0.3636029064655304,0.27982690930366516,0.49057599902153015,0.4933079481124878,0.2558487057685852,0.31091248989105225
while,0.4068111777305603,0.22856788337230682,0.39804592728614807,0.3330796957015991,0.19255828857421875,0.44084006547927856,0.39804592728614807,0.23601266741752625,0.21076419949531555
emmanuel,0.2501235902309418,0.04974236711859703,0.19346554577350616,0.169634610414505,0.20184147357940674,0.15169398486614227,0.19346554577350616,0.2112852931022644,0.15527042746543884
sanders,0.2963277995586395,0.134569451212883,0.2733713686466217,0.19624698162078857,0.2126561552286148,0.24273234605789185,0.2733713686466217,0.29475167393684387,0.20881439745426178
caught,0.26796260476112366,0.13374067842960358,0.2087310254573822,0.24863597750663757,0.2364336997270584,0.2259422391653061,0.2087310254573822,0.20620059967041016,0.20266211032867432
76,-0.21431320905685425,-0.05570858344435692,-0.4725710153579712,-0.31740447878837585,-0.0368649885058403,-0.29566749930381775,-0.4725710153579712,-0.07976803928613663,-0.08607837557792664
passes,0.08672328293323517,0.17512325942516327,0.3752402365207672,0.18525317311286926,0.34944069385528564,0.1884605586528778,0.3752402365207672,0.22322407364845276,0.09716983139514923
for,0.37110671401023865,0.20129996538162231,0.4739971458911896,0.3906237483024597,0.25616052746772766,0.36199691891670227,0.4739971458911896,0.2739109396934509,0.264628142118454
"1,135",-0.009902951307594776,-0.06341686099767685,-0.060228969901800156,-0.09034382551908493,0.006770985666662455,0.006046210881322622,-0.060228969901800156,-0.13002946972846985,0.02593619003891945
yards,0.13584628701210022,0.12135451287031174,0.16070343554019928,0.18636830151081085,0.5398510098457336,0.15043845772743225,0.16070343554019928,0.4475782513618469,0.12453813850879669
and,0.41279885172843933,0.15022504329681396,0.5171257257461548,0.4309377074241638,0.24803747236728668,0.4077630043029785,0.5171257257461548,0.20959050953388214,0.20544172823429108
six,0.19475196301937103,0.21231959760189056,0.3614266812801361,0.28485143184661865,0.12470342963933945,0.25166386365890503,0.3614266812801361,0.22572742402553558,0.15298804640769958
scores,0.2209789752960205,0.15933926403522491,0.2456876039505005,0.2276778668165207,0.31638407707214355,0.23232407867908478,0.2456876039505005,0.2536323070526123,0.17722187936306
",",0.3365725874900818,0.22778020799160004,0.4933079481124878,0.3636029064655304,0.27982690930366516,0.49057599902153015,0.4933079481124878,0.2558487057685852,0.31091248989105225
while,0.4068111777305603,0.22856788337230682,0.39804592728614807,0.3330796957015991,0.19255828857421875,0.44084006547927856,0.39804592728614807,0.23601266741752625,0.21076419949531555
adding,0.13080903887748718,0.19211305677890778,0.30152344703674316,0.21748699247837067,0.22039499878883362,0.22847388684749603,0.30152344703674316,0.11909616738557816,0.2800346910953522
another,0.4379323124885559,0.2734758257865906,0.5019711852073669,0.3596593141555786,0.15272222459316254,0.2988088130950928,0.5019711852073669,0.1800803542137146,0.295511931180954
106,0.035781558603048325,0.04132761433720589,-0.03340312838554382,-0.00858274381607771,0.04017259553074837,0.00016661315748933703,-0.03340312838554382,-0.06717406213283539,0.10198672860860825
yards,0.13584628701210022,0.12135451287031174,0.16070343554019928,0.18636830151081085,0.5398510098457336,0.15043845772743225,0.16070343554019928,0.4475782513618469,0.12453813850879669
returning,0.26930058002471924,0.19838011264801025,0.3807036876678467,0.2107587605714798,0.1782209724187851,0.3125755488872528,0.3807036876678467,0.27521443367004395,0.14488300681114197
punts,0.20536455512046814,0.16320067644119263,0.21641352772712708,0.2533312737941742,0.3961676061153412,0.24232345819473267,0.21641352772712708,0.42064034938812256,0.19397130608558655
.,0.3541337847709656,0.23739121854305267,0.5934505462646484,0.35404038429260254,0.2116437554359436,0.49257001280784607,0.5934505462646484,0.2612393796443939,0.4130953550338745
