,when,did,tesla,go,to,prague,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.22233200073242188,0.45010748505592346,0.2534162700176239,0.20430970191955566
january,0.23963238298892975,0.23508968949317932,0.13615937530994415,0.183195561170578,0.20270398259162903,0.2361779808998108,0.28608936071395874
1880,0.1537202149629593,0.04650172218680382,-0.14001339673995972,0.2280416339635849,0.14115941524505615,0.013113459572196007,0.07120001316070557
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.28404903411865234,0.31091248989105225
two,0.3743424117565155,0.2755576968193054,0.18793831765651703,0.2189813256263733,0.3343428373336792,0.1804111897945404,0.19645625352859497
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.21881330013275146,0.41548454761505127,0.23502252995967865,0.1826142966747284
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.07152407616376877,0.17548894882202148,0.3433745205402374,0.10250775516033173
's,-0.03368149697780609,0.05069678649306297,0.06449045985937119,0.018760163336992264,0.03782717138528824,0.08791542053222656,-0.023395681753754616
uncles,0.2675888240337372,0.29665905237197876,0.13091199100017548,0.17783263325691223,0.2656448781490326,0.17494186758995056,0.18293200433254242
put,0.32715895771980286,0.32128840684890747,0.1382041871547699,0.4239062964916229,0.36244112253189087,0.14880961179733276,0.2993032932281494
together,0.3263470232486725,0.16267985105514526,0.2026316523551941,0.11697784811258316,0.33225905895233154,0.20413364470005035,0.1690303236246109
enough,0.4027702510356903,0.3866412043571472,0.16320869326591492,0.2778293192386627,0.43150144815444946,0.13708430528640747,0.3526461720466614
money,0.261506587266922,0.3498571217060089,0.1636640876531601,0.2563246488571167,0.3124290704727173,0.19267307221889496,0.2069680541753769
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.18364588916301727,0.29463258385658264
help,0.3472992777824402,0.35430794954299927,0.11845614016056061,0.3266462981700897,0.46191298961639404,0.15488329529762268,0.28403452038764954
him,0.4087010324001312,0.4290095865726471,0.14682093262672424,0.3602939546108246,0.4702378511428833,0.24704259634017944,0.23943768441677094
leave,0.4004695415496826,0.3432042896747589,-0.009146789088845253,0.42683571577072144,0.408642441034317,0.10600101202726364,0.23890845477581024
gospić,0.2131928652524948,0.174786776304245,0.28443384170532227,0.1938944309949875,0.2624954581260681,0.4088376462459564,0.15864557027816772
for,0.43402108550071716,0.318512886762619,0.13983871042728424,0.2588973641395569,0.4451248347759247,0.1781604290008545,0.264628142118454
prague,0.20375798642635345,0.17591868340969086,0.3433745205402374,0.10257835686206818,0.18364588916301727,1.0,0.13819217681884766
where,0.5747735500335693,0.24159270524978638,0.12761090695858002,0.3893263638019562,0.47735077142715454,0.2216290831565857,0.24793872237205505
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.25558793544769287,0.385390967130661,0.34071436524391174,0.2089974731206894
was,0.37326499819755554,0.41399896144866943,0.16455206274986267,0.16801296174526215,0.3636345863342285,0.2627091109752655,0.18412111699581146
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.18364588916301727,0.29463258385658264
study,0.2670287787914276,0.21215762197971344,0.1303233504295349,0.2508937418460846,0.3326032757759094,0.23090319335460663,0.15902167558670044
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.3313661813735962,0.4645031690597534,0.2646070420742035,0.4130953550338745
