,where,was,tesla,'s,laboratory,established,?
on,0.37630224227905273,0.3909217119216919,0.16159376502037048,0.0026888418942689896,0.180293470621109,0.18237954378128052,0.2714994251728058
30,0.07423815131187439,0.08394331485033035,-0.04432673379778862,-0.03394532576203346,0.025063863024115562,0.08721470832824707,-0.08261742442846298
july,0.18378832936286926,0.40724116563796997,0.1044287383556366,-0.06841624528169632,0.11273018270730972,0.17987826466560364,0.2897891402244568
1891,0.12025786191225052,0.16745510697364807,0.09345825016498566,-0.02192506194114685,-0.033329907804727554,0.1557178795337677,0.17882704734802246
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.23480524122714996,0.22739723324775696,0.31091248989105225
at,0.4402937591075897,0.36707764863967896,0.16552478075027466,-0.08481216430664062,0.2700659930706024,0.211637482047081,0.21978627145290375
the,0.5003893971443176,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.19762322306632996,0.33092597126960754,0.22068053483963013
age,0.2418987900018692,0.27072176337242126,0.07816897332668304,0.004176773596554995,0.1546751856803894,0.20442640781402588,0.16859300434589386
of,0.38066378235816956,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.23493865132331848,0.2735237777233124,0.1826142966747284
35,-0.06572145968675613,-0.07451801747083664,-0.07225775718688965,-0.05330764874815941,-0.01844327710568905,-0.05118222162127495,-0.044106997549533844
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.23480524122714996,0.22739723324775696,0.31091248989105225
tesla,0.12761090695858002,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.3209504187107086,0.14575746655464172,0.10250775516033173
became,0.1668500453233719,0.6575068235397339,0.12976884841918945,0.0067522358149290085,0.14347508549690247,0.2932269275188446,0.11374033987522125
a,0.40997210144996643,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.2253785878419876,0.23500119149684906,0.23916715383529663
naturalized,0.1877886801958084,0.24670520424842834,0.20343226194381714,-0.048851706087589264,0.19737182557582855,0.25864818692207336,0.15240240097045898
citizen,0.21266411244869232,0.2881135940551758,0.16133640706539154,0.0021561807952821255,0.1221933588385582,0.20671319961547852,0.1601516604423523
of,0.38066378235816956,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.23493865132331848,0.2735237777233124,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.19762322306632996,0.33092597126960754,0.22068053483963013
