,what,were,high,court,proceedings,being,held,about,?
as,0.31749409437179565,0.3025437891483307,0.23253053426742554,0.17202796041965485,0.20076338946819305,0.46524563431739807,0.16727563738822937,0.2989700436592102,0.27043893933296204
part,0.3476244807243347,0.25213372707366943,0.1728636920452118,0.23784813284873962,0.16256430745124817,0.25270596146583557,0.2854076027870178,0.31749680638313293,0.08557961881160736
of,0.33290785551071167,0.34038281440734863,0.2803038954734802,0.28835242986679077,0.2803191840648651,0.34885138273239136,0.28960686922073364,0.40939709544181824,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,0.28034812211990356,0.2812081575393677,0.26050370931625366,0.419739305973053,0.32185450196266174,0.37995871901512146,0.22068053483963013
agreements,0.25903576612472534,0.2576241195201874,0.06606041640043259,0.23573020100593567,0.3259255886077881,0.19210058450698853,0.23258017003536224,0.19107721745967865,0.14476320147514343
",",0.3087472915649414,0.36755475401878357,0.27938312292099,0.24410836398601532,0.25402188301086426,0.34499165415763855,0.2880980372428894,0.3877100944519043,0.31091248989105225
both,0.3361809551715851,0.4254525601863861,0.16975390911102295,0.16309337317943573,0.2203124314546585,0.3946419954299927,0.2028726190328598,0.24329400062561035,0.19455738365650177
bskyb,0.17457032203674316,0.13574530184268951,0.08497239649295807,0.20885434746742249,0.15311317145824432,0.116207055747509,0.1400863081216812,0.1442383974790573,0.2979319989681244
and,0.31309178471565247,0.42175528407096863,0.2911888659000397,0.22896502912044525,0.24677889049053192,0.4286794066429138,0.22757986187934875,0.3875081241130829,0.20544172823429108
virgin,0.1343110352754593,0.1581590473651886,0.09647979587316513,0.14486293494701385,0.09935402125120163,0.20485180616378784,0.12342263013124466,0.14286920428276062,0.11987020075321198
media,0.18292108178138733,0.13317883014678955,0.14647327363491058,0.2062113881111145,0.19946669042110443,0.17175757884979248,0.16542178392410278,0.20676347613334656,0.1571006178855896
agreed,0.3416297733783722,0.2540435194969177,0.08604442328214645,0.2733507752418518,0.2626367509365082,0.22046422958374023,0.18121205270290375,0.2281571328639984,0.21258382499217987
to,0.455847829580307,0.31913647055625916,0.28947713971138,0.24824365973472595,0.26425981521606445,0.4514104127883911,0.22177374362945557,0.391953706741333,0.29463258385658264
terminate,0.2702018916606903,0.07391971349716187,0.10488486289978027,0.20418472588062286,0.19509324431419373,0.20833683013916016,0.12754406034946442,0.19166792929172516,0.15546758472919464
all,0.41981086134910583,0.4387909770011902,0.23327398300170898,0.18986862897872925,0.2630702555179596,0.3770711123943329,0.2229006290435791,0.2926684319972992,0.29575422406196594
high,0.20466077327728271,0.15924203395843506,1.0,0.22039927542209625,0.08600842207670212,0.26877179741859436,0.15625408291816711,0.17584046721458435,0.11137914657592773
court,0.23440583050251007,0.19469791650772095,0.22039927542209625,1.0,0.40805020928382874,0.2116917073726654,0.2663261592388153,0.21718400716781616,0.17100423574447632
proceedings,0.22622688114643097,0.19911324977874756,0.08600842207670212,0.40805020928382874,1.0,0.239921435713768,0.2911185920238495,0.13171720504760742,0.17969121038913727
against,0.24561616778373718,0.2829659581184387,0.15864528715610504,0.22792665660381317,0.23406389355659485,0.2224539965391159,0.24388985335826874,0.1949513703584671,0.18095137178897858
each,0.3353266417980194,0.23227569460868835,0.11048942059278488,0.21533766388893127,0.2953837215900421,0.26948949694633484,0.28368327021598816,0.25596532225608826,0.21173812448978424
other,0.341873437166214,0.4041554927825928,0.18805554509162903,0.16148273646831512,0.23870685696601868,0.37174108624458313,0.19326095283031464,0.3130497336387634,0.24682199954986572
relating,0.30636364221572876,0.17253325879573822,0.14611487090587616,0.18724830448627472,0.3851813077926636,0.29586684703826904,0.2454095333814621,0.3327748775482178,0.2191188931465149
to,0.455847829580307,0.31913647055625916,0.28947713971138,0.24824365973472595,0.26425981521606445,0.4514104127883911,0.22177374362945557,0.391953706741333,0.29463258385658264
the,0.42745697498321533,0.3906462490558624,0.28034812211990356,0.2812081575393677,0.26050370931625366,0.419739305973053,0.32185450196266174,0.37995871901512146,0.22068053483963013
carriage,0.11489621549844742,0.23199063539505005,0.10870375484228134,0.2319105714559555,0.15587925910949707,0.26964011788368225,0.19070430099964142,0.14341101050376892,0.08573433756828308
of,0.33290785551071167,0.34038281440734863,0.2803038954734802,0.28835242986679077,0.2803191840648651,0.34885138273239136,0.28960686922073364,0.40939709544181824,0.1826142966747284
their,0.35142919421195984,0.43277356028556824,0.21960610151290894,0.18032172322273254,0.21190857887268066,0.33179932832717896,0.2292191982269287,0.25792208313941956,0.1898253709077835
respective,0.29216688871383667,0.33140668272972107,0.16527201235294342,0.17298410832881927,0.2858521342277527,0.3520751893520355,0.18828462064266205,0.2333550751209259,0.2512778639793396
basic,0.3564627468585968,0.1971532553434372,0.1941162645816803,0.13215751945972443,0.22203294932842255,0.18088684976100922,0.08864574879407883,0.2964307367801666,0.26534420251846313
channels,0.1923084557056427,0.1514015644788742,0.2196923792362213,0.06562510132789612,0.18718700110912323,0.17808517813682556,0.10532639175653458,0.15844286978244781,0.19657258689403534
.,0.3567904531955719,0.3378238379955292,0.24301011860370636,0.2742154598236084,0.24911120533943176,0.35574623942375183,0.2628571093082428,0.42038556933403015,0.4130953550338745
