,what,is,the,population,of,the,greater,los,angeles,area,?
these,0.4164220690727234,0.2498808652162552,0.49086877703666687,0.1855601966381073,0.42684608697891235,0.49086877703666687,0.2263559252023697,0.178745836019516,0.18532732129096985,0.2632642686367035,0.2571668326854706
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.20790868997573853,0.39081433415412903,0.40399202704429626,0.19981995224952698,0.1627943068742752,0.1732020229101181,0.25780194997787476,0.24591213464736938
the,0.42745697498321533,0.5823672413825989,1.0,0.32044094800949097,0.733189046382904,1.0,0.2814446687698364,0.2502395510673523,0.24588194489479065,0.37834644317626953,0.22068053483963013
greater,0.1946859508752823,0.21338969469070435,0.2814446687698364,0.26071324944496155,0.34470728039741516,0.2814446687698364,1.0000001192092896,0.16626803576946259,0.17233577370643616,0.3258145749568939,0.09723397344350815
los,0.12322991341352463,0.17008589208126068,0.2502395510673523,0.13543154299259186,0.17343297600746155,0.2502395510673523,0.16626803576946259,1.0,0.9408739805221558,0.18259401619434357,0.15495611727237701
angeles,0.10702074319124222,0.1558004766702652,0.24588194489479065,0.1328454464673996,0.16643567383289337,0.24588194489479065,0.17233577370643616,0.9408739805221558,0.9999999403953552,0.18634328246116638,0.16139166057109833
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.49808502197265625,0.3409860134124756,0.37834644317626953,0.3258145749568939,0.18259401619434357,0.18634328246116638,1.0,0.12640461325645447
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.15945716202259064,0.42558613419532776,0.457212895154953,0.17670537531375885,0.19191814959049225,0.19420960545539856,0.25113749504089355,0.21978627145290375
"17,786,419",0.22762438654899597,0.05521249771118164,0.13175931572914124,0.14838628470897675,0.13065335154533386,0.13175931572914124,0.11747389286756516,-0.0017596971010789275,-0.0024725927505642176,0.07982777059078217,0.13479140400886536
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2967977225780487,0.4946078956127167,0.4933079481124878,0.25035545229911804,0.242568701505661,0.23721925914287567,0.2664283812046051,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23080337047576904,0.5116966962814331,0.5171257257461548,0.26711440086364746,0.22504177689552307,0.2403915673494339,0.3044000566005707,0.20544172823429108
san,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.1830071359872818,0.25237205624580383,0.2858080565929413,0.09710997343063354,0.45418909192085266,0.4276162087917328,0.22260162234306335,0.10952327400445938
diego–tijuana,0.2144925743341446,0.22155985236167908,0.29905927181243896,0.169327974319458,0.29972416162490845,0.29905927181243896,0.1707914173603058,0.5088833570480347,0.46853768825531006,0.18641696870326996,0.18951445817947388
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.15945716202259064,0.42558613419532776,0.457212895154953,0.17670537531375885,0.19191814959049225,0.19420960545539856,0.25113749504089355,0.21978627145290375
"5,105,768",-0.19359007477760315,-0.21302203834056854,-0.11707203090190887,-0.06580433249473572,-0.009575014002621174,-0.11707203090190887,-0.0013918670592829585,-0.046339958906173706,-0.012183255515992641,-0.05292526260018349,-0.10859887301921844
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.5934505462646484,0.20152446627616882,0.2471826672554016,0.26720499992370605,0.2760866582393646,0.4130953550338745
