,what,'s,one,factor,in,eroding,self-esteem,?
high,0.20466077327728271,-0.04658069461584091,0.2040119767189026,0.26146888732910156,0.2652597725391388,0.2596536874771118,0.247411847114563,0.11137914657592773
and,0.31309178471565247,0.06895173341035843,0.42438167333602905,0.26250919699668884,0.4954058527946472,0.28889691829681396,0.28237417340278625,0.20544172823429108
persistent,0.30953219532966614,-0.0028928713873028755,0.20515324175357819,0.2859945595264435,0.22725197672843933,0.3220559060573578,0.32665690779685974,0.2348787635564804
unemployment,0.1712515503168106,-0.010823609307408333,0.19320178031921387,0.40398046374320984,0.24091598391532898,0.3029826879501343,0.3944917619228363,0.20707537233829498
",",0.3087472915649414,-0.0016132977325469255,0.3696635365486145,0.22944624722003937,0.5201468467712402,0.22847150266170502,0.23704984784126282,0.31091248989105225
in,0.30808621644973755,-0.037580832839012146,0.4129433035850525,0.2656479775905609,1.0,0.25306615233421326,0.23320645093917847,0.20430970191955566
which,0.5261979103088379,0.03856118768453598,0.510688066482544,0.2945534288883209,0.4840516746044159,0.36153608560562134,0.2472841441631317,0.25814583897590637
inequality,0.30072227120399475,-0.0032307563815265894,0.27946776151657104,0.3792301416397095,0.19402410089969635,0.16505342721939087,0.39979010820388794,0.23619021475315094
increases,0.23849372565746307,-0.06925508379936218,0.2756112515926361,0.454453706741333,0.2302049696445465,0.3308573365211487,0.24620409309864044,0.10270863026380539
",",0.3087472915649414,-0.0016132977325469255,0.3696635365486145,0.22944624722003937,0.5201468467712402,0.22847150266170502,0.23704984784126282,0.31091248989105225
has,0.20338068902492523,-0.040683966130018234,0.43032392859458923,0.20708835124969482,0.4173259735107422,0.19757673144340515,0.19078949093818665,0.15994466841220856
a,0.3320399522781372,0.04866964742541313,0.4910551905632019,0.2596903145313263,0.539380669593811,0.23647864162921906,0.247309148311615,0.23916715383529663
negative,0.23431497812271118,0.005421479232609272,0.2307010442018509,0.23871619999408722,0.17476117610931396,0.1748727262020111,0.2569236755371094,0.12562139332294464
effect,0.2546532452106476,0.03170546516776085,0.2534133493900299,0.32198047637939453,0.25150683522224426,0.22708579897880554,0.18249766528606415,0.1783771812915802
on,0.34226128458976746,0.0026888418942689896,0.3601475656032562,0.22332175076007843,0.46853652596473694,0.22586049139499664,0.1424204409122467,0.2714994251728058
subsequent,0.20167095959186554,0.0070984200574457645,0.19615039229393005,0.1476311832666397,0.1837678998708725,0.1394682675600052,0.15206119418144226,0.13111010193824768
long-run,0.204223170876503,0.1192595437169075,0.2451239377260208,0.18365631997585297,0.2774691581726074,0.23168493807315826,0.1815708577632904,0.2331775724887848
economic,0.18082544207572937,0.0034841743763536215,0.17755547165870667,0.3201487958431244,0.22027181088924408,0.2379208654165268,0.28481870889663696,0.1206481084227562
growth,0.1739405393600464,-0.008487226441502571,0.17276571691036224,0.37681302428245544,0.2819603681564331,0.35141220688819885,0.26246294379234314,0.07547862827777863
.,0.3567904531955719,-0.003708066651597619,0.4123194217681885,0.25708669424057007,0.5591574311256409,0.26686668395996094,0.2713332772254944,0.4130953550338745
