,what,did,nsfnet,promote
the,0.42745697498321533,0.34736719727516174,0.2741697430610657,0.2408624291419983
national,0.16882304847240448,0.17743784189224243,0.23768217861652374,0.219492569565773
science,0.2612018585205078,0.14819081127643585,0.326253741979599,0.2668793201446533
foundation,0.19225969910621643,0.11260227859020233,0.2851741313934326,0.33634641766548157
network,0.16917307674884796,0.08572790026664734,0.40054646134376526,0.2516844570636749
(,0.2411840260028839,0.18979617953300476,0.28508809208869934,0.1858111470937729
nsfnet,0.27924227714538574,0.15854273736476898,1.0000001192092896,0.2507595419883728
),0.26259949803352356,0.18584993481636047,0.2825731039047241,0.19937369227409363
was,0.22111038863658905,0.41399896144866943,0.22150425612926483,0.23078159987926483
a,0.3320399522781372,0.2552328109741211,0.32153329253196716,0.2129819095134735
program,0.25047802925109863,0.18915289640426636,0.36776217818260193,0.2670145034790039
of,0.33290785551071167,0.2513895630836487,0.24913057684898376,0.22270441055297852
coordinated,0.15766541659832,0.11066421121358871,0.21675866842269897,0.1936296969652176
",",0.3087472915649414,0.3015086054801941,0.28886109590530396,0.27121588587760925
evolving,0.25358203053474426,0.17409534752368927,0.24832840263843536,0.22594957053661346
projects,0.28646913170814514,0.21255384385585785,0.3595616817474365,0.42099663615226746
sponsored,0.11231818050146103,0.19077621400356293,0.2637818455696106,0.3305027484893799
by,0.2455483376979828,0.18574509024620056,0.2752390503883362,0.2196826934814453
the,0.42745697498321533,0.34736719727516174,0.2741697430610657,0.2408624291419983
national,0.16882304847240448,0.17743784189224243,0.23768217861652374,0.219492569565773
science,0.2612018585205078,0.14819081127643585,0.326253741979599,0.2668793201446533
foundation,0.19225969910621643,0.11260227859020233,0.2851741313934326,0.33634641766548157
(,0.2411840260028839,0.18979617953300476,0.28508809208869934,0.1858111470937729
nsf,0.2732805907726288,0.1579194813966751,0.597694456577301,0.2839816212654114
),0.26259949803352356,0.18584993481636047,0.2825731039047241,0.19937369227409363
beginning,0.3351518511772156,0.28616875410079956,0.20683354139328003,0.21383073925971985
in,0.30808621644973755,0.2593238651752472,0.21722935140132904,0.22624702751636505
1985,0.07759413868188858,0.07323421537876129,0.06456512957811356,0.05282912030816078
to,0.455847829580307,0.4452643394470215,0.2490166425704956,0.3513890206813812
promote,0.23983411490917206,0.22090767323970795,0.2507595419883728,0.9999998807907104
advanced,0.1988004893064499,0.18464945256710052,0.2524853050708771,0.22124440968036652
research,0.237140491604805,0.2046227902173996,0.32364794611930847,0.318592369556427
and,0.31309178471565247,0.34479495882987976,0.26433253288269043,0.2518306374549866
education,0.19940856099128723,0.19762296974658966,0.2752564549446106,0.3899584412574768
networking,0.2650068402290344,0.12024056166410446,0.5487951636314392,0.35706910490989685
in,0.30808621644973755,0.2593238651752472,0.21722935140132904,0.22624702751636505
the,0.42745697498321533,0.34736719727516174,0.2741697430610657,0.2408624291419983
united,0.20036718249320984,0.21137088537216187,0.18664848804473877,0.22958402335643768
states,0.21526020765304565,0.21754568815231323,0.16396059095859528,0.19782491028308868
.,0.3567904531955719,0.35288307070732117,0.38494348526000977,0.2479933649301529
