,other,than,land,laws,",",what,else,were,the,californios,dissatisfied,with,?
subsequently,0.14435289800167084,0.14069391787052155,0.13930644094944,0.13866187632083893,0.1637192815542221,0.10897690057754517,0.12082766741514206,0.26621636748313904,0.2886511981487274,0.16170325875282288,0.25991979241371155,0.192214697599411,0.005594457965344191
",",0.4446498453617096,0.3371901512145996,0.22220008075237274,0.26751992106437683,1.0000001192092896,0.3087472915649414,0.2643522322177887,0.36755475401878357,0.4933079481124878,0.2906262278556824,0.22073110938072205,0.4120737314224243,0.31091248989105225
californios,0.22704921662807465,0.21901923418045044,0.1516464203596115,0.12140015512704849,0.2906262278556824,0.18550355732440948,0.0894261822104454,0.12796881794929504,0.28861939907073975,1.0,0.12388177216053009,0.20009782910346985,0.15866388380527496
(,0.25035592913627625,0.19419437646865845,0.15432493388652802,0.17210182547569275,0.6363511681556702,0.2411840260028839,0.3322950303554535,0.14743882417678833,0.33289089798927307,0.20488004386425018,0.09752632677555084,0.29503780603408813,0.40561532974243164
dissatisfied,0.15896344184875488,0.19384191930294037,0.10944262146949768,0.2271941900253296,0.22073110938072205,0.31539562344551086,0.23299595713615417,0.27306145429611206,0.28091561794281006,0.12388177216053009,1.0,0.29503950476646423,0.1946241557598114
with,0.44086363911628723,0.3028803765773773,0.16657854616641998,0.1318022757768631,0.4120737314224243,0.2464839518070221,0.20447362959384918,0.3179011940956116,0.4223487675189972,0.20009782910346985,0.29503950476646423,0.9999999403953552,0.2433311939239502
inequitable,0.29579222202301025,0.3141578733921051,0.1945066899061203,0.3300244212150574,0.24601642787456512,0.3262178301811218,0.2987940013408661,0.16716822981834412,0.2686469554901123,0.21398015320301056,0.3997398912906647,0.2684946060180664,0.25996339321136475
taxes,0.2501825988292694,0.24166394770145416,0.30886945128440857,0.4680371582508087,0.2147572934627533,0.2839719355106354,0.2193625122308731,0.2618371844291687,0.23899468779563904,0.13134931027889252,0.2404475063085556,0.15128809213638306,0.18323048949241638
and,0.5504306554794312,0.39361441135406494,0.2874513864517212,0.290377676486969,0.6633074283599854,0.31309178471565247,0.2664144039154053,0.42175528407096863,0.5171257257461548,0.24461685121059418,0.25744935870170593,0.5477725267410278,0.20544172823429108
land,0.1661357283592224,0.1792590618133545,1.0000001192092896,0.23924817144870758,0.22220008075237274,0.23411516845226288,0.18130840361118317,0.27322420477867126,0.28587454557418823,0.1516464203596115,0.10944262146949768,0.16657854616641998,0.1432059109210968
laws,0.25942477583885193,0.1784285604953766,0.23924817144870758,1.0,0.26751992106437683,0.29636016488075256,0.24583952128887177,0.2774597406387329,0.2587076723575592,0.12140015512704849,0.2271941900253296,0.1318022757768631,0.17911791801452637
),0.26200005412101746,0.21982109546661377,0.1601184755563736,0.15580500662326813,0.63033527135849,0.26259949803352356,0.35794275999069214,0.1566188633441925,0.3456730246543884,0.23138558864593506,0.1281651109457016,0.3069596290588379,0.42300865054130554
and,0.5504306554794312,0.39361441135406494,0.2874513864517212,0.290377676486969,0.6633074283599854,0.31309178471565247,0.2664144039154053,0.42175528407096863,0.5171257257461548,0.24461685121059418,0.25744935870170593,0.5477725267410278,0.20544172823429108
pro-slavery,0.22555865347385406,0.14835380017757416,0.19528746604919434,0.4067095220088959,0.2860223054885864,0.29641640186309814,0.300092875957489,0.3157719373703003,0.2637619078159332,0.1615704596042633,0.3757060170173645,0.22185002267360687,0.2742362916469574
southerners,0.28968310356140137,0.23726552724838257,0.2913106679916382,0.4058744013309479,0.26695895195007324,0.3260977268218994,0.22183305025100708,0.4124862253665924,0.32932883501052856,0.23176123201847076,0.34555283188819885,0.23181062936782837,0.18071049451828003
in,0.39989137649536133,0.3270052373409271,0.22871792316436768,0.2591988444328308,0.5201468467712402,0.30808621644973755,0.22759012877941132,0.3815755248069763,0.6662389636039734,0.2472102791070938,0.23298972845077515,0.4080928862094879,0.20430970191955566
the,0.44152235984802246,0.3227543234825134,0.28587454557418823,0.2587076723575592,0.4933079481124878,0.42745697498321533,0.19370581209659576,0.3906462490558624,1.0,0.28861939907073975,0.28091561794281006,0.4223487675189972,0.22068053483963013
lightly,0.26975908875465393,0.39446112513542175,0.13532204926013947,0.17655707895755768,0.2095477283000946,0.301577091217041,0.17647674679756165,0.2663416564464569,0.23359479010105133,0.15455199778079987,0.1947629451751709,0.2823108732700348,0.18176855146884918
populated,0.2823719382286072,0.23266130685806274,0.29513347148895264,0.23306909203529358,0.3050559461116791,0.23684456944465637,0.16859504580497742,0.23313413560390472,0.33048298954963684,0.19148805737495422,0.188679039478302,0.21451330184936523,0.20106194913387299
``,0.10245004296302795,0.12080201506614685,0.04734434187412262,-0.04076443985104561,0.09681109338998795,0.008517155423760414,0.120179682970047,0.006090171169489622,0.029072100296616554,-0.041223589330911636,-0.004676217213273048,0.08974023163318634,0.0685480609536171
