,who,took,thomas,murphy,'s,place,after,the,disney,acquisition,of,abc,?
following,0.1758657693862915,0.17157945036888123,0.06444920599460602,0.1211535632610321,-0.005975736305117607,0.18190120160579681,0.39623188972473145,0.39779382944107056,0.2012777179479599,0.14112944900989532,0.3576679527759552,0.1467348337173462,0.1555173695087433
the,0.3733934462070465,0.31657639145851135,0.23505409061908722,0.19740460813045502,-0.01540423184633255,0.4179787337779999,0.4565047025680542,1.0,0.24980762600898743,0.2637207508087158,0.733189046382904,0.2068762183189392,0.22068053483963013
merger,0.1228785514831543,0.1427227109670639,0.11857785284519196,0.12991560995578766,-0.03215087205171585,0.1356986165046692,0.21007636189460754,0.2557354271411896,0.15781092643737793,0.24918310344219208,0.18576329946517944,0.07602907717227936,0.1345871090888977
",",0.3365725874900818,0.27655306458473206,0.25079426169395447,0.2993151843547821,-0.0016132977325469255,0.34068408608436584,0.38860568404197693,0.4933079481124878,0.2132069319486618,0.1624121218919754,0.4946078956127167,0.2097204476594925,0.31091248989105225
thomas,0.26103657484054565,0.17723479866981506,1.0000001192092896,0.24473543465137482,0.0326034352183342,0.15100863575935364,0.1820588856935501,0.23505409061908722,0.17658327519893646,0.16590198874473572,0.18699592351913452,0.21790172159671783,0.16133050620555878
s.,0.05014374107122421,-0.09819569438695908,-0.04167528823018074,-0.01850704848766327,-0.0037727716844528913,-0.059358980506658554,-0.01493161078542471,-0.04539619758725166,-0.06888721883296967,-0.02560632862150669,-0.10292956233024597,0.050216104835271835,0.07581593841314316
murphy,0.2694018483161926,0.1533435881137848,0.24473543465137482,1.0,0.0140488650649786,0.13072000443935394,0.1790740191936493,0.19740460813045502,0.24157974123954773,0.041700318455696106,0.1612769067287445,0.2258860468864441,0.1981727033853531
left,0.24052289128303528,0.2711615264415741,0.1588381975889206,0.14616499841213226,0.0003564352518878877,0.14495597779750824,0.2841540575027466,0.33113980293273926,0.0828065276145935,0.07406088709831238,0.2218635529279709,0.20078213512897491,0.13251960277557373
abc,0.14673753082752228,0.172824889421463,0.21790172159671783,0.2258860468864441,0.06670809537172318,0.13112665712833405,0.20314010977745056,0.2068762183189392,0.37895750999450684,0.1313246786594391,0.14607268571853638,1.0000001192092896,0.19065172970294952
with,0.3282766342163086,0.1882828176021576,0.1763175129890442,0.22085578739643097,-0.04624466598033905,0.18794342875480652,0.33843478560447693,0.4223487675189972,0.2006005197763443,0.16992983222007751,0.41827285289764404,0.17432008683681488,0.2433311939239502
robert,0.2748492956161499,0.16297975182533264,0.3724904954433441,0.25054293870925903,0.028171386569738388,0.08777225017547607,0.1850993037223816,0.2257954627275467,0.18508297204971313,0.15707530081272125,0.2398476004600525,0.12162340432405472,0.11293095350265503
iger,0.2642470598220825,0.1491907685995102,0.3263595402240753,0.2991177439689636,0.07195201516151428,0.12171436101198196,0.17948417365550995,0.19341586530208588,0.18740378320217133,0.12432839721441269,0.15813247859477997,0.18061263859272003,0.18717654049396515
taking,0.2872755825519562,0.5595852732658386,0.11732223629951477,0.20515337586402893,-0.02628932148218155,0.3547694981098175,0.34106552600860596,0.32714390754699707,0.11117305606603622,0.244838148355484,0.29240402579307556,0.1149904802441597,0.19960761070251465
his,0.44966956973075867,0.40076982975006104,0.20028819143772125,0.2367129772901535,0.047556519508361816,0.2274911254644394,0.41949746012687683,0.4394008219242096,0.25793975591659546,0.20571795105934143,0.38364991545677185,0.18588677048683167,0.18075084686279297
place,0.22742493450641632,0.46866047382354736,0.15100863575935364,0.13072000443935394,-0.03236493840813637,1.0,0.30468833446502686,0.4179787337779999,0.13697494566440582,0.17615093290805817,0.2685627043247223,0.13112665712833405,0.2455766350030899
as,0.3923053741455078,0.2319253534078598,0.19479404389858246,0.26997292041778564,-0.05775856226682663,0.24125029146671295,0.3014480769634247,0.48381632566452026,0.2626339793205261,0.19750462472438812,0.3886612355709076,0.2286096066236496,0.27043893933296204
president,0.22565458714962006,0.23178637027740479,0.22410279512405396,0.10970347374677658,-0.08566092699766159,0.17595967650413513,0.25286588072776794,0.24330610036849976,0.20013606548309326,0.19407039880752563,0.21610750257968903,0.20593604445457458,0.14148259162902832
and,0.41279885172843933,0.25750628113746643,0.20946627855300903,0.2506687343120575,0.06895173341035843,0.2813849449157715,0.3765919506549835,0.5171257257461548,0.23352548480033875,0.2027130275964737,0.5116966962814331,0.16453155875205994,0.20544172823429108
ceo,0.18829603493213654,0.2606229782104492,0.2243909239768982,0.2257373034954071,-0.07697489112615585,0.12910103797912598,0.13435561954975128,0.16098161041736603,0.2574164569377899,0.2955954670906067,0.14724358916282654,0.17861904203891754,0.13378572463989258
.,0.3541337847709656,0.2481018751859665,0.2580391466617584,0.28817734122276306,-0.003708066651597619,0.2844318151473999,0.35870397090911865,0.5934505462646484,0.23698924481868744,0.15648581087589264,0.5352458953857422,0.2567209303379059,0.4130953550338745
