,what,is,the,function,of,the,tardis,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
image,0.13311375677585602,0.2304195761680603,0.24039390683174133,0.15811900794506073,0.21113355457782745,0.24039390683174133,0.13400398194789886,0.14968013763427734
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16667552292346954,1.0,0.733189046382904,0.1735842525959015,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
tardis,0.21426796913146973,0.19483427703380585,0.29145124554634094,0.16662801802158356,0.1735842525959015,0.29145124554634094,1.0000001192092896,0.14893783628940582
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.14970189332962036,0.3909035325050354,0.4177538752555847,0.19771789014339447,0.15994466841220856
become,0.27134042978286743,0.2983444035053253,0.31731709837913513,0.09456376731395721,0.31678006052970886,0.31731709837913513,0.1809610277414322,0.19511328637599945
firmly,0.38080111145973206,0.2847394347190857,0.3476297855377197,0.18053555488586426,0.24022097885608673,0.3476297855377197,0.1512349545955658,0.23320716619491577
linked,0.2771798372268677,0.2245381623506546,0.2907569110393524,0.2035367339849472,0.244833841919899,0.2907569110393524,0.14277538657188416,0.22991526126861572
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2079751342535019,0.41548454761505127,0.535392165184021,0.2524881064891815,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
show,0.29653704166412354,0.2144283652305603,0.319829523563385,0.15108340978622437,0.21383242309093475,0.319829523563385,0.21063032746315002,0.2520138621330261
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1448659598827362,0.5696388483047485,0.6662389636039734,0.1960487961769104,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
public,0.1729622185230255,0.1980048567056656,0.22857438027858734,0.0946938693523407,0.2391265481710434,0.22857438027858734,0.1719173789024353,0.19872993230819702
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.09492422640323639,-0.03817026689648628,-0.01540423184633255,0.014783404767513275,-0.023395681753754616
consciousness,0.27972298860549927,0.1595076620578766,0.18007954955101013,0.2381085753440857,0.1859700232744217,0.18007954955101013,0.2681276798248291,0.13624824583530426
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.09527613967657089,0.054534342139959335,0.09152708947658539,0.05851000174880028,0.10349778085947037
bbc,0.20634698867797852,0.19024956226348877,0.2735401690006256,0.07503142207860947,0.1797877550125122,0.2735401690006256,0.2833022177219391,0.20556949079036713
scriptwriter,0.2107020765542984,0.23363566398620605,0.2295718938112259,0.2032066434621811,0.17072078585624695,0.2295718938112259,0.21960072219371796,0.215373232960701
anthony,0.12305492162704468,0.13794498145580292,0.20432043075561523,0.04082634672522545,0.18367114663124084,0.20432043075561523,0.15742948651313782,0.1372954547405243
coburn,0.12710578739643097,0.18551431596279144,0.20480093359947205,0.1473715901374817,0.20485752820968628,0.20480093359947205,0.2368142008781433,0.18378986418247223
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18487244844436646,0.4946078956127167,0.4933079481124878,0.17403040826320648,0.31091248989105225
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.07654127478599548,0.2827862501144409,0.3733934462070465,0.2757788300514221,0.26220351457595825
lived,0.18411467969417572,0.25943079590797424,0.2897515296936035,0.030390817672014236,0.3103700876235962,0.2897515296936035,0.17182670533657074,0.1798510104417801
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1448659598827362,0.5696388483047485,0.6662389636039734,0.1960487961769104,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
resort,0.16167303919792175,0.25521621108055115,0.2548282742500305,0.042190633714199066,0.2024797797203064,0.2548282742500305,0.06251347064971924,0.12942275404930115
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16667552292346954,1.0,0.733189046382904,0.1735842525959015,0.1826142966747284
herne,0.1657615303993225,0.18897908926010132,0.2869209945201874,0.0286388099193573,0.22784176468849182,0.2869209945201874,0.24443699419498444,0.06637217104434967
bay,0.20251236855983734,0.1959105283021927,0.2441686987876892,0.05236811935901642,0.20480380952358246,0.2441686987876892,0.1456879824399948,0.10773546993732452
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18487244844436646,0.4946078956127167,0.4933079481124878,0.17403040826320648,0.31091248989105225
kent,0.1471550464630127,0.16878673434257507,0.20858485996723175,0.13881084322929382,0.2205689400434494,0.20858485996723175,0.18966414034366608,0.14343582093715668
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18487244844436646,0.4946078956127167,0.4933079481124878,0.17403040826320648,0.31091248989105225
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.09754103422164917,0.4069072902202606,0.48711544275283813,0.1628473550081253,0.18412111699581146
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.22186066210269928,0.4999135136604309,0.5514441132545471,0.24219056963920593,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16667552292346954,1.0,0.733189046382904,0.1735842525959015,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.083025723695755,0.3251037895679474,0.36838498711586,0.1580902636051178,0.23739641904830933
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.07654127478599548,0.2827862501144409,0.3733934462070465,0.2757788300514221,0.26220351457595825
conceived,0.22557096183300018,0.21317176520824432,0.23506250977516174,0.15657983720302582,0.2817595899105072,0.23506250977516174,0.26960331201553345,0.14654332399368286
the,0.42745697498321533,0.5823672413825989,1.0,0.2037137746810913,0.733189046382904,1.0,0.29145124554634094,0.22068053483963013
idea,0.44512778520584106,0.21963010728359222,0.2839161455631256,0.2814703583717346,0.2342950403690338,0.2839161455631256,0.19714359939098358,0.2952161729335785
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16667552292346954,1.0,0.733189046382904,0.1735842525959015,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20934805274009705,0.5052502155303955,0.5829201340675354,0.2688678205013275,0.23916715383529663
police,0.1865120679140091,0.1962917000055313,0.2206914722919464,0.14010171592235565,0.19770009815692902,0.2206914722919464,0.18054185807704926,0.1765819936990738
box,0.20509275794029236,0.18454863131046295,0.25871407985687256,0.27171120047569275,0.10286273062229156,0.25871407985687256,0.24328218400478363,0.21736569702625275
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.19182996451854706,0.3886612355709076,0.48381632566452026,0.1721082329750061,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20934805274009705,0.5052502155303955,0.5829201340675354,0.2688678205013275,0.23916715383529663
time,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.2496948391199112,0.35127586126327515,0.43061500787734985,0.3222777247428894,0.27391523122787476
machine,0.23075932264328003,0.18938691914081573,0.22788187861442566,0.25117871165275574,0.15468473732471466,0.22788187861442566,0.24851280450820923,0.17587624490261078
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.253307044506073,0.5352458953857422,0.5934505462646484,0.224110946059227,0.4130953550338745
