,what,type,of,organism,are,cyanobacteria,?
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.29064977169036865,0.610666811466217,0.38900527358055115,0.2753053903579712
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2598592936992645,1.0,0.3043197691440582,0.24591213464736938
sometimes,0.34229418635368347,0.29955020546913147,0.296434611082077,0.25311216711997986,0.47411349415779114,0.22585414350032806,0.1751544177532196
called,0.3235960602760315,0.30593958497047424,0.4222904443740845,0.22976894676685333,0.3676711618900299,0.24288132786750793,0.18963319063186646
blue-green,0.286449670791626,0.1930452287197113,0.22008949518203735,0.21485668420791626,0.29880642890930176,0.373981773853302,0.23501622676849365
algae,0.1909741312265396,0.19952817261219025,0.17768362164497375,0.5435226559638977,0.31269216537475586,0.6518606543540955,0.15479309856891632
even,0.40872135758399963,0.1578398495912552,0.34735506772994995,0.2712545096874237,0.43312960863113403,0.3064447045326233,0.30082517862319946
though,0.4089210331439972,0.15306183695793152,0.37307101488113403,0.20547984540462494,0.39827248454093933,0.2849859595298767,0.3188856542110443
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.29064977169036865,0.610666811466217,0.38900527358055115,0.2753053903579712
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2598592936992645,1.0,0.3043197691440582,0.24591213464736938
prokaryotes,0.27792635560035706,0.19373933970928192,0.2560952305793762,0.6381346583366394,0.3748306632041931,0.7002996802330017,0.22009602189064026
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24682649970054626,0.3452940285205841,0.2696060240268707,0.4130953550338745
,what,type,of,organism,are,cyanobacteria,?
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.29064977169036865,0.610666811466217,0.38900527358055115,0.2753053903579712
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2598592936992645,1.0,0.3043197691440582,0.24591213464736938
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.24148842692375183,0.265255331993103,0.22426342964172363,0.23916715383529663
diverse,0.18528151512145996,0.1287190020084381,0.27690666913986206,0.3735376000404358,0.30672088265419006,0.3997781574726105,0.07389035075902939
phylum,0.20018324255943298,0.1783323734998703,0.18638917803764343,0.5005784034729004,0.31759709119796753,0.581352174282074,0.18758688867092133
of,0.33290785551071167,0.18112817406654358,1.0,0.23540134727954865,0.39081433415412903,0.2361430525779724,0.1826142966747284
bacteria,0.1863701492547989,0.2154657542705536,0.17966590821743011,0.5993368029594421,0.2667160630226135,0.8251602053642273,0.18786604702472687
capable,0.24030843377113342,0.2113228738307953,0.21464630961418152,0.27284616231918335,0.328324556350708,0.31771013140678406,0.18388573825359344
of,0.33290785551071167,0.18112817406654358,1.0,0.23540134727954865,0.39081433415412903,0.2361430525779724,0.1826142966747284
carrying,0.14636102318763733,0.12738457322120667,0.2647595703601837,0.2014733999967575,0.19839492440223694,0.14270968735218048,0.1526285707950592
out,0.3633197546005249,0.18749801814556122,0.34176841378211975,0.21557959914207458,0.31390950083732605,0.1795254945755005,0.22020699083805084
photosynthesis,0.261831134557724,0.1699555218219757,0.26824626326560974,0.608531653881073,0.30001193284988403,0.6765163540840149,0.1871609091758728
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.15651610493659973,0.4062570035457611,0.2548418641090393,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.20019865036010742,0.48576638102531433,0.23908378183841705,0.20544172823429108
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2598592936992645,1.0,0.3043197691440582,0.24591213464736938
gram-negative,0.2872333526611328,0.24204891920089722,0.25736746191978455,0.3223387598991394,0.2715073525905609,0.43559449911117554,0.1725076586008072
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.15651610493659973,0.4062570035457611,0.2548418641090393,0.31091248989105225
meaning,0.24135559797286987,0.17157350480556488,0.2447882443666458,0.23139643669128418,0.2568538784980774,0.21720828115940094,0.20420892536640167
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.30370086431503296,0.45265161991119385,0.3360731899738312,0.32716336846351624
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.29064977169036865,0.610666811466217,0.38900527358055115,0.2753053903579712
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.28520748019218445,0.6577680706977844,0.36885321140289307,0.32991164922714233
two,0.23363454639911652,0.14017313718795776,0.37726253271102905,0.13582578301429749,0.46276170015335083,0.2064390331506729,0.19645625352859497
cell,0.19222842156887054,0.2297259271144867,0.18332023918628693,0.4644794166088104,0.19039002060890198,0.42483991384506226,0.2058541625738144
membranes,0.18834297358989716,0.1810416877269745,0.23994219303131104,0.4913070499897003,0.36286166310310364,0.542674720287323,0.20524227619171143
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24682649970054626,0.3452940285205841,0.2696060240268707,0.4130953550338745
