,how,much,of,the,population,in,the,middle,east,died,of,the,plague,?
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.32044094800949097,0.6662389636039734,1.0,0.3405749201774597,0.3383176326751709,0.18710990250110626,0.733189046382904,1.0,0.2537761330604553,0.22068053483963013
most,0.311336874961853,0.4205867648124695,0.4178851246833801,0.47635307908058167,0.21684317290782928,0.41416558623313904,0.47635307908058167,0.23024573922157288,0.1843280792236328,0.1157141849398613,0.4178851246833801,0.47635307908058167,0.20123998820781708,0.2107497900724411
widely,0.21374991536140442,0.370082825422287,0.22028475999832153,0.29394426941871643,0.25132712721824646,0.26852190494537354,0.29394426941871643,0.1380716860294342,0.14685192704200745,0.11903712153434753,0.22028475999832153,0.29394426941871643,0.14234453439712524,0.10354958474636078
accepted,0.2068874090909958,0.24232278764247894,0.2863047122955322,0.2999902665615082,0.12441859394311905,0.26470789313316345,0.2999902665615082,0.1027134582400322,0.15939727425575256,0.17924639582633972,0.2863047122955322,0.2999902665615082,0.06685831397771835,0.19665466248989105
estimate,0.25648319721221924,0.30357876420021057,0.2585934102535248,0.24080884456634521,0.5426440238952637,0.20146653056144714,0.24080884456634521,0.18823599815368652,0.1659126728773117,0.16781486570835114,0.2585934102535248,0.24080884456634521,0.22218269109725952,0.2405346781015396
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.13321557641029358,0.4322226941585541,0.4739971458911896,0.17248252034187317,0.20268000662326813,0.15530551970005035,0.4185989499092102,0.4739971458911896,0.1471073478460312,0.264628142118454
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.32044094800949097,0.6662389636039734,1.0,0.3405749201774597,0.3383176326751709,0.18710990250110626,0.733189046382904,1.0,0.2537761330604553,0.22068053483963013
middle,0.1679641306400299,0.19514094293117523,0.2799445688724518,0.3405749201774597,0.16732719540596008,0.26767921447753906,0.3405749201774597,0.9999998807907104,0.3956385850906372,0.14201988279819489,0.2799445688724518,0.3405749201774597,0.17338109016418457,0.13139553368091583
east,0.1773146688938141,0.19139017164707184,0.314786434173584,0.3383176326751709,0.32676059007644653,0.32659441232681274,0.3383176326751709,0.3956385850906372,1.0000001192092896,0.2314656376838684,0.314786434173584,0.3383176326751709,0.1925378143787384,0.10070597380399704
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.319791704416275,0.36026471853256226,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
including,0.20270724594593048,0.25625187158584595,0.44195112586021423,0.3738902807235718,0.17400483787059784,0.35857823491096497,0.3738902807235718,0.16107262670993805,0.20827072858810425,0.17554499208927155,0.44195112586021423,0.3738902807235718,0.25680461525917053,0.1633303165435791
iraq,0.11461647599935532,0.17905528843402863,0.24110949039459229,0.2386751025915146,0.18401958048343658,0.2443525791168213,0.2386751025915146,0.1743413656949997,0.24212850630283356,0.11660174280405045,0.24110949039459229,0.2386751025915146,0.2306726723909378,0.13788843154907227
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.319791704416275,0.36026471853256226,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
iran,0.18272636830806732,0.18887977302074432,0.23381876945495605,0.2222200483083725,0.17272457480430603,0.2470509260892868,0.2222200483083725,0.18735814094543457,0.2026064693927765,0.11779842525720596,0.23381876945495605,0.2222200483083725,0.1917552947998047,0.13501082360744476
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.4954058527946472,0.5171257257461548,0.2514324486255646,0.27633291482925415,0.20853787660598755,0.5116966962814331,0.5171257257461548,0.2229994833469391,0.20544172823429108
