,approximately,how,many,items,are,in,the,v,&,a,'s,textiles,collection,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.40399202704429626,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.26939645409584045,0.25281965732574463,0.22068053483963013
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.38827261328697205,0.22862131893634796,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.003388406243175268,0.24477313458919525,0.9999998807907104,0.20069393515586853
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.21522082388401031,0.39081433415412903,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2785990536212921,0.2915455996990204,0.1826142966747284
textiles,0.24027153849601746,0.18378855288028717,0.36255353689193726,0.44489628076553345,0.2753138542175293,0.2786903977394104,0.26939645409584045,0.07003729045391083,0.12968061864376068,0.19619262218475342,0.010513336397707462,1.0000001192092896,0.24477313458919525,0.06833552569150925
consists,0.3236760199069977,0.14797210693359375,0.18753206729888916,0.20118942856788635,0.43408724665641785,0.3011418879032135,0.3362659811973572,0.05065654218196869,0.2064676135778427,0.3022095263004303,-0.021244008094072342,0.16980984807014465,0.24928395450115204,-0.004641483072191477
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.21522082388401031,0.39081433415412903,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2785990536212921,0.2915455996990204,0.1826142966747284
more,0.3425437808036804,0.4319567084312439,0.48608261346817017,0.2958104610443115,0.4066504240036011,0.32563260197639465,0.39758381247520447,0.12196233123540878,0.0793071761727333,0.3452818691730499,0.032942235469818115,0.24397003650665283,0.19879412651062012,0.27894994616508484
than,0.3712998330593109,0.29763275384902954,0.39069414138793945,0.27981314063072205,0.39206281304359436,0.3270052373409271,0.3227543234825134,0.10344221442937851,0.07854517549276352,0.3126874566078186,0.0585811510682106,0.17750367522239685,0.1624053567647934,0.24917294085025787
"53,000",-0.14107343554496765,0.0552222765982151,0.04289976507425308,-0.016438769176602364,-0.0824517235159874,-0.008206934668123722,0.08064324408769608,0.09025681018829346,0.004831749014556408,0.03385985270142555,0.009245749562978745,0.004871918819844723,-0.03755509853363037,0.0022034253925085068
examples,0.15808402001857758,0.3219991624355316,0.44614723324775696,0.3606877624988556,0.5214043259620667,0.25567561388015747,0.30092597007751465,0.12880930304527283,0.14307698607444763,0.2633219361305237,-0.04718343913555145,0.3253297507762909,0.25887519121170044,0.19976599514484406
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.26673367619514465,0.2277175933122635,0.31091248989105225
mainly,0.3426332473754883,0.29285627603530884,0.5025016665458679,0.22345809638500214,0.40445566177368164,0.353954017162323,0.3790479004383087,0.07376252859830856,0.13148339092731476,0.3235919773578644,0.08966390043497086,0.3429209291934967,0.20353619754314423,0.07608037441968918
western,0.1933833807706833,0.08635379374027252,0.24915564060211182,0.15774652361869812,0.19592507183551788,0.35160520672798157,0.37920868396759033,0.11647400259971619,0.12006895989179611,0.21111781895160675,0.06932425498962402,0.20004421472549438,0.14432497322559357,0.17439141869544983
european,0.18031030893325806,0.123964823782444,0.24996337294578552,0.1342461258172989,0.15548661351203918,0.23319172859191895,0.3423081040382385,0.16175833344459534,0.15071523189544678,0.2254103124141693,0.08902547508478165,0.1844172477722168,0.10411082953214645,0.14560863375663757
though,0.2733912765979767,0.38766178488731384,0.4423123300075531,0.21898460388183594,0.39827248454093933,0.3193182945251465,0.38776206970214844,0.06440545618534088,0.12405142188072205,0.33230000734329224,0.013477406464517117,0.1746264100074768,0.16961267590522766,0.3188856542110443
