,in,what,language,were,the,classes,given,?
:32,-0.05097714066505432,0.10228089243173599,0.026605086401104927,0.12518054246902466,0.005189419258385897,0.05288089066743851,0.05336694046854973,-0.01251556258648634
the,0.6662389636039734,0.42745697498321533,0.30198320746421814,0.3906462490558624,1.0,0.21469499170780182,0.37508252263069153,0.22068053483963013
classes,0.20728561282157898,0.20746955275535583,0.24860452115535736,0.248728409409523,0.21469499170780182,1.0000001192092896,0.169344961643219,0.14397528767585754
were,0.3815755248069763,0.22298263013362885,0.1767657995223999,1.0000001192092896,0.3906462490558624,0.248728409409523,0.25531911849975586,0.17890112102031708
held,0.3127288818359375,0.0974166989326477,0.10089544206857681,0.2591556906700134,0.32185450196266174,0.12771517038345337,0.3308808207511902,0.14103956520557404
in,1.0,0.30808621644973755,0.23268210887908936,0.3815755248069763,0.6662389636039734,0.20728561282157898,0.2528568208217621,0.20430970191955566
german,0.21098364889621735,0.1960553526878357,0.19494405388832092,0.21041691303253174,0.256483793258667,0.1110636442899704,0.15894705057144165,0.13978645205497742
",",0.5201468467712402,0.3087472915649414,0.2694627344608307,0.36755475401878357,0.4933079481124878,0.26848307251930237,0.2843315005302429,0.31091248989105225
as,0.3887844979763031,0.31749409437179565,0.2037375271320343,0.3025437891483307,0.48381632566452026,0.2623615860939026,0.32487574219703674,0.27043893933296204
it,0.5130809545516968,0.45803478360176086,0.297003835439682,0.25487732887268066,0.6251175999641418,0.22729383409023285,0.22770175337791443,0.25732165575027466
was,0.45514053106307983,0.22111038863658905,0.20423492789268494,0.590133786201477,0.48711544275283813,0.15290966629981995,0.26878538727760315,0.18412111699581146
a,0.539380669593811,0.3320399522781372,0.21064592897891998,0.17203083634376526,0.5829201340675354,0.25567445158958435,0.3335871398448944,0.23916715383529663
school,0.26157811284065247,0.18774057924747467,0.16804754734039307,0.16513954102993011,0.22953221201896667,0.35834839940071106,0.11648198962211609,0.15091250836849213
within,0.40576374530792236,0.2498195916414261,0.17922797799110413,0.19996105134487152,0.39827480912208557,0.22242958843708038,0.18818950653076172,0.1870293766260147
the,0.6662389636039734,0.42745697498321533,0.30198320746421814,0.3906462490558624,1.0,0.21469499170780182,0.37508252263069153,0.22068053483963013
austro-hungarian,0.17108792066574097,0.11798475682735443,0.2416587471961975,0.22034667432308197,0.1989392340183258,0.16209465265274048,0.19022591412067413,0.16446684300899506
military,0.2402431070804596,0.18809624016284943,0.19154056906700134,0.21322216093540192,0.2290858030319214,0.21272696554660797,0.23923924565315247,0.1890317052602768
frontier,0.2864285707473755,0.23734928667545319,0.21445925533771515,0.1899239718914032,0.303574800491333,0.1585705727338791,0.09168766438961029,0.13416144251823425
.,0.5591574311256409,0.3567904531955719,0.2506868243217468,0.3378238379955292,0.5934505462646484,0.24851149320602417,0.3169408142566681,0.4130953550338745
