,how,old,are,the,fossils,found,that,represent,ctenophhores,?
despite,0.180110901594162,0.14490298926830292,0.262754887342453,0.3172689974308014,0.21924017369747162,0.22573569416999817,0.3715449869632721,0.2101244479417801,0.22854436933994293,0.14350546896457672
their,0.3316696584224701,0.1772722750902176,0.46887820959091187,0.516537070274353,0.208581805229187,0.16267240047454834,0.4266771972179413,0.24555432796478271,0.3421170711517334,0.1898253709077835
soft,0.18578916788101196,0.16842739284038544,0.2912416160106659,0.21071362495422363,0.24756060540676117,0.19314168393611908,0.283719927072525,0.12709371745586395,0.22039960324764252,0.20168161392211914
",",0.22659391164779663,0.26524028182029724,0.4062570035457611,0.4933079481124878,0.21695511043071747,0.27385151386260986,0.4137537479400635,0.26053929328918457,0.28010106086730957,0.31091248989105225
gelatinous,0.21972450613975525,0.16112522780895233,0.4187321364879608,0.23073269426822662,0.34085941314697266,0.2719419598579407,0.2851770520210266,0.2211708128452301,0.48962855339050293,0.17941416800022125
bodies,0.22852851450443268,0.12017733603715897,0.35380154848098755,0.2745959758758545,0.3195175230503082,0.31567689776420593,0.30124250054359436,0.22181549668312073,0.35442376136779785,0.18285469710826874
",",0.22659391164779663,0.26524028182029724,0.4062570035457611,0.4933079481124878,0.21695511043071747,0.27385151386260986,0.4137537479400635,0.26053929328918457,0.28010106086730957,0.31091248989105225
fossils,0.17792661488056183,0.23615768551826477,0.26634666323661804,0.2495197057723999,1.0000001192092896,0.44371047616004944,0.29984185099601746,0.23489755392074585,0.5270678400993347,0.1504307985305786
thought,0.3918285071849823,0.19570520520210266,0.28778257966041565,0.3509289622306824,0.25450655817985535,0.372762531042099,0.520185112953186,0.28303205966949463,0.31555283069610596,0.2600135803222656
to,0.44169697165489197,0.2412436157464981,0.3504326641559601,0.535392165184021,0.22865045070648193,0.25225648283958435,0.5436353087425232,0.2675820589065552,0.23374120891094208,0.29463258385658264
