,how,many,species,of,bird,and,mammals,are,there,in,the,amazon,region,?
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.2014537751674652,0.5171257257461548,0.27272844314575195,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.22068053483963013
region,0.15155482292175293,0.17234529554843903,0.22915275394916534,0.2852717339992523,0.12926983833312988,0.2372262328863144,0.20167268812656403,0.20011243224143982,0.24659839272499084,0.3524819314479828,0.35020557045936584,0.18148772418498993,1.0,0.13441751897335052
is,0.22544461488723755,0.2649032473564148,0.2673557698726654,0.4854315221309662,0.23662157356739044,0.3859752118587494,0.23238930106163025,0.5330929756164551,0.3904260993003845,0.5394441485404968,0.5823672413825989,0.15197539329528809,0.3317503035068512,0.22961433231830597
home,0.11464780569076538,0.19523783028125763,0.10892216116189957,0.24402645230293274,0.1703340858221054,0.24667192995548248,0.1385442018508911,0.17890439927577972,0.24579636752605438,0.30467477440834045,0.28978195786476135,0.08940845727920532,0.12647393345832825,0.0757145956158638
to,0.44169697165489197,0.40243685245513916,0.2193736732006073,0.41548454761505127,0.15584394335746765,0.48971283435821533,0.22175012528896332,0.3504326641559601,0.40669289231300354,0.45010748505592346,0.535392165184021,0.17033490538597107,0.24118299782276154,0.29463258385658264
about,0.44264400005340576,0.3800397515296936,0.24729883670806885,0.40939709544181824,0.1706838607788086,0.3875081241130829,0.1876354217529297,0.36165615916252136,0.463201105594635,0.39797019958496094,0.37995871901512146,0.20610886812210083,0.20967209339141846,0.302409827709198
2.5,-0.16656439006328583,-0.2608198821544647,-0.06003810465335846,-0.24039185047149658,-0.13882702589035034,-0.17643067240715027,-0.06754133105278015,-0.17153534293174744,-0.17674043774604797,-0.13183799386024475,-0.2036779820919037,-0.11546944081783295,-0.02218550257384777,0.058774158358573914
million,0.21114659309387207,0.3520967364311218,0.23049934208393097,0.21686489880084991,0.13670475780963898,0.22906863689422607,0.1437276154756546,0.21881309151649475,0.22681257128715515,0.2596224844455719,0.277012437582016,0.18845590949058533,0.2246832400560379,0.23092924058437347
insect,0.22848427295684814,0.21827678382396698,0.4791181981563568,0.2153836041688919,0.40064308047294617,0.17318162322044373,0.4620714485645294,0.2516767680644989,0.1746370792388916,0.2097979038953781,0.23418988287448883,0.26403602957725525,0.18199963867664337,0.17614327371120453
species,0.20142129063606262,0.25436872243881226,0.9999999403953552,0.23307405412197113,0.4155181050300598,0.23547904193401337,0.5211568474769592,0.3297041952610016,0.3110367953777313,0.2179255336523056,0.2522439956665039,0.2994495630264282,0.22915275394916534,0.1957087516784668
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.19613754749298096,0.6633074283599854,0.22760136425495148,0.4062570035457611,0.4587128460407257,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.31091248989105225
tens,0.26356157660484314,0.41031157970428467,0.1264263242483139,0.2564631402492523,0.04020756483078003,0.3326077163219452,0.10272357612848282,0.313627153635025,0.3099254369735718,0.3230520486831665,0.30182886123657227,0.12756921350955963,0.14710119366645813,0.17227669060230255
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.19909559190273285,0.5116966962814331,0.2500741481781006,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2852717339992523,0.1826142966747284
thousands,0.2813407778739929,0.5732859373092651,0.2387818843126297,0.27601075172424316,0.10587948560714722,0.2946740686893463,0.12026021629571915,0.3605367839336395,0.34785664081573486,0.26048728823661804,0.2934577763080597,0.17538854479789734,0.19020380079746246,0.15520451962947845
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.19909559190273285,0.5116966962814331,0.2500741481781006,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2852717339992523,0.1826142966747284
plants,0.2699413597583771,0.3341540992259979,0.5846481919288635,0.29386165738105774,0.31278446316719055,0.3052898943424225,0.4213710427284241,0.35990846157073975,0.2593764066696167,0.2697395086288452,0.29499560594558716,0.27369287610054016,0.2067413181066513,0.1473488062620163
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.19613754749298096,0.6633074283599854,0.22760136425495148,0.4062570035457611,0.4587128460407257,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.20209141075611115,1.0,0.2614201009273529,0.48576638102531433,0.4242868423461914,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.2372262328863144,0.20544172823429108
some,0.4180530905723572,0.7976660132408142,0.3064201772212982,0.4300730526447296,0.21343879401683807,0.5337774157524109,0.2724233865737915,0.6331475377082825,0.5035935640335083,0.4010399878025055,0.4566698372364044,0.19491901993751526,0.13805310428142548,0.2562315762042999
"2,000",-0.008793028071522713,0.004640443250536919,-0.20660895109176636,0.10164742916822433,-0.1084938794374466,0.07374382764101028,-0.03264766186475754,-0.0922631248831749,-0.1033037006855011,0.04807119444012642,0.06475643068552017,-0.0970429927110672,-0.12911325693130493,-0.01396813802421093
birds,0.21416977047920227,0.26239219307899475,0.5187767744064331,0.2461683750152588,0.7236887216567993,0.2931065261363983,0.6451108455657959,0.3183206617832184,0.22411398589611053,0.2125139683485031,0.24023959040641785,0.2305370569229126,0.12036339193582535,0.13677363097667694
