,what,controls,wages,in,a,purely,capitalist,mode,of,production,?
where,0.4457937180995941,0.23760317265987396,0.14850248396396637,0.5344807505607605,0.40997210144996643,0.23679697513580322,0.16008228063583374,0.2817832827568054,0.38066378235816956,0.20912449061870575,0.24793872237205505
professional,0.20202119648456573,0.09071289747953415,0.21440386772155762,0.20803587138652802,0.2665292024612427,0.1670135110616684,0.1904245764017105,0.09729858487844467,0.21265500783920288,0.1199091300368309,0.13074518740177155
and,0.31309178471565247,0.27258071303367615,0.2664845883846283,0.4954058527946472,0.3739250600337982,0.25708380341529846,0.248786062002182,0.17600871622562408,0.5116966962814331,0.25569969415664673,0.20544172823429108
labor,0.1943984031677246,0.2172645777463913,0.4758045971393585,0.1950610727071762,0.17354394495487213,0.16096702218055725,0.34555983543395996,0.14176099002361298,0.23769748210906982,0.2783592939376831,0.19386747479438782
organizations,0.20689024031162262,0.23573344945907593,0.32843467593193054,0.25369027256965637,0.21523034572601318,0.2709382474422455,0.3333946764469147,0.13919579982757568,0.24586479365825653,0.20036600530147552,0.22215601801872253
can,0.34502777457237244,0.2834656238555908,0.23247961699962616,0.26527702808380127,0.3915780484676361,0.33196941018104553,0.19932891428470612,0.29877012968063354,0.2603091299533844,0.1666571944952011,0.3226337134838104
not,0.5449194312095642,0.24201442301273346,0.2435939610004425,0.3403114080429077,0.3791346549987793,0.3853027820587158,0.24884989857673645,0.21489004790782928,0.3307090103626251,0.1933227926492691,0.41942933201789856
limit,0.2810012400150299,0.22079598903656006,0.22718510031700134,0.18465836346149445,0.17537008225917816,0.2332102507352829,0.14401103556156158,0.17845438420772552,0.2516467273235321,0.12337958812713623,0.20747125148773193
the,0.42745697498321533,0.33783647418022156,0.15546856820583344,0.6662389636039734,0.5829201340675354,0.2469300776720047,0.19365057349205017,0.17972604930400848,0.733189046382904,0.2657334506511688,0.22068053483963013
number,0.23046229779720306,0.146511510014534,0.16210004687309265,0.3024539053440094,0.2992287278175354,0.2378043830394745,0.11283417046070099,0.1969917118549347,0.2778518795967102,0.1695626974105835,0.19256845116615295
of,0.33290785551071167,0.2718416750431061,0.17478904128074646,0.5696388483047485,0.5052502155303955,0.24775581061840057,0.1508098989725113,0.14595618844032288,1.0,0.1928233802318573,0.1826142966747284
workers,0.21390831470489502,0.15397414565086365,0.5291796326637268,0.2254374474287033,0.25033822655677795,0.16546975076198578,0.3610039949417114,0.1306896209716797,0.20827822387218475,0.25880149006843567,0.1706571877002716
),0.26259949803352356,0.20176617801189423,0.12380184978246689,0.3326910734176636,0.3640355169773102,0.13244740664958954,0.1943824589252472,0.2088182270526886,0.3680361211299896,0.15961627662181854,0.42300865054130554
the,0.42745697498321533,0.33783647418022156,0.15546856820583344,0.6662389636039734,0.5829201340675354,0.2469300776720047,0.19365057349205017,0.17972604930400848,0.733189046382904,0.2657334506511688,0.22068053483963013
workers,0.21390831470489502,0.15397414565086365,0.5291796326637268,0.2254374474287033,0.25033822655677795,0.16546975076198578,0.3610039949417114,0.1306896209716797,0.20827822387218475,0.25880149006843567,0.1706571877002716
wages,0.20351257920265198,0.23748363554477692,1.0,0.16484716534614563,0.19376714527606964,0.20646533370018005,0.40461674332618713,0.22519926726818085,0.17478904128074646,0.37711915373802185,0.19884631037712097
will,0.3510494530200958,0.32018962502479553,0.2829979956150055,0.2580665349960327,0.3401327431201935,0.2579020857810974,0.22896119952201843,0.27982011437416077,0.2473582625389099,0.21770963072776794,0.35046905279159546
not,0.5449194312095642,0.24201442301273346,0.2435939610004425,0.3403114080429077,0.3791346549987793,0.3853027820587158,0.24884989857673645,0.21489004790782928,0.3307090103626251,0.1933227926492691,0.41942933201789856
be,0.3929833769798279,0.2416183054447174,0.2276950478553772,0.3481820821762085,0.39883795380592346,0.39099371433258057,0.2333875596523285,0.2244129329919815,0.33904364705085754,0.20240652561187744,0.3324260413646698
controlled,0.24713590741157532,0.7165756821632385,0.18738530576229095,0.2597082853317261,0.22610771656036377,0.1290021538734436,0.19955848157405853,0.1573401391506195,0.2840180993080139,0.19314800202846527,0.1105743944644928
by,0.2455483376979828,0.2457427680492401,0.1800205409526825,0.370934396982193,0.32094135880470276,0.18325555324554443,0.20371857285499573,0.10417608171701431,0.3646814823150635,0.24570661783218384,0.17966607213020325
these,0.4164220690727234,0.23417799174785614,0.2408653199672699,0.3791837692260742,0.24380075931549072,0.34108659625053406,0.14642873406410217,0.1858636438846588,0.42684608697891235,0.21990540623664856,0.2571668326854706
organizations,0.20689024031162262,0.23573344945907593,0.32843467593193054,0.25369027256965637,0.21523034572601318,0.2709382474422455,0.3333946764469147,0.13919579982757568,0.24586479365825653,0.20036600530147552,0.22215601801872253
",",0.3087472915649414,0.1924080103635788,0.2121202051639557,0.5201468467712402,0.427140474319458,0.28609639406204224,0.2811186611652374,0.12268146127462387,0.4946078956127167,0.24176549911499023,0.31091248989105225
or,0.33867141604423523,0.27032145857810974,0.23854075372219086,0.3586423695087433,0.48853766918182373,0.34521207213401794,0.2366103082895279,0.25457674264907837,0.3792596757411957,0.16223518550395966,0.32389625906944275
by,0.2455483376979828,0.2457427680492401,0.1800205409526825,0.370934396982193,0.32094135880470276,0.18325555324554443,0.20371857285499573,0.10417608171701431,0.3646814823150635,0.24570661783218384,0.17966607213020325
the,0.42745697498321533,0.33783647418022156,0.15546856820583344,0.6662389636039734,0.5829201340675354,0.2469300776720047,0.19365057349205017,0.17972604930400848,0.733189046382904,0.2657334506511688,0.22068053483963013
employer,0.22804230451583862,0.206763356924057,0.43275272846221924,0.2540493607521057,0.2502188980579376,0.13977156579494476,0.3273770213127136,0.10244721174240112,0.16880308091640472,0.28699547052383423,0.21366886794567108
",",0.3087472915649414,0.1924080103635788,0.2121202051639557,0.5201468467712402,0.427140474319458,0.28609639406204224,0.2811186611652374,0.12268146127462387,0.4946078956127167,0.24176549911499023,0.31091248989105225
but,0.5029441118240356,0.20456047356128693,0.2432762086391449,0.48674455285072327,0.44750767946243286,0.367227166891098,0.24803705513477325,0.2219284027814865,0.39942997694015503,0.24387402832508087,0.27921953797340393
rather,0.3923804461956024,0.16955216228961945,0.3104989230632782,0.26646825671195984,0.4061340093612671,0.4675742983818054,0.2364179641008377,0.23774781823158264,0.3045461177825928,0.19949419796466827,0.3053998053073883
