,whose,army,liberated,warsaw,in,1806,?
liberated,0.187965989112854,0.34966906905174255,0.9999998807907104,0.26955756545066833,0.2565309703350067,0.0958503782749176,0.1415107548236847
by,0.3384193778038025,0.2323688417673111,0.25119972229003906,0.15291538834571838,0.370934396982193,0.028114832937717438,0.17966607213020325
napoleon,0.0975680872797966,0.35026994347572327,0.31387895345687866,0.325539767742157,0.1983536332845688,0.02374451421201229,0.15321364998817444
's,-0.019954677671194077,0.03417222201824188,0.00547961937263608,0.02839025668799877,-0.037580832839012146,-0.09561629593372345,-0.023395681753754616
army,0.10774852335453033,1.0000001192092896,0.34966906905174255,0.2348434329032898,0.25258398056030273,0.05055682361125946,0.180583193898201
in,0.23496666550636292,0.25258398056030273,0.2565309703350067,0.22642600536346436,1.0,0.10401318967342377,0.20430970191955566
1806,0.07886344939470291,0.05055682361125946,0.0958503782749176,0.031069299206137657,0.10401318967342377,1.0000001192092896,0.10316470265388489
",",0.25601375102996826,0.230897456407547,0.2841561734676361,0.25300899147987366,0.5201468467712402,0.06432481855154037,0.31091248989105225
warsaw,0.17702950537204742,0.2348434329032898,0.26955756545066833,1.0,0.22642600536346436,0.031069299206137657,0.09769917279481888
was,0.2162860482931137,0.30177709460258484,0.3377783000469208,0.2614976763725281,0.45514053106307983,0.013058681041002274,0.18412111699581146
made,0.1889038383960724,0.1387784630060196,0.19250108301639557,0.1691206991672516,0.25271502137184143,0.054169122129678726,0.17218779027462006
the,0.38253846764564514,0.31011611223220825,0.2949730455875397,0.23137180507183075,0.6662389636039734,0.13159698247909546,0.22068053483963013
capital,0.12282097339630127,0.223799467086792,0.29701468348503113,0.15139155089855194,0.3233928978443146,0.07185971736907959,0.0907452180981636
of,0.37058958411216736,0.2669098675251007,0.2821413278579712,0.19253842532634735,0.5696388483047485,0.1389991044998169,0.1826142966747284
the,0.38253846764564514,0.31011611223220825,0.2949730455875397,0.23137180507183075,0.6662389636039734,0.13159698247909546,0.22068053483963013
newly,0.137796550989151,0.19472815096378326,0.28312012553215027,0.194691464304924,0.3222779333591461,0.05726298689842224,0.08549588173627853
created,0.26175856590270996,0.1683826744556427,0.34549468755722046,0.08354469388723373,0.2843434810638428,0.00259708845987916,0.21177415549755096
duchy,0.13873207569122314,0.20517581701278687,0.27242472767829895,0.3753039240837097,0.27166545391082764,0.06622004508972168,0.06671437621116638
of,0.37058958411216736,0.2669098675251007,0.2821413278579712,0.19253842532634735,0.5696388483047485,0.1389991044998169,0.1826142966747284
warsaw,0.17702950537204742,0.2348434329032898,0.26955756545066833,1.0,0.22642600536346436,0.031069299206137657,0.09769917279481888
.,0.2718997597694397,0.28860729932785034,0.23822811245918274,0.26825499534606934,0.5591574311256409,0.11718486994504929,0.4130953550338745
