,what,type,of,insect,employs,the,use,of,prime,numbers,in,its,evolutionary,strategy,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23418988287448883,0.1987496167421341,1.0,0.34342584013938904,0.733189046382904,0.19960100948810577,0.293011337518692,0.6662389636039734,0.559237003326416,0.24718289077281952,0.2895500361919403,0.22068053483963013
evolutionary,0.23857757449150085,0.19362719357013702,0.2917879819869995,0.3254396915435791,0.17100155353546143,0.24718289077281952,0.19880296289920807,0.2917879819869995,0.15083999931812286,0.19848129153251648,0.22655390202999115,0.22663478553295135,1.0000001192092896,0.3343178331851959,0.22123169898986816
strategy,0.25034767389297485,0.18584083020687103,0.27697277069091797,0.16077810525894165,0.31590962409973145,0.2895500361919403,0.27675503492355347,0.27697277069091797,0.22132784128189087,0.1819758415222168,0.2451205551624298,0.2501945197582245,0.3343178331851959,1.0,0.22400954365730286
used,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.1875547170639038,0.3148523271083832,0.3718377649784088,0.7127541303634644,0.3075267970561981,0.1468653529882431,0.30476072430610657,0.3090210556983948,0.294392853975296,0.18667127192020416,0.23550209403038025,0.22430120408535004
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.17976047098636627,0.23550663888454437,0.4408751428127289,0.21048003435134888,0.3646814823150635,0.1702890843153,0.21251529455184937,0.370934396982193,0.24398943781852722,0.20291084051132202,0.2122485488653183,0.17966607213020325
cicadas,0.24092096090316772,0.2480817288160324,0.2685873508453369,0.46957632899284363,0.17073626816272736,0.2873971462249756,0.27278444170951843,0.2685873508453369,0.1585504114627838,0.2841295599937439,0.24484114348888397,0.23161131143569946,0.3517729640007019,0.14586544036865234,0.23876745998859406
of,0.33290785551071167,0.18112817406654358,1.0,0.2153836041688919,0.265817791223526,0.733189046382904,0.2750902473926544,1.0,0.23935265839099884,0.228018656373024,0.5696388483047485,0.48690423369407654,0.2917879819869995,0.27697277069091797,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23418988287448883,0.1987496167421341,1.0,0.34342584013938904,0.733189046382904,0.19960100948810577,0.293011337518692,0.6662389636039734,0.559237003326416,0.24718289077281952,0.2895500361919403,0.22068053483963013
genus,0.10777679085731506,0.22190693020820618,0.1679552048444748,0.4015754163265228,0.10083118081092834,0.17396312952041626,0.18828843533992767,0.1679552048444748,0.1411188840866089,0.1830163598060608,0.14933288097381592,0.1388997584581375,0.333387166261673,0.15882204473018646,0.1421816647052765
magicicada,0.2737610638141632,0.22111298143863678,0.19348157942295074,0.36934542655944824,0.16196918487548828,0.21356455981731415,0.2824954390525818,0.19348157942295074,0.2011350393295288,0.18352101743221283,0.18233810365200043,0.186177596449852,0.2464526891708374,0.18170307576656342,0.2743394672870636
make,0.3792211413383484,0.24287153780460358,0.2912110388278961,0.23576611280441284,0.2583687901496887,0.3146495521068573,0.4874562919139862,0.2912110388278961,0.09026195853948593,0.22566723823547363,0.268858402967453,0.29290565848350525,0.1495189219713211,0.21862010657787323,0.28314751386642456
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.21857069432735443,0.33834752440452576,0.34342584013938904,1.0,0.2750902473926544,0.13823524117469788,0.3483348786830902,0.2715643048286438,0.27883994579315186,0.19880296289920807,0.27675503492355347,0.32795652747154236
of,0.33290785551071167,0.18112817406654358,1.0,0.2153836041688919,0.265817791223526,0.733189046382904,0.2750902473926544,1.0,0.23935265839099884,0.228018656373024,0.5696388483047485,0.48690423369407654,0.2917879819869995,0.27697277069091797,0.1826142966747284
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.09911984205245972,0.07533910125494003,0.19960100948810577,0.13823524117469788,0.23935265839099884,1.0,0.26943376660346985,0.18097394704818726,0.1312374770641327,0.15083999931812286,0.22132784128189087,0.11276303976774216
numbers,0.24586999416351318,0.1971423625946045,0.228018656373024,0.12610597908496857,0.2044374644756317,0.293011337518692,0.3483348786830902,0.228018656373024,0.26943376660346985,1.0,0.23087690770626068,0.19673068821430206,0.19848129153251648,0.1819758415222168,0.19297972321510315
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21773718297481537,0.22143036127090454,0.5934505462646484,0.3711656630039215,0.5352458953857422,0.17658381164073944,0.2591777741909027,0.5591574311256409,0.3566088080406189,0.2936975061893463,0.24061113595962524,0.4130953550338745
