,when,was,the,royal,university,of,warsaw,established,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2997032403945923,0.263973206281662,0.733189046382904,0.23137180507183075,0.33092597126960754,0.22068053483963013
royal,0.19010110199451447,0.2874114215373993,0.2997032403945923,0.9999999403953552,0.19360804557800293,0.3112924098968506,0.1593901515007019,0.21943694353103638,0.11453001946210861
university,0.20851898193359375,0.290752112865448,0.263973206281662,0.19360804557800293,1.0,0.30646374821662903,0.24662628769874573,0.1973452866077423,0.11887256056070328
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3112924098968506,0.30646374821662903,1.0,0.19253842532634735,0.2735237777233124,0.1826142966747284
warsaw,0.1615014374256134,0.2614976763725281,0.23137180507183075,0.1593901515007019,0.24662628769874573,0.19253842532634735,1.0,0.16576151549816132,0.09769917279481888
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2874114215373993,0.290752112865448,0.4069072902202606,0.2614976763725281,0.26515325903892517,0.18412111699581146
established,0.18169470131397247,0.26515325903892517,0.33092597126960754,0.21943694353103638,0.1973452866077423,0.2735237777233124,0.16576151549816132,0.9999998807907104,0.15917523205280304
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.22172321379184723,0.3201795518398285,0.5696388483047485,0.22642600536346436,0.3118882477283478,0.20430970191955566
1816,0.3236842751502991,0.14081136882305145,0.47585317492485046,0.15237565338611603,0.19809111952781677,0.4376172423362732,0.22399912774562836,0.22585880756378174,0.3900545537471771
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.19540183246135712,0.290679007768631,0.5352458953857422,0.26825499534606934,0.23771190643310547,0.4130953550338745
