,what,is,the,name,of,the,largest,indoor,shopping,centre,in,europe,?
close,0.23424343764781952,0.26769399642944336,0.2625353932380676,0.18751230835914612,0.24178770184516907,0.2625353932380676,0.2211146205663681,0.12145660072565079,0.17449042201042175,0.22324587404727936,0.23149028420448303,0.11933732777833939,0.1908312737941742
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.18687231838703156,0.19777967035770416,0.2208911031484604,0.18141506612300873,0.45010748505592346,0.24889446794986725,0.29463258385658264
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.11727967113256454,0.18781472742557526,0.2253497689962387,0.17620566487312317,0.20797404646873474,0.259835422039032,0.24609284102916718,0.19270820915699005,0.2158113569021225,0.0902252271771431
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26626327633857727,0.23237371444702148,0.22641058266162872,0.20527958869934082,0.5201468467712402,0.2542513906955719,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.3757036626338959,0.25390395522117615,0.2492470145225525,0.32783594727516174,0.6662389636039734,0.34463706612586975,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.14345738291740417,0.36650770902633667,0.3757036626338959,0.9999999403953552,0.2598820626735687,0.2583876848220825,0.3420230448246002,0.3017216920852661,0.2597532272338867,0.12401245534420013
indoor,0.15253843367099762,0.22525280714035034,0.25390395522117615,0.059827644377946854,0.19630517065525055,0.25390395522117615,0.2598820626735687,1.0,0.3982069790363312,0.28690752387046814,0.2918931245803833,0.23043619096279144,0.09507113695144653
shopping,0.128513902425766,0.2358693778514862,0.2492470145225525,0.09468773007392883,0.22668150067329407,0.2492470145225525,0.2583876848220825,0.3982069790363312,1.0,0.39968249201774597,0.25587013363838196,0.1722733974456787,0.1303974688053131
centre,0.12324132025241852,0.29804176092147827,0.32783594727516174,0.12278583645820618,0.2769378423690796,0.32783594727516174,0.3420230448246002,0.28690752387046814,0.39968249201774597,1.0000001192092896,0.2765078544616699,0.1308838278055191,0.019365152344107628
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.3017216920852661,0.2918931245803833,0.25587013363838196,0.2765078544616699,1.0,0.33061710000038147,0.20430970191955566
europe,0.17179538309574127,0.20961034297943115,0.34463706612586975,0.16502991318702698,0.29299741983413696,0.34463706612586975,0.2597532272338867,0.23043619096279144,0.1722733974456787,0.1308838278055191,0.33061710000038147,1.0000001192092896,0.18278923630714417
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26626327633857727,0.23237371444702148,0.22641058266162872,0.20527958869934082,0.5201468467712402,0.2542513906955719,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.3757036626338959,0.25390395522117615,0.2492470145225525,0.32783594727516174,0.6662389636039734,0.34463706612586975,0.22068053483963013
metrocentre,0.24480263888835907,0.27599987387657166,0.3136177361011505,0.14019334316253662,0.30647003650665283,0.3136177361011505,0.3527601361274719,0.3192397356033325,0.3890209197998047,0.6238755583763123,0.3235016167163849,0.24915842711925507,0.13450856506824493
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26626327633857727,0.23237371444702148,0.22641058266162872,0.20527958869934082,0.5201468467712402,0.2542513906955719,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.3413417339324951,0.22525280714035034,0.2358693778514862,0.29804176092147827,0.5394441485404968,0.20961034297943115,0.22961433231830597
located,0.2034616470336914,0.35717159509658813,0.407527357339859,0.22759057581424713,0.32520920038223267,0.407527357339859,0.37509143352508545,0.2468247413635254,0.38205644488334656,0.4169827997684479,0.35149815678596497,0.107456274330616,0.08983194828033447
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.3017216920852661,0.2918931245803833,0.25587013363838196,0.2765078544616699,1.0,0.33061710000038147,0.20430970191955566
gateshead,0.15238600969314575,0.23018525540828705,0.29985129833221436,0.1957002431154251,0.2324095517396927,0.29985129833221436,0.20139643549919128,0.21164843440055847,0.3076815605163574,0.25199270248413086,0.26779675483703613,0.2515864968299866,0.14773961901664734
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.18871670961380005,0.2526106536388397,0.20080310106277466,0.21697939932346344,0.5591574311256409,0.31984585523605347,0.4130953550338745
