,when,were,the,negotiations,finished,in,mansfeld,?
the,0.5091903209686279,0.3906462490558624,1.0,0.28858432173728943,0.2754973769187927,0.6662389636039734,0.22619470953941345,0.22068053483963013
negotiations,0.20567582547664642,0.2418156862258911,0.28858432173728943,1.0,0.17844286561012268,0.29555243253707886,0.2909994423389435,0.12190581113100052
were,0.29649975895881653,1.0000001192092896,0.3906462490558624,0.2418156862258911,0.20712995529174805,0.3815755248069763,0.1788744032382965,0.17890112102031708
successfully,0.3936765193939209,0.24631448090076447,0.32525569200515747,0.3764226734638214,0.30070656538009644,0.2983573377132416,0.08743514120578766,0.0971045047044754
concluded,0.22413310408592224,0.27868345379829407,0.3024786412715912,0.3736865818500519,0.2307366132736206,0.2758161425590515,0.11746212095022202,0.13595789670944214
on,0.37706470489501953,0.2774328887462616,0.5107308030128479,0.20590345561504364,0.26926761865615845,0.46853652596473694,0.18420611321926117,0.2714994251728058
17,0.06161060184240341,0.15060774981975555,0.10537172853946686,0.1807096004486084,0.12233453243970871,0.10391845554113388,0.21074901521205902,0.17603135108947754
february,0.2621206045150757,0.18316958844661713,0.26483774185180664,0.28466981649398804,0.2343904674053192,0.2990526556968689,0.29652532935142517,0.29594847559928894
1546,0.01270752027630806,0.10096760839223862,0.1649978905916214,0.23047946393489838,0.07660586386919022,0.15289835631847382,0.2486136108636856,-0.004786801990121603
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.22560903429985046,0.26350095868110657,0.5591574311256409,0.26983198523521423,0.4130953550338745
