,what,did,tesla,note,the,hazards,of,working,with,?
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.1489192694425583,0.1324402391910553,0.08548804372549057,0.18837453424930573,0.206875741481781,0.16424812376499176,0.10250775516033173
noted,0.16981294751167297,0.2848167419433594,0.12294332683086395,0.42820972204208374,0.248806893825531,0.25007742643356323,0.23399871587753296,0.22598981857299805,0.258598268032074,0.13014346361160278
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.255229115486145,1.0,0.2174634337425232,0.733189046382904,0.25857484340667725,0.4223487675189972,0.22068053483963013
hazards,0.24034540355205536,0.2044687569141388,0.08548804372549057,0.16195908188819885,0.2174634337425232,1.0,0.2060418576002121,0.16032303869724274,0.16867554187774658,0.22479578852653503
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.1706424355506897,0.733189046382904,0.2060418576002121,1.0,0.19986772537231445,0.41827285289764404,0.1826142966747284
working,0.2846863269805908,0.2788783311843872,0.206875741481781,0.16253377497196198,0.25857484340667725,0.16032303869724274,0.19986772537231445,1.0,0.3168335258960724,0.17154020071029663
with,0.2464839518070221,0.25472134351730347,0.16424812376499176,0.23703458905220032,0.4223487675189972,0.16867554187774658,0.41827285289764404,0.3168335258960724,0.9999999403953552,0.2433311939239502
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.16344425082206726,0.4394008219242096,0.10722669214010239,0.38364991545677185,0.30046597123146057,0.33836179971694946,0.18075084686279297
circuit,0.1518143117427826,0.10269653052091599,0.32125237584114075,0.044622838497161865,0.25798067450523376,0.1660376638174057,0.244392991065979,0.13472077250480652,0.1002940908074379,0.058349963277578354
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.2024715691804886,0.5171257257461548,0.2855883836746216,0.5116966962814331,0.30510061979293823,0.5477725267410278,0.20544172823429108
single-node,0.2714863419532776,0.16178347170352936,0.2292349636554718,0.25322404503822327,0.2521466612815857,0.18665125966072083,0.2024623453617096,0.21279756724834442,0.22134356200695038,0.32854530215263367
x-ray-producing,0.26612886786460876,0.1926201432943344,0.24012993276119232,0.14251448214054108,0.3038971722126007,0.20888350903987885,0.23841693997383118,0.32473528385162354,0.32436907291412354,0.2157968431711197
devices,0.2216251939535141,0.17442724108695984,0.4021223783493042,0.1641453206539154,0.2281099557876587,0.3460545837879181,0.1820836365222931,0.22671322524547577,0.20661483705043793,0.10574188083410263
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.2888091206550598,0.5934505462646484,0.29686102271080017,0.5352458953857422,0.28468647599220276,0.4446153938770294,0.4130953550338745
