,what,is,one,condition,that,an,element,p,of,r,must,satisfy,in,order,to,be,considered,a,prime,element,?
an,0.2821882665157318,0.4654068350791931,0.2829729914665222,0.20676080882549286,0.365763783454895,1.0,0.27289018034935,0.11000028997659683,0.32280945777893066,0.16103550791740417,0.2022276371717453,0.14523154497146606,0.2605783939361572,0.14927062392234802,0.3138085603713989,0.33041056990623474,0.3028697371482849,0.44552403688430786,0.08209051191806793,0.27289018034935,0.19793890416622162
element,0.24694041907787323,0.3385811448097229,0.27609556913375854,0.2659977972507477,0.29008960723876953,0.27289018034935,1.0,0.18992440402507782,0.21102571487426758,0.2402554601430893,0.23700779676437378,0.28083282709121704,0.16983667016029358,0.18251295387744904,0.20668300986289978,0.25885871052742004,0.22284603118896484,0.3271445333957672,0.10478042811155319,1.0,0.18393386900424957
p,0.18586504459381104,0.11757151037454605,0.2361234873533249,0.17419344186782837,0.15546166896820068,0.11000028997659683,0.18992440402507782,1.0,0.18174134194850922,0.4023478627204895,0.11845693737268448,0.20902399718761444,0.10853569954633713,0.08168314397335052,0.14269764721393585,0.12313798069953918,0.0441615991294384,0.15866722166538239,0.17530764639377594,0.18992440402507782,0.20840544998645782
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.20755170285701752,0.41498205065727234,0.32280945777893066,0.21102571487426758,0.18174134194850922,1.0,0.22769418358802795,0.24322323501110077,0.18434223532676697,0.5696388483047485,0.31287699937820435,0.41548454761505127,0.33904364705085754,0.4190242290496826,0.5052502155303955,0.23935265839099884,0.21102571487426758,0.1826142966747284
r,0.14495669305324554,0.16748011112213135,0.18569806218147278,0.18404285609722137,0.1240740716457367,0.16103550791740417,0.2402554601430893,0.4023478627204895,0.22769418358802795,1.0,0.11935780942440033,0.23507191240787506,0.15392769873142242,0.09901382029056549,0.1677994728088379,0.11826493591070175,0.05681825801730156,0.2452096939086914,0.09969370812177658,0.2402554601430893,0.16570481657981873
is,0.28837618231773376,1.0,0.4544198513031006,0.2536831796169281,0.3995479643344879,0.4654068350791931,0.3385811448097229,0.11757151037454605,0.4854315221309662,0.16748011112213135,0.3093329071998596,0.1950032114982605,0.5394441485404968,0.19403748214244843,0.42745086550712585,0.4819129705429077,0.4096149802207947,0.658733606338501,0.16680827736854553,0.3385811448097229,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.3550408184528351,0.26714280247688293,0.41604554653167725,0.2858632802963257,0.2503594756126404,0.12103098630905151,0.4222904443740845,0.09807098656892776,0.19891224801540375,0.170988067984581,0.40847352147102356,0.19453170895576477,0.2987143397331238,0.2761072516441345,0.4241243004798889,0.4868806302547455,0.1384088695049286,0.2503594756126404,0.18963319063186646
prime,0.15586113929748535,0.16680827736854553,0.16067731380462646,0.12977680563926697,0.18163643777370453,0.08209051191806793,0.10478042811155319,0.17530764639377594,0.23935265839099884,0.09969370812177658,0.1576741486787796,0.15789736807346344,0.18097394704818726,0.19578443467617035,0.2015804797410965,0.14576895534992218,0.1126614436507225,0.17998681962490082,1.0,0.10478042811155319,0.11276303976774216
element,0.24694041907787323,0.3385811448097229,0.27609556913375854,0.2659977972507477,0.29008960723876953,0.27289018034935,1.0,0.18992440402507782,0.21102571487426758,0.2402554601430893,0.23700779676437378,0.28083282709121704,0.16983667016029358,0.18251295387744904,0.20668300986289978,0.25885871052742004,0.22284603118896484,0.3271445333957672,0.10478042811155319,1.0,0.18393386900424957
if,0.5277165174484253,0.30927813053131104,0.37931159138679504,0.38890427350997925,0.5634250640869141,0.26347705721855164,0.3099535405635834,0.17701710760593414,0.2557544410228729,0.14312739670276642,0.5808357000350952,0.4279415011405945,0.2589588761329651,0.20093509554862976,0.4559597074985504,0.5628611445426941,0.2923738658428192,0.41272827982902527,0.09983985871076584,0.3099535405635834,0.4441644251346588
it,0.45803478360176086,0.6328473687171936,0.4284902811050415,0.2717374861240387,0.5921133160591125,0.39472338557243347,0.29076260328292847,0.14431746304035187,0.38761502504348755,0.14086274802684784,0.17906725406646729,0.21708907186985016,0.5130809545516968,0.18806639313697815,0.513711154460907,0.5203388929367065,0.3332322835922241,0.5452592968940735,0.16581475734710693,0.29076260328292847,0.25732165575027466
is,0.28837618231773376,1.0,0.4544198513031006,0.2536831796169281,0.3995479643344879,0.4654068350791931,0.3385811448097229,0.11757151037454605,0.4854315221309662,0.16748011112213135,0.3093329071998596,0.1950032114982605,0.5394441485404968,0.19403748214244843,0.42745086550712585,0.4819129705429077,0.4096149802207947,0.658733606338501,0.16680827736854553,0.3385811448097229,0.22961433231830597
neither,0.376018226146698,0.28357720375061035,0.3482542634010315,0.29112672805786133,0.505314290523529,0.2423059046268463,0.2324056327342987,0.16196203231811523,0.2747955620288849,0.07539504021406174,0.40109145641326904,0.3500964045524597,0.2894112467765808,0.19122043251991272,0.3499351739883423,0.3912041485309601,0.30329370498657227,0.3513123095035553,0.13606888055801392,0.2324056327342987,0.262674480676651
