,who,was,the,panthers,',tackle,leader,for,2015,?
behind,0.2240559607744217,0.27558037638664246,0.38928431272506714,0.1908273994922638,0.2137918770313263,0.19949661195278168,0.1910306215286255,0.24390444159507751,-0.031084395945072174,0.19274599850177765
them,0.5243523120880127,0.23709723353385925,0.4788833558559418,0.21159003674983978,0.24799776077270508,0.24417072534561157,0.21477855741977692,0.41447147727012634,-0.07769625633955002,0.35435691475868225
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2494642585515976,0.5178600549697876,0.25377723574638367,0.23893310129642487,0.4464869201183319,0.06568983197212219,0.31091248989105225
two,0.2791741192340851,0.27166637778282166,0.43858039379119873,0.2664221525192261,0.23614099621772766,0.0649290606379509,0.12050534039735794,0.34734001755714417,0.04786928743124008,0.19645625352859497
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.23357392847537994,0.39136970043182373,0.16594944894313812,0.24122127890586853,0.4185989499092102,0.21138253808021545,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.2602776288986206,0.474788099527359,0.1645001471042633,0.27799519896507263,0.4739971458911896,0.1466771513223648,0.22068053483963013
panthers,0.2132880985736847,0.2605615258216858,0.2602776288986206,0.9999999403953552,0.22155213356018066,0.2929748296737671,0.27155420184135437,0.25358447432518005,0.03439202532172203,0.16608978807926178
three,0.2491552233695984,0.2748996615409851,0.43452659249305725,0.2735981047153473,0.2094462364912033,0.05382711812853813,0.18501457571983337,0.3032672107219696,0.05434681847691536,0.20928427577018738
starting,0.18984614312648773,0.26083552837371826,0.37272053956985474,0.21883323788642883,0.2406337410211563,0.24517254531383514,0.13476797938346863,0.31099238991737366,0.06284134089946747,0.19133803248405457
linebackers,0.1876683086156845,0.23282736539840698,0.22911399602890015,0.524828314781189,0.21940238773822784,0.5871038436889648,0.2826191782951355,0.29303237795829773,-0.08940382301807404,0.17655783891677856
were,0.3188014328479767,0.590133786201477,0.3906462490558624,0.18933986127376556,0.17108602821826935,0.1284485012292862,0.15754278004169464,0.33592689037323,0.08154720813035965,0.17890112102031708
also,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.2513844072818756,0.4253612458705902,0.24500471353530884,0.2305959016084671,0.5373267531394958,-0.004504992160946131,0.21848613023757935
selected,0.25855591893196106,0.18810634315013885,0.31003430485725403,0.29468804597854614,0.13878700137138367,0.20611567795276642,0.18523898720741272,0.4079265892505646,0.017176488414406776,0.19565007090568542
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.2185782641172409,0.34544456005096436,0.22409328818321228,0.2050279974937439,0.4451248347759247,-0.0031493064016103745,0.29463258385658264
play,0.2742305099964142,0.23784595727920532,0.24793598055839539,0.2769072651863098,0.16186515986919403,0.17477168142795563,0.1355515718460083,0.27811455726623535,-0.06512405723333359,0.11059518158435822
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.2115829735994339,0.4158826768398285,0.19911520183086395,0.22669851779937744,0.4322226941585541,0.0891268327832222,0.20430970191955566
